frame,visibility,gbuffer,lighting
0,0.30121,0.03598,0.00698
10,0.30316,0.03633,0.00698
20,0.30335,0.03689,0.00698
30,0.30506,0.03761,0.00699
40,0.32060,0.03863,0.00705
50,0.30759,0.03955,0.00703
60,0.31061,0.04268,0.00715
70,0.31528,0.04489,0.00728
80,0.31516,0.04464,0.00724
90,0.31328,0.04460,0.00719
100,0.30856,0.04491,0.00723
110,0.30210,0.04480,0.00716
120,0.29854,0.04435,0.00710
130,0.30052,0.04416,0.00713
140,0.30170,0.04495,0.00719
150,0.30199,0.04522,0.00722
160,0.30446,0.04566,0.00724
170,0.30698,0.04556,0.00726
180,0.30828,0.04597,0.00730
190,0.31022,0.04574,0.00731
200,0.30972,0.04575,0.00726
210,0.31009,0.04573,0.00730
220,0.30948,0.04570,0.00733
230,0.31167,0.04594,0.00731
240,0.31819,0.04663,0.00751
250,0.31885,0.04630,0.00752
260,0.31663,0.04456,0.00736
270,0.31861,0.04556,0.00744
280,0.31220,0.04616,0.00745
290,0.30474,0.04558,0.00722
300,0.30504,0.04544,0.00727
310,0.30352,0.04537,0.00726
320,0.30249,0.04537,0.00725
330,0.30640,0.04557,0.00726
340,0.30847,0.04564,0.00724
350,0.32611,0.04562,0.00726
360,0.30560,0.04536,0.00722
370,0.30386,0.04479,0.00719
380,0.29919,0.04492,0.00727
390,0.29665,0.04466,0.00726
400,0.29659,0.04454,0.00726
410,0.29611,0.04458,0.00724
420,0.29677,0.04471,0.00730
430,0.29600,0.04498,0.00726
440,0.29573,0.04500,0.00723
450,0.29538,0.04481,0.00723
460,0.29442,0.04482,0.00722
470,0.29379,0.04436,0.00714
480,0.29158,0.04373,0.00702
490,0.28987,0.04361,0.00710
500,0.29692,0.04436,0.00714
510,0.30708,0.04438,0.00716
520,0.32724,0.04406,0.00712
530,0.31481,0.04376,0.00713
540,0.32138,0.04529,0.00728
550,0.32233,0.04675,0.00762
560,0.32247,0.04696,0.00772
570,0.32484,0.04710,0.00772
580,0.33262,0.04732,0.00776
590,0.33088,0.04527,0.00753
600,0.32689,0.04316,0.00761
610,0.32690,0.04217,0.00765
620,0.32756,0.04348,0.00759
630,0.32965,0.04378,0.00776
640,0.33422,0.04729,0.00784
650,0.33821,0.04878,0.00794
660,0.33630,0.04791,0.00801
670,0.33273,0.04847,0.00780
680,0.32812,0.04743,0.00745
690,0.33321,0.04745,0.00766
700,0.33542,0.04567,0.00759
710,0.33598,0.04522,0.00743
720,0.33727,0.04508,0.00747
730,0.33781,0.04499,0.00736
740,0.33787,0.04436,0.00738
750,0.33760,0.04483,0.00736
760,0.33867,0.04420,0.00746
770,0.34020,0.04470,0.00743
780,0.34260,0.04537,0.00742
790,0.34334,0.04466,0.00736
800,0.34314,0.04366,0.00735
810,0.34373,0.04336,0.00731
820,0.34601,0.04395,0.00746
830,0.34777,0.04415,0.00745
840,0.34942,0.04433,0.00755
850,0.36735,0.04436,0.00763
860,0.35278,0.04487,0.00764
870,0.35286,0.04329,0.00758
880,0.35431,0.04346,0.00761
890,0.35513,0.04316,0.00749
900,0.35590,0.04205,0.00731
910,0.35538,0.04188,0.00716
920,0.35495,0.04064,0.00716
930,0.35460,0.03928,0.00704
940,0.35187,0.03794,0.00706
950,0.35011,0.03631,0.00707
960,0.34990,0.03531,0.00701
970,0.34962,0.03400,0.00696
980,0.34860,0.03333,0.00699
990,0.34928,0.03314,0.00700
1000,0.34752,0.03245,0.00698
1010,0.34685,0.03198,0.00692
1020,0.36539,0.03174,0.00691
1030,0.34963,0.03156,0.00686
1040,0.36670,0.03147,0.00696
1050,0.34930,0.03095,0.00689
1060,0.34972,0.03053,0.00694
1070,0.34949,0.03042,0.00688
1080,0.35047,0.03074,0.00683
1090,0.35012,0.03107,0.00698
1100,0.34979,0.03076,0.00692
1110,0.34832,0.03038,0.00687
1120,0.34811,0.03069,0.00691
1130,0.34771,0.03102,0.00681
1140,0.34732,0.03121,0.00687
1150,0.34871,0.03200,0.00693
1160,0.34877,0.03280,0.00692
1170,0.34933,0.03348,0.00696
1180,0.35071,0.03410,0.00691
1190,0.35044,0.03493,0.00697
1200,0.35044,0.03571,0.00694
1210,0.35076,0.03663,0.00692
1220,0.34824,0.03624,0.00701
1230,0.34085,0.03486,0.00691
1240,0.32680,0.03334,0.00689
1250,0.31915,0.03277,0.00695
1260,0.31318,0.03252,0.00696
1270,0.30620,0.03267,0.00695
1280,0.30328,0.03199,0.00695
1290,0.30333,0.03167,0.00695
1300,0.30975,0.03208,0.00692
1310,0.31280,0.03260,0.00698
1320,0.31203,0.03232,0.00685
