frame,total,raster_stats,index_count
0,15.09027,15.08600,21585153.00000
10,15.18615,15.18208,21585153.00000
20,15.92089,15.91650,21585153.00000
30,19.56700,19.56291,21585153.00000
40,23.44033,23.43601,21585153.00000
50,23.73737,23.73314,22817547.90000
60,17.73616,17.73170,23129772.00000
70,13.31690,13.31276,23129772.00000
80,13.69986,13.69551,23129772.00000
90,15.59010,15.58596,23129772.00000
100,20.29870,20.29456,22975214.10000
110,12.51998,12.51586,21585033.00000
120,12.79694,12.79270,21585033.00000
130,12.93375,12.92953,21525282.30000
140,13.04641,13.04234,21475398.00000
150,14.20426,14.20005,21475398.00000
160,13.71375,13.70958,18453867.60000
170,14.11100,14.10668,6548192.40000
180,13.22437,13.22044,6654137.70000
190,17.58505,17.58077,6649594.80000
200,17.70214,17.69736,6279649.20000
210,16.83990,16.83540,6153959.40000
220,19.14698,19.14224,5654925.00000
230,31.22024,31.21564,5715609.00000
240,26.22612,26.22152,6556806.00000
250,23.70303,23.69830,6632634.60000
260,20.72135,20.71655,6632607.00000
270,21.47320,21.46854,6632600.40000
280,23.27552,23.27083,6632592.60000
290,23.19973,23.19514,6632589.00000
300,23.84975,23.84506,6086332.20000
310,21.00454,20.99985,5774538.60000
320,28.06820,28.06355,5711706.00000
330,38.04386,38.03913,5522449.20000
340,34.60601,34.60127,5438616.30000
350,36.95049,36.94579,5419182.00000
360,35.58956,35.58478,5369350.80000
370,16.44455,16.43987,4967546.10000
380,15.12873,15.12437,4898302.80000
390,18.04157,18.03692,4809108.60000
400,21.37571,21.37102,4843965.00000
410,22.07436,22.06966,4857206.70000
420,14.15684,14.15232,4924218.00000
430,16.50599,16.50131,4921590.00000
440,15.82181,15.81720,4919838.00000
450,18.72763,18.72332,4918621.20000
460,22.29670,22.29201,4915782.00000
470,22.79866,22.79397,4915782.00000
480,14.99675,14.99217,4724589.90000
490,11.50959,11.50544,4350555.00000
500,13.09613,13.09207,4561743.60000
510,13.92047,13.91660,4649973.00000
520,16.98014,16.97581,4649973.00000
530,17.08642,17.08181,4649973.00000
540,16.68218,16.67755,4649973.00000
550,14.60247,14.59773,4889201.10000
560,26.23605,26.23166,4808830.80000
570,27.22394,27.21916,4297629.90000
580,23.32203,23.31730,3585789.60000
590,19.06907,19.06444,5050871.70000
600,17.90939,17.90473,16546591.20000
610,25.83674,25.83211,24351113.10000
620,24.15867,24.15434,24718036.20000
630,14.33106,14.32694,24713841.00000
