frame,total,forward,index_count
0,0.27880,0.27480,8231199.00000
10,0.27702,0.27280,8231199.00000
20,0.27856,0.27442,8234561.10000
30,0.27815,0.27390,8236002.00000
40,0.30356,0.29943,8236002.00000
50,0.27908,0.27464,8236002.00000
60,0.27724,0.27322,8236002.00000
70,0.27860,0.27448,8236002.00000
80,0.27869,0.27471,8236002.00000
90,0.30836,0.30395,8237667.00000
100,0.34192,0.33773,8329675.20000
110,0.35212,0.34789,8334444.00000
120,0.36641,0.36217,8317910.40000
130,0.34302,0.33865,8139647.40000
140,0.32730,0.32314,7834020.30000
150,0.32723,0.32304,7424970.00000
160,0.30941,0.30541,7313065.20000
170,0.29521,0.29112,7154175.00000
180,0.30238,0.29823,7421709.90000
190,0.32306,0.31914,7716846.60000
200,0.31849,0.31411,7789365.60000
210,0.31852,0.31441,7826196.60000
220,0.31019,0.30584,7722507.90000
230,0.31696,0.31274,7757628.60000
240,0.30415,0.29962,7718556.00000
250,0.31909,0.31482,7713440.40000
260,0.31802,0.31377,7695356.40000
270,0.31806,0.31362,7698819.00000
280,0.32024,0.31549,7700268.00000
290,0.31622,0.31147,7720264.80000
300,0.32388,0.31951,7730274.00000
310,0.32122,0.31698,7730274.00000
320,0.32348,0.31901,7744542.00000
330,0.32563,0.32143,7870452.00000
340,0.32766,0.32321,7870452.00000
350,0.32633,0.32205,7860626.40000
360,0.32500,0.32060,7803858.00000
370,0.32543,0.32106,7800402.00000
380,0.32591,0.32143,7791610.80000
390,0.32788,0.32337,7793692.20000
400,0.33133,0.32710,7792572.00000
410,0.33511,0.33097,7790788.80000
420,0.33655,0.33239,7774376.10000
430,0.32637,0.32217,7465851.00000
440,0.29925,0.29520,7100517.00000
450,0.29139,0.28748,7082915.40000
460,0.28523,0.28137,7070199.60000
470,0.28380,0.27983,7068315.60000
480,0.28002,0.27616,6944262.90000
490,0.28606,0.28208,6947631.00000
500,0.30038,0.29616,7164264.60000
510,0.31338,0.30920,7409877.60000
520,0.33453,0.33009,7792772.10000
530,0.33046,0.32612,7782946.20000
540,0.32010,0.31570,7708882.20000
550,0.31654,0.31211,7631395.80000
560,0.32330,0.31913,7774871.40000
570,0.33861,0.33444,7833945.00000
580,0.36220,0.35832,8015462.10000
590,0.37779,0.37374,8052279.90000
600,0.38803,0.38380,8120811.00000
610,0.38786,0.38382,8118021.00000
620,0.36660,0.36270,8111811.90000
630,0.34158,0.33763,7943511.60000
640,0.34046,0.33621,7721718.60000
650,0.35997,0.35592,7634876.10000
660,0.34356,0.33943,7668963.00000
670,0.33982,0.33588,7623788.40000
680,0.32641,0.32234,7621869.00000
690,0.31411,0.30989,7621161.00000
700,0.31319,0.30898,7657194.90000
710,0.31672,0.31266,7685407.80000
720,0.31835,0.31446,7674967.20000
730,0.31092,0.30700,7627148.40000
740,0.30257,0.29861,7612737.60000
750,0.30416,0.29952,7626187.20000
760,0.30339,0.29918,7597246.20000
770,0.30297,0.29862,7594820.40000
780,0.30320,0.29907,7589790.60000
790,0.30672,0.30207,7538191.80000
800,0.30953,0.30507,7376284.80000
810,0.31712,0.31297,7196946.00000
820,0.30221,0.29806,7066977.00000
830,0.30562,0.30174,6851366.40000
840,0.30080,0.29698,6848332.80000
850,0.30469,0.30086,6847776.00000
860,0.30585,0.30177,6847488.00000
870,0.30922,0.30516,6847718.40000
880,0.31082,0.30713,6847878.00000
890,0.30926,0.30520,6773436.30000
900,0.30082,0.29682,6977846.70000
910,0.31759,0.31362,8005858.80000
920,0.34300,0.33892,8114672.70000
930,0.36174,0.35755,8255881.50000
940,0.33964,0.33546,8315368.80000
950,0.33271,0.32840,8294084.40000
960,0.33239,0.32815,8262489.00000
970,0.33295,0.32847,8262258.60000
980,0.33767,0.33323,8260713.00000
990,0.33734,0.33274,8260413.00000
1000,0.33644,0.33215,8209144.20000
1010,0.33567,0.33140,8169582.60000
1020,0.33321,0.32885,8152836.60000
1030,0.32812,0.32410,8064639.00000
1040,0.32453,0.32034,8008168.20000
1050,0.31472,0.31054,7889277.00000
1060,0.31462,0.31046,7874770.80000
1070,0.33143,0.32731,7857863.40000
1080,0.33626,0.33182,7844651.40000
1090,0.31565,0.31133,7767534.90000
1100,0.31486,0.31073,7719672.60000
1110,0.30086,0.29691,7176438.30000
1120,0.29997,0.29598,6990166.80000
1130,0.29678,0.29278,6758233.20000
1140,0.31336,0.30915,7029954.30000
1150,0.33815,0.33408,7408249.20000
1160,0.34621,0.34201,7500250.20000
1170,0.37252,0.36854,7953082.20000
1180,0.37876,0.37472,7999884.00000
1190,0.38268,0.37863,8001468.00000
1200,0.38302,0.37910,8001468.00000
1210,0.37185,0.36766,8001468.00000
1220,0.36663,0.36248,8001468.00000
1230,0.36388,0.35989,8001480.60000
1240,0.36319,0.35939,8003038.20000
1250,0.36131,0.35742,8001468.00000
1260,0.36212,0.35828,8001473.40000
1270,0.36008,0.35614,7966094.40000
1280,0.35110,0.34737,7745203.20000
1290,0.34422,0.34024,7579748.40000
1300,0.34274,0.33885,7498017.00000
1310,0.34819,0.34387,7510593.30000
1320,0.34031,0.33632,7033727.70000
1330,0.34429,0.34024,6970671.00000
1340,0.33723,0.33326,6970383.00000
1350,0.32992,0.32584,6970383.00000
1360,0.32594,0.32200,6970383.00000
1370,0.32533,0.32143,6970383.00000
1380,0.32230,0.31846,6970383.00000
1390,0.32779,0.32391,6970383.00000
1400,0.34250,0.33854,7212977.40000
1410,0.36904,0.36511,8001493.20000
1420,0.36817,0.36391,8001594.00000
1430,0.35789,0.35387,7931326.20000
1440,0.33644,0.33206,7829976.00000
1450,0.33670,0.33297,7834560.60000
1460,0.34228,0.33819,7925053.80000
1470,0.34965,0.34539,7991727.00000
1480,0.34698,0.34288,7999516.80000
1490,0.34482,0.34082,8090580.60000
1500,0.35631,0.35214,8357266.20000
1510,0.36089,0.35664,8470036.80000
1520,0.35916,0.35507,8477401.20000
1530,0.36136,0.35712,8489996.40000
1540,0.36171,0.35755,8495800.80000
1550,0.36422,0.35968,8494414.20000
1560,0.36923,0.36511,8494104.00000
1570,0.36747,0.36320,8494104.00000
1580,0.36608,0.36179,8494104.00000
1590,0.36856,0.36435,8494104.00000
1600,0.36173,0.35754,8494104.00000
1610,0.35581,0.35155,8494104.00000
1620,0.35748,0.35288,8492731.20000
1630,0.35892,0.35466,8491920.00000
1640,0.35797,0.35360,8492370.00000
1650,0.36040,0.35610,8449743.60000
1660,0.35894,0.35457,8384289.00000
1670,0.35680,0.35232,8374041.00000
1680,0.35830,0.35408,8367843.60000
1690,0.36464,0.36063,8358251.40000
1700,0.36166,0.35755,8295681.00000
1710,0.35650,0.35230,8261586.00000
1720,0.35471,0.35045,8187317.10000
1730,0.34920,0.34528,8043384.00000
1740,0.35044,0.34662,8041504.80000
1750,0.34845,0.34442,7985956.20000
1760,0.33826,0.33444,7787619.60000
1770,0.33218,0.32841,7530717.00000
1780,0.33272,0.32879,7427402.40000
1790,0.31948,0.31566,6990182.40000
1800,0.32460,0.32063,6983793.00000
1810,0.32860,0.32472,6983793.00000
1820,0.32963,0.32590,6973673.70000
1830,0.33362,0.32974,6963402.00000
1840,0.33428,0.33043,6963356.40000
1850,0.33981,0.33606,6962112.00000
1860,0.34076,0.33696,6953349.00000
1870,0.33962,0.33574,6944862.00000
1880,0.33912,0.33525,6944862.00000
1890,0.32557,0.32133,6558870.00000
1900,0.32295,0.31869,6558870.00000
1910,0.33378,0.32988,6558870.00000
1920,0.30145,0.29752,6046112.40000
1930,0.31285,0.30883,6034722.00000
1940,0.30012,0.29605,6034722.00000
1950,0.29746,0.29342,5990710.80000
1960,0.29591,0.29199,5990314.80000
1970,0.29336,0.28952,5842207.80000
1980,0.27090,0.26664,5447708.70000
1990,0.27026,0.26621,5451609.00000
2000,0.27404,0.27021,5451609.00000
2010,0.26782,0.26382,5444671.80000
2020,0.26118,0.25728,5444901.00000
2030,0.25627,0.25232,5297904.60000
2040,0.25218,0.24818,5208151.80000
2050,0.24992,0.24579,5207691.00000
2060,0.24555,0.24158,5207691.00000
2070,0.21332,0.20939,4036655.40000
2080,0.20121,0.19726,3727287.00000
2090,0.20216,0.19809,3727287.00000
2100,0.20379,0.19965,3705588.60000
2110,0.19950,0.19559,3618915.00000
2120,0.20494,0.20100,3618915.00000
2130,0.20011,0.19618,3585544.50000
2140,0.20208,0.19792,3499356.00000
2150,0.20178,0.19742,3499356.00000
2160,0.19629,0.19228,3434960.40000
2170,0.19480,0.19094,3337312.20000
2180,0.19313,0.18923,3327910.80000
2190,0.19406,0.19024,3326756.40000
2200,0.19469,0.19087,3284885.40000
2210,0.19540,0.19158,3266988.00000
