frame,total,visibility,resolve,index_count
0,0.33676,0.27149,0.05847,8231199.00000
10,0.33606,0.27084,0.05848,8231199.00000
20,0.33628,0.27082,0.05859,8234561.10000
30,0.34863,0.28281,0.05903,8236002.00000
40,0.33672,0.27085,0.05870,8236002.00000
50,0.33675,0.27124,0.05877,8236002.00000
60,0.33896,0.27302,0.05899,8236002.00000
70,0.33665,0.27066,0.05904,8236002.00000
80,0.33628,0.27061,0.05884,8236002.00000
90,0.38481,0.29048,0.08749,8237667.00000
100,0.41362,0.30694,0.09919,8329675.20000
110,0.41485,0.30822,0.09980,8334444.00000
120,0.42150,0.31381,0.10058,8317910.40000
130,0.41187,0.30426,0.10079,8139647.40000
140,0.39129,0.28454,0.10023,7834020.30000
150,0.36137,0.25447,0.10000,7424970.00000
160,0.36008,0.25277,0.10040,7313065.20000
170,0.34859,0.24130,0.09994,7154175.00000
180,0.36044,0.25370,0.09959,7421709.90000
190,0.38116,0.27502,0.09923,7716846.60000
200,0.37957,0.27309,0.09929,7789365.60000
210,0.37695,0.26996,0.09983,7826196.60000
220,0.37478,0.26818,0.09988,7722507.90000
230,0.38019,0.27320,0.09997,7757628.60000
240,0.38131,0.27344,0.10034,7718556.00000
250,0.38486,0.27541,0.10264,7713440.40000
260,0.39116,0.28050,0.10349,7695356.40000
270,0.39386,0.28374,0.10295,7698819.00000
280,0.39641,0.28634,0.10296,7700268.00000
290,0.39553,0.28620,0.10255,7720264.80000
300,0.39602,0.28642,0.10251,7730274.00000
310,0.39753,0.28756,0.10238,7730274.00000
320,0.39726,0.28773,0.10246,7744542.00000
330,0.40158,0.29195,0.10237,7870452.00000
340,0.40298,0.29310,0.10262,7870452.00000
350,0.40344,0.29382,0.10260,7860626.40000
360,0.40096,0.29119,0.10252,7803858.00000
370,0.39946,0.29031,0.10212,7800402.00000
380,0.40179,0.29187,0.10260,7791610.80000
390,0.40205,0.29262,0.10227,7793692.20000
400,0.40146,0.29252,0.10198,7792572.00000
410,0.40028,0.29180,0.10143,7790788.80000
420,0.39920,0.29095,0.10131,7774376.10000
430,0.39128,0.28325,0.10120,7465851.00000
440,0.36921,0.26131,0.10074,7100517.00000
450,0.35942,0.25288,0.09932,7082915.40000
460,0.35036,0.24593,0.09692,7070199.60000
470,0.34958,0.24650,0.09607,7068315.60000
480,0.34270,0.24103,0.09468,6944262.90000
490,0.34190,0.24047,0.09439,6947631.00000
500,0.36373,0.25694,0.09973,7164264.60000
510,0.37983,0.27168,0.10125,7409877.60000
520,0.39842,0.29002,0.10140,7792772.10000
530,0.39982,0.29102,0.10182,7782946.20000
540,0.39572,0.28613,0.10218,7708882.20000
550,0.39385,0.28424,0.10220,7631395.80000
560,0.39090,0.28160,0.10201,7774871.40000
570,0.38666,0.28051,0.09910,7833945.00000
580,0.40834,0.30286,0.09826,8015462.10000
590,0.41736,0.31219,0.09792,8052279.90000
600,0.42138,0.31868,0.09570,8120811.00000
610,0.41673,0.31426,0.09549,8118021.00000
620,0.41352,0.30866,0.09807,8111811.90000
630,0.39449,0.28958,0.09786,7943511.60000
640,0.37906,0.27320,0.09877,7721718.60000
650,0.37841,0.27206,0.09928,7634876.10000
660,0.38159,0.27478,0.09970,7668963.00000
670,0.37590,0.26943,0.09968,7623788.40000
680,0.37457,0.26782,0.09977,7621869.00000
690,0.37222,0.26518,0.10018,7621161.00000
700,0.36973,0.26261,0.10017,7657194.90000
710,0.37803,0.27125,0.09959,7685407.80000
720,0.38432,0.27796,0.09941,7674967.20000
730,0.38133,0.27472,0.09930,7627148.40000
740,0.37745,0.27114,0.09929,7612737.60000
750,0.38283,0.27649,0.09918,7626187.20000
760,0.38130,0.27491,0.09930,7597246.20000
770,0.37876,0.27298,0.09893,7594820.40000
780,0.38135,0.27535,0.09884,7589790.60000
790,0.37954,0.27397,0.09844,7538191.80000
800,0.37553,0.27050,0.09768,7376284.80000
810,0.36672,0.26196,0.09761,7196946.00000
820,0.35777,0.25314,0.09780,7066977.00000
830,0.34800,0.24304,0.09808,6851366.40000
840,0.34560,0.24011,0.09836,6848332.80000
850,0.34523,0.23991,0.09840,6847776.00000
860,0.34567,0.24048,0.09822,6847488.00000
870,0.35068,0.24569,0.09828,6847718.40000
880,0.35156,0.24615,0.09851,6847878.00000
890,0.34174,0.23654,0.09836,6773436.30000
900,0.34145,0.23675,0.09795,6977846.70000
910,0.39354,0.28844,0.09844,8005858.80000
920,0.41006,0.30517,0.09793,8114672.70000
930,0.41848,0.31401,0.09728,8255881.50000
940,0.41377,0.30745,0.09891,8315368.80000
950,0.40876,0.30076,0.10058,8294084.40000
960,0.40515,0.29707,0.10087,8262489.00000
970,0.40680,0.29883,0.10094,8262258.60000
980,0.40878,0.30076,0.10098,8260713.00000
990,0.40594,0.29804,0.10099,8260413.00000
1000,0.40332,0.29528,0.10118,8209144.20000
1010,0.40212,0.29382,0.10110,8169582.60000
1020,0.39917,0.29066,0.10129,8152836.60000
1030,0.39611,0.28751,0.10163,8064639.00000
1040,0.39329,0.28473,0.10144,8008168.20000
1050,0.38697,0.27838,0.10168,7889277.00000
1060,0.38786,0.27916,0.10177,7874770.80000
1070,0.39541,0.28634,0.10221,7857863.40000
1080,0.39654,0.28697,0.10251,7844651.40000
1090,0.39027,0.28014,0.10300,7767534.90000
1100,0.39001,0.28054,0.10274,7719672.60000
1110,0.37140,0.26248,0.10197,7176438.30000
1120,0.36738,0.25873,0.10196,6990166.80000
1130,0.36137,0.25261,0.10203,6758233.20000
1140,0.37334,0.26402,0.10211,7029954.30000
1150,0.39423,0.28497,0.10246,7408249.20000
1160,0.40603,0.29620,0.10314,7500250.20000
1170,0.42431,0.31368,0.10394,7953082.20000
1180,0.42286,0.31228,0.10359,7999884.00000
1190,0.42351,0.31384,0.10292,8001468.00000
1200,0.42303,0.31320,0.10245,8001468.00000
1210,0.41011,0.30205,0.10112,8001468.00000
1220,0.40504,0.29730,0.10064,8001468.00000
1230,0.40212,0.29483,0.10036,8001480.60000
1240,0.39918,0.29234,0.10028,8003038.20000
1250,0.39864,0.29170,0.10021,8001468.00000
1260,0.39784,0.29068,0.09982,8001473.40000
1270,0.39442,0.28793,0.09962,7966094.40000
1280,0.38884,0.28312,0.09892,7745203.20000
1290,0.38227,0.27714,0.09734,7579748.40000
1300,0.37674,0.27383,0.09630,7498017.00000
1310,0.38283,0.27800,0.09772,7510593.30000
1320,0.37829,0.27101,0.10066,7033727.70000
1330,0.37442,0.26832,0.09956,6970671.00000
1340,0.36931,0.26360,0.09906,6970383.00000
1350,0.36753,0.26170,0.09889,6970383.00000
1360,0.36518,0.25918,0.09883,6970383.00000
1370,0.36318,0.25788,0.09854,6970383.00000
1380,0.36278,0.25690,0.09916,6970383.00000
1390,0.36661,0.25986,0.09957,6970383.00000
1400,0.38269,0.27422,0.10138,7212977.40000
1410,0.41032,0.30039,0.10270,8001493.20000
1420,0.40624,0.29724,0.10232,8001594.00000
1430,0.40139,0.29199,0.10253,7931326.20000
1440,0.39372,0.28382,0.10298,7829976.00000
1450,0.39308,0.28337,0.10278,7834560.60000
1460,0.39620,0.28642,0.10265,7925053.80000
1470,0.40072,0.29086,0.10307,7991727.00000
1480,0.40124,0.29088,0.10330,7999516.80000
1490,0.40135,0.28940,0.10464,8090580.60000
1500,0.41526,0.30249,0.10568,8357266.20000
1510,0.42042,0.30756,0.10542,8470036.80000
1520,0.42127,0.30848,0.10586,8477401.20000
1530,0.42449,0.31239,0.10527,8489996.40000
1540,0.42421,0.31485,0.10253,8495800.80000
1550,0.42653,0.31742,0.10166,8494414.20000
1560,0.43078,0.32465,0.09931,8494104.00000
1570,0.43214,0.32594,0.09911,8494104.00000
1580,0.42973,0.32463,0.09801,8494104.00000
1590,0.43299,0.32515,0.10053,8494104.00000
1600,0.43151,0.31993,0.10436,8494104.00000
1610,0.42942,0.31742,0.10464,8494104.00000
1620,0.42614,0.31626,0.10302,8492731.20000
1630,0.42304,0.31365,0.10223,8491920.00000
1640,0.42144,0.31453,0.09980,8492370.00000
1650,0.42659,0.31660,0.10284,8449743.60000
1660,0.42510,0.31513,0.10323,8384289.00000
1670,0.42352,0.31328,0.10289,8374041.00000
1680,0.42249,0.31240,0.10356,8367843.60000
1690,0.41513,0.30492,0.10315,8358251.40000
1700,0.41032,0.30062,0.10259,8295681.00000
1710,0.40744,0.29763,0.10224,8261586.00000
1720,0.40292,0.29387,0.10186,8187317.10000
1730,0.39466,0.28526,0.10245,8043384.00000
1740,0.39599,0.28643,0.10248,8041504.80000
1750,0.39266,0.28296,0.10225,7985956.20000
1760,0.38721,0.27826,0.10203,7787619.60000
1770,0.37849,0.26933,0.10218,7530717.00000
1780,0.37590,0.26689,0.10189,7427402.40000
1790,0.36070,0.25116,0.10208,6990182.40000
1800,0.36202,0.25309,0.10205,6983793.00000
1810,0.36313,0.25386,0.10186,6983793.00000
1820,0.36370,0.25497,0.10182,6973673.70000
1830,0.36606,0.25706,0.10204,6963402.00000
1840,0.36396,0.25536,0.10165,6963356.40000
1850,0.36285,0.25419,0.10156,6962112.00000
1860,0.36296,0.25427,0.10164,6953349.00000
1870,0.36327,0.25414,0.10190,6944862.00000
1880,0.36224,0.25361,0.10164,6944862.00000
1890,0.34841,0.24040,0.10104,6558870.00000
1900,0.34855,0.24023,0.10146,6558870.00000
1910,0.34616,0.23796,0.10148,6558870.00000
1920,0.32882,0.22082,0.10140,6046112.40000
1930,0.32974,0.22171,0.10124,6034722.00000
1940,0.32872,0.22085,0.10108,6034722.00000
1950,0.32445,0.21680,0.10082,5990710.80000
1960,0.32501,0.21660,0.10131,5990314.80000
1970,0.32560,0.21780,0.10104,5842207.80000
1980,0.29974,0.19213,0.10046,5447708.70000
1990,0.29892,0.19151,0.10023,5451609.00000
2000,0.29701,0.18960,0.10022,5451609.00000
2010,0.29607,0.18858,0.10057,5444671.80000
2020,0.29456,0.18690,0.10055,5444901.00000
2030,0.28816,0.18132,0.09990,5297904.60000
2040,0.28358,0.17713,0.09954,5208151.80000
2050,0.28284,0.17614,0.09953,5207691.00000
2060,0.28202,0.17568,0.09936,5207691.00000
2070,0.25066,0.14530,0.09835,4036655.40000
2080,0.24144,0.13634,0.09812,3727287.00000
2090,0.24221,0.13718,0.09819,3727287.00000
2100,0.24287,0.13770,0.09816,3705588.60000
2110,0.23663,0.13293,0.09689,3618915.00000
2120,0.23692,0.13267,0.09740,3618915.00000
2130,0.23468,0.13288,0.09461,3585544.50000
2140,0.23678,0.13171,0.09805,3499356.00000
2150,0.23471,0.13180,0.09617,3499356.00000
2160,0.23104,0.12780,0.09640,3434960.40000
2170,0.22740,0.12226,0.09859,3337312.20000
2180,0.22931,0.12412,0.09852,3327910.80000
2190,0.22860,0.12668,0.09508,3326756.40000
2200,0.22496,0.12445,0.09412,3284885.40000
2210,0.22361,0.12282,0.09422,3266988.00000
2220,0.22218,0.12102,0.09433,3266988.00000
2230,0.22531,0.11928,0.09924,3195621.00000
2240,0.22127,0.11688,0.09772,3114666.00000
2250,0.21950,0.11822,0.09457,3110658.00000
2260,0.21898,0.11816,0.09421,3110223.60000
2270,0.21872,0.11622,0.09597,3107632.20000
2280,0.21457,0.11169,0.09641,3061461.60000
2290,0.18596,0.10118,0.07826,2951409.30000
2300,0.15666,0.08672,0.06327,2661215.40000
2310,0.13994,0.08183,0.05126,2830292.40000
2320,0.14151,0.08528,0.04938,2955202.80000
2330,0.14896,0.08734,0.05463,2936598.00000
2340,0.14507,0.08584,0.05247,2925376.80000
2350,0.20887,0.12950,0.07262,4447362.90000
2360,0.35943,0.25531,0.09706,6957913.50000
2370,0.38975,0.28436,0.09858,7457976.00000
2380,0.40411,0.29620,0.10085,7792472.10000
2390,0.41606,0.30766,0.10138,8135277.00000
2400,0.41733,0.30865,0.10145,8183354.70000
2410,0.42272,0.31398,0.10182,8254320.60000
2420,0.42196,0.31304,0.10182,8273556.00000
2430,0.42050,0.31161,0.10167,8254764.00000
2440,0.42249,0.31428,0.10133,8292348.00000
2450,0.42124,0.31264,0.10135,8264740.20000
2460,0.42066,0.31227,0.10150,8264595.00000
2470,0.41920,0.31124,0.10090,8264595.00000
2480,0.42068,0.31217,0.10148,8264557.20000
2490,0.42348,0.31364,0.10277,8241388.80000
2500,0.41716,0.30732,0.10266,8108993.40000
2510,0.41972,0.30956,0.10281,8092652.40000
2520,0.41926,0.30890,0.10308,8085033.00000
2530,0.41724,0.30700,0.10302,8085033.00000
2540,0.42132,0.31100,0.10331,8096659.20000
2550,0.42295,0.31198,0.10382,8108604.60000
2560,0.41839,0.30752,0.10389,8164023.00000
2570,0.42431,0.31414,0.10318,8174460.00000
2580,0.42593,0.31586,0.10318,8119383.90000
2590,0.42372,0.31407,0.10277,8022754.80000
2600,0.42052,0.31102,0.10269,7735798.80000
2610,0.40875,0.29953,0.10237,7320041.40000
2620,0.40830,0.29911,0.10217,7211924.40000
2630,0.40802,0.29850,0.10230,7183030.20000
2640,0.40899,0.29962,0.10264,7199975.40000
2650,0.39509,0.28550,0.10265,7203627.00000
2660,0.38101,0.27171,0.10219,7203627.00000
2670,0.38143,0.27206,0.10254,7201927.80000
2680,0.38055,0.27146,0.10253,7199379.00000
2690,0.38415,0.27513,0.10252,7191180.60000
2700,0.38764,0.27798,0.10296,7147927.20000
2710,0.37694,0.26749,0.10287,6927421.20000
2720,0.36403,0.25501,0.10198,6801102.00000
2730,0.35339,0.24454,0.10173,6677148.00000
2740,0.35434,0.24612,0.10172,6599951.40000
2750,0.35102,0.24300,0.10143,6542559.00000
2760,0.34952,0.24161,0.10128,6506229.60000
2770,0.34472,0.23701,0.10105,6452277.00000
