frame,total,depth_prepass,geometry,lighting,index_count
0,0.60950,0.23605,0.34528,0.01829,8231199.00000
10,0.61892,0.23793,0.35134,0.01874,8231199.00000
20,0.61276,0.23608,0.34880,0.01833,8234561.10000
30,0.61824,0.23658,0.35284,0.01889,8236002.00000
40,0.61439,0.23552,0.35071,0.01872,8236002.00000
50,0.62330,0.23608,0.35856,0.01927,8236002.00000
60,0.62316,0.23673,0.35784,0.01928,8236002.00000
70,0.62138,0.23678,0.35490,0.01951,8236002.00000
80,0.62422,0.23669,0.35815,0.01967,8236002.00000
90,0.76012,0.23898,0.48176,0.02985,8237667.00000
100,0.81387,0.24473,0.52852,0.03052,8329675.20000
110,0.85455,0.24763,0.56837,0.02772,8334444.00000
120,0.81408,0.25524,0.52235,0.02718,8317910.40000
130,0.79908,0.25433,0.50623,0.02838,8139647.40000
140,0.81737,0.23826,0.54299,0.02782,7834020.30000
150,0.79798,0.22160,0.53097,0.03491,7424970.00000
160,0.79974,0.21860,0.53595,0.03475,7313065.20000
170,0.77702,0.21198,0.52175,0.03285,7154175.00000
180,0.79252,0.21770,0.53252,0.03193,7421709.90000
190,0.80232,0.22916,0.53118,0.03200,7716846.60000
200,0.79028,0.23113,0.51566,0.03288,7789365.60000
210,0.81149,0.23200,0.53545,0.03321,7826196.60000
220,0.80214,0.22956,0.53037,0.03220,7722507.90000
230,0.79170,0.23207,0.51546,0.03327,7757628.60000
240,0.78618,0.22977,0.51185,0.03403,7718556.00000
250,0.80777,0.22989,0.53204,0.03548,7713440.40000
260,0.79560,0.22956,0.52262,0.03351,7695356.40000
270,0.78484,0.22920,0.51380,0.03168,7698819.00000
280,0.79133,0.22913,0.51800,0.03030,7700268.00000
290,0.77984,0.23003,0.51008,0.02934,7720264.80000
300,0.76654,0.23134,0.49586,0.02896,7730274.00000
310,0.78639,0.23136,0.51572,0.02863,7730274.00000
320,0.77948,0.23200,0.50853,0.02814,7744542.00000
330,0.78582,0.23632,0.51144,0.02809,7870452.00000
340,0.78273,0.23692,0.50699,0.02834,7870452.00000
350,0.78563,0.23684,0.50982,0.02819,7860626.40000
360,0.78490,0.23513,0.51040,0.02886,7803858.00000
370,0.78510,0.23485,0.51087,0.02896,7800402.00000
380,0.79387,0.23557,0.51849,0.02923,7791610.80000
390,0.79456,0.23570,0.51740,0.02971,7793692.20000
400,0.79014,0.23453,0.51540,0.02981,7792572.00000
410,0.79762,0.23416,0.52178,0.03095,7790788.80000
420,0.79838,0.23315,0.52336,0.03142,7774376.10000
430,0.80732,0.22754,0.53676,0.03252,7465851.00000
440,0.80476,0.21474,0.54786,0.03176,7100517.00000
450,0.82726,0.21533,0.57047,0.03096,7082915.40000
460,0.83361,0.21388,0.58010,0.02934,7070199.60000
470,0.81480,0.21324,0.56237,0.02861,7068315.60000
