frame,total,depth_prepass,geometry,lighting,tonemap,index_count
0,3.57092,0.73508,2.10876,0.34808,0.05488,17931717.00000
10,3.78886,0.73736,2.29519,0.35024,0.05496,17940177.00000
20,3.87748,0.74456,2.42005,0.35081,0.05542,17986160.40000
30,3.91015,0.75692,2.39527,0.35380,0.05678,18170094.00000
40,3.81840,0.76545,2.45682,0.34868,0.05846,18170094.00000
50,3.75179,0.78808,2.47722,0.34568,0.06032,18716446.20000
60,4.06815,0.79944,2.74617,0.34951,0.06244,18906516.60000
70,4.50344,0.81415,2.93812,0.57904,0.07330,19051796.40000
80,4.86545,0.80304,2.92097,0.58447,0.07352,18850750.80000
90,4.41354,0.79350,2.86120,0.57919,0.07307,18739156.20000
100,4.11546,0.77992,2.53992,0.58012,0.07291,18457423.80000
110,4.41186,0.73975,2.73410,0.58345,0.07352,17516160.90000
120,4.41559,0.72514,2.94840,0.58023,0.07377,17143517.70000
130,4.25278,0.71443,2.69660,0.58270,0.07338,16902197.10000
140,4.00529,0.71202,2.44636,0.58231,0.07350,16866818.40000
150,4.11047,0.71221,2.60985,0.58225,0.07314,16902025.20000
160,4.46526,0.70736,2.79352,0.58330,0.07315,13710806.10000
170,3.17741,0.14928,2.23239,0.61451,0.07507,1952126.40000
180,3.10513,0.16692,2.06298,0.58244,0.07581,2341795.20000
190,3.08828,0.15079,2.12851,0.58277,0.07385,2107644.90000
200,2.95250,0.12948,2.04590,0.58233,0.07336,1419058.80000
210,2.73010,0.12038,1.73805,0.75324,0.07380,807861.60000
220,2.42002,0.11366,1.47783,0.73407,0.07521,643874.40000
230,2.16496,0.10055,1.27538,0.61291,0.07373,684394.20000
240,2.18564,0.13451,1.30366,0.64162,0.07404,1542489.30000
250,2.65784,0.14648,1.72480,0.70677,0.07402,1712182.50000
260,2.57210,0.13780,1.54995,0.76689,0.07508,1672847.40000
270,2.22696,0.14102,1.29689,0.68900,0.07500,1599087.60000
280,2.43760,0.14702,1.55621,0.64582,0.07331,1561190.10000
290,2.34149,0.13208,1.45284,0.66303,0.07418,1296197.40000
300,1.97760,0.12282,1.16486,0.58076,0.07268,1175449.20000
310,1.83995,0.11663,1.05171,0.58034,0.07280,912259.20000
320,1.82360,0.11369,1.03965,0.57971,0.07302,897765.00000
330,1.85331,0.11178,1.07184,0.57873,0.07316,897779.40000
340,2.26554,0.12199,1.39636,0.65227,0.07505,894099.90000
350,2.42266,0.12383,1.59908,0.58054,0.07454,879486.00000
360,2.75739,0.11520,1.74705,0.75385,0.07479,846745.80000
370,3.15227,0.11135,2.28721,0.58166,0.07415,793391.40000
380,3.49136,0.10097,2.57138,0.58163,0.07314,792712.20000
390,2.90340,0.08798,1.96435,0.65210,0.07407,565609.80000
400,2.14394,0.07589,1.30844,0.61188,0.07445,383192.10000
410,2.57752,0.08201,1.63972,0.73262,0.07631,528333.90000
420,3.30150,0.10570,2.38531,0.58231,0.07405,794159.10000
430,2.94762,0.10186,2.02921,0.58202,0.07417,728275.20000
440,2.90778,0.08392,2.03636,0.58257,0.07381,552941.10000
450,3.00676,0.07088,2.18069,0.58145,0.07340,412048.20000
460,2.99150,0.06613,2.09434,0.58237,0.07333,350868.00000
470,2.74625,0.06632,1.96614,0.58149,0.07345,350868.00000
480,2.79417,0.06266,1.87612,0.72568,0.07394,338481.60000
490,2.68477,0.06019,1.75072,0.77962,0.07417,321642.00000
500,2.71188,0.06103,1.79491,0.70752,0.07361,333708.90000
510,2.81905,0.06551,1.93515,0.58279,0.07343,339267.00000
520,2.76520,0.06683,1.84423,0.69462,0.07318,339351.00000
530,2.61612,0.06635,1.75067,0.70414,0.07371,339141.00000
540,2.46322,0.06695,1.71684,0.58264,0.07361,339351.00000
550,2.79579,0.07087,1.96832,0.62328,0.07367,474632.40000
560,2.45322,0.07629,1.64305,0.62270,0.07386,541706.70000
570,1.93765,0.07352,1.19036,0.58176,0.07364,300708.60000
580,2.08715,0.07489,1.29458,0.62217,0.07656,161673.00000
590,2.68864,0.08391,1.82056,0.62319,0.07649,548954.40000
600,3.64500,0.46070,2.29306,0.58230,0.07563,11588695.20000
610,4.52028,0.85098,2.81728,0.58017,0.07345,19725067.20000
620,4.40603,0.90376,2.67119,0.57981,0.07386,20666283.30000
630,4.64138,0.89803,2.88398,0.57939,0.07376,20582339.40000
640,4.64369,0.89664,2.95754,0.57867,0.07363,20465119.80000
650,5.02876,0.92120,3.35427,0.57816,0.07386,20652440.10000
660,4.76270,0.98084,3.10930,0.57772,0.07389,21682819.20000
670,4.54570,1.00115,2.83987,0.57821,0.07440,21738046.50000
680,4.61684,1.15380,2.76933,0.57856,0.07485,22076160.30000
690,4.78866,1.26984,2.76632,0.63932,0.07522,22304887.50000
700,4.82616,1.30858,2.81849,0.57865,0.07374,22638279.60000
710,4.89646,1.32603,2.89853,0.57778,0.07354,22789707.90000
720,4.78020,1.31815,2.78988,0.57738,0.07317,22262677.50000
730,4.55878,1.24836,2.62557,0.57676,0.07181,22018467.60000
740,4.38582,1.14262,2.57126,0.57588,0.07107,21917088.00000
750,4.30283,1.19235,2.33914,0.57662,0.07140,21721687.50000
760,4.61017,1.29179,2.64331,0.57676,0.07326,21997890.60000
770,4.60521,1.22313,2.71348,0.57758,0.07544,22372524.30000
780,4.79049,1.07198,3.04882,0.57807,0.07504,22483451.70000
790,4.78710,1.01974,3.09188,0.57796,0.07501,21911430.00000
800,4.55143,1.01109,2.86568,0.57767,0.07465,21860065.50000
810,4.57763,1.03482,2.87123,0.57754,0.07424,21923927.40000
820,4.45232,1.03945,2.70987,0.57762,0.07430,21883085.70000
830,4.40255,1.05102,2.67877,0.57734,0.07409,22118946.30000
840,4.24033,1.07190,2.49594,0.57722,0.07364,22337041.20000
850,4.24660,1.09778,2.47748,0.57662,0.07334,22345001.40000
860,4.23009,1.11611,2.44159,0.57631,0.07339,22435253.70000
870,4.33007,1.13121,2.43561,0.57709,0.07270,23038737.90000
880,3.37593,1.16203,1.44080,0.57836,0.07307,23595925.20000
890,3.50196,1.20377,1.50570,0.58088,0.08201,23847405.60000
900,3.66167,1.20533,1.62712,0.58175,0.08103,23450232.60000
910,4.58739,1.22724,2.59522,0.58135,0.08482,23663481.30000
920,4.94127,1.29460,2.88000,0.57936,0.08340,23387766.90000
930,5.10026,1.32763,3.05137,0.57952,0.08246,22808571.60000
940,4.90123,1.26811,2.88329,0.57992,0.08336,22669159.20000
950,4.91663,1.23125,2.97938,0.57977,0.08411,22675995.60000
960,4.71682,1.18216,2.75453,0.57995,0.08405,22710366.60000
970,4.42788,1.18948,2.55591,0.57920,0.08331,22421611.80000
980,4.12867,1.07115,2.20647,0.58058,0.08139,21648012.30000
990,3.73256,0.98262,1.89868,0.57856,0.07404,21358438.20000
1000,3.50313,0.96075,1.87556,0.57526,0.07218,20832129.90000
1010,3.63639,0.91887,1.93477,0.57665,0.07172,20399097.30000
1020,3.70658,0.91152,1.96860,0.57749,0.07266,20261161.20000
1030,3.60210,0.90329,1.98878,0.57660,0.07258,20050881.60000
1040,3.84460,0.89562,2.03536,0.57811,0.07266,20010486.60000
1050,3.90871,0.89934,2.19559,0.60511,0.07404,20314063.20000
1060,3.92001,0.93873,2.20791,0.57839,0.07348,21039028.50000
1070,4.24825,1.02250,2.52726,0.57752,0.07397,21848523.00000
1080,4.14533,0.96918,2.44594,0.57812,0.07406,20805311.70000
1090,3.91314,0.88094,2.16533,0.57808,0.07303,19459068.00000
1100,3.86188,0.86911,2.28499,0.57682,0.07267,19238143.80000
1110,3.82569,0.85690,2.13960,0.57790,0.07298,19026399.00000
1120,3.56398,0.83249,1.97910,0.57831,0.07320,18822052.80000
1130,3.43759,0.82448,1.83957,0.57812,0.07347,18694563.30000
1140,2.25228,0.34278,1.19814,0.57902,0.07258,5389947.60000
1150,1.82346,0.14258,1.00913,0.57910,0.07348,1301457.60000
1160,2.31178,0.30389,1.29642,0.57955,0.07332,8054462.10000
1170,3.76675,0.81136,2.16702,0.57800,0.07254,18352998.60000
1180,3.82785,0.80921,2.09184,0.57955,0.07276,18247214.40000
1190,3.80360,0.80521,2.11182,0.57943,0.07288,18177996.90000
1200,3.59109,0.81421,2.10326,0.57707,0.07241,18110781.30000
1210,3.99543,0.81846,2.24412,0.57919,0.07305,18034769.10000
1220,3.68338,0.79351,2.15668,0.57813,0.07288,17600804.40000
1230,3.68443,0.80996,2.05454,0.57856,0.07257,17953003.80000
1240,3.39331,0.85000,1.72100,0.57794,0.07282,18440531.10000
1250,3.58352,0.85935,1.79392,0.57899,0.07281,18571515.30000
1260,3.87733,0.83672,1.90136,0.58252,0.07452,17955660.60000
1270,3.30271,0.80563,1.64996,0.58042,0.07476,17176931.70000
1280,2.88660,0.79428,1.31413,0.58034,0.07463,16633705.50000
1290,2.81734,0.75475,1.03457,0.93400,0.07305,16363025.70000
1300,3.01134,0.72762,1.12420,1.06437,0.07473,16233924.60000
1310,2.76732,0.73349,1.13342,0.80754,0.07509,16418315.40000
1320,2.69339,0.71354,1.13416,0.72004,0.07516,15956200.20000
1330,2.56156,0.69841,1.02958,0.72177,0.07427,15627214.20000
1340,2.88777,0.71680,0.97938,1.10496,0.07522,15891296.10000
1350,2.92719,0.78686,1.28745,0.57936,0.07438,16763058.90000
1360,3.31460,0.84937,1.60273,0.57930,0.07470,18137182.80000
1370,3.55266,0.93312,1.81840,0.57883,0.07397,19776716.10000
1380,3.60440,0.97922,1.89802,0.57808,0.07493,20313801.00000
1390,4.22081,1.00498,2.09177,0.58186,0.07905,20898246.00000
1400,4.67277,1.07434,2.40024,0.58468,0.08334,21234892.80000
