frame,total,geometry,lighting,tonemap,index_count
0,3.96182,3.07924,0.34873,0.05447,2735043.00000
10,4.24918,3.31181,0.35017,0.05528,2743503.00000
20,4.33465,3.70147,0.35019,0.05581,2789486.40000
30,2.90136,2.19988,0.38860,0.03834,2973420.00000
40,3.79022,3.25812,0.34239,0.05038,2973420.00000
50,4.52760,4.10616,0.34961,0.06063,3519772.20000
60,4.58663,3.96381,0.43477,0.05832,3709842.60000
70,3.80210,2.56667,0.57286,0.05128,3855122.40000
80,3.67270,2.52854,0.57269,0.05111,3654076.80000
90,5.18281,4.47889,0.58715,0.07454,3542482.20000
100,5.02498,4.22631,0.59055,0.07404,3260749.80000
110,5.31962,4.35786,0.59087,0.07411,2319486.90000
120,5.87356,4.69792,0.59107,0.07400,1946843.70000
130,5.38890,4.18483,0.59142,0.07380,1705523.10000
140,5.01156,3.85095,0.59121,0.07422,1670144.40000
150,5.18544,4.03499,0.59096,0.07443,1705351.20000
160,5.37284,4.28578,0.59055,0.07428,1601443.50000
170,5.50893,4.20355,0.59220,0.07432,1952126.40000
180,5.17083,3.76446,0.59476,0.07988,2341795.20000
190,5.38913,4.20383,0.59543,0.07388,2107644.90000
200,5.04431,3.72919,0.59376,0.07380,1419058.80000
210,5.04521,3.84036,0.59127,0.07415,807861.60000
220,4.49866,3.41469,0.59002,0.07320,643874.40000
230,4.13696,2.93124,0.59166,0.07288,684394.20000
240,4.88143,3.33892,0.59315,0.07331,1542489.30000
250,4.89136,3.70982,0.59251,0.07442,1712182.50000
260,4.76922,3.71886,0.59066,0.07369,1672847.40000
270,4.99426,3.60471,0.59275,0.07380,1599087.60000
280,3.52194,2.09629,0.57284,0.05044,1561190.10000
290,3.28856,1.89788,1.26532,0.05031,1296197.40000
300,2.81528,1.78722,0.89378,0.05107,1175449.20000
310,2.95668,1.84295,1.01900,0.05034,912259.20000
320,3.07904,1.97682,0.60471,0.04969,897765.00000
330,3.36708,1.99264,0.66572,0.04966,897779.40000
340,3.61063,2.23807,0.57222,0.05022,894099.90000
350,3.16761,1.98816,0.87672,0.05079,879486.00000
360,2.87324,1.82020,0.92536,0.05129,846745.80000
370,3.06875,2.08416,0.59865,0.05111,793391.40000
380,3.00676,2.08488,0.65576,0.05099,792712.20000
390,2.63253,1.61986,0.90548,0.05275,565609.80000
400,2.17645,1.33749,0.59956,0.05138,383192.10000
410,2.76350,1.58610,1.00324,0.05299,528333.90000
420,3.22104,2.13356,0.57248,0.05118,794159.10000
430,3.05508,1.97159,0.72058,0.05111,728275.20000
440,2.86396,1.77230,1.03146,0.05229,552941.10000
450,2.42860,1.45866,0.86785,0.05233,412048.20000
460,2.09326,1.29079,0.57137,0.05091,350868.00000
470,1.84822,1.21265,0.57135,0.05087,350868.00000
480,2.07150,1.32950,0.61187,0.05634,338481.60000
490,2.91034,1.81893,1.00025,0.07373,321642.00000
500,2.92051,1.84070,0.89522,0.07368,333708.90000
510,3.25628,2.14373,0.59066,0.07300,339267.00000
520,3.25104,2.08366,0.64158,0.07328,339351.00000
530,2.96122,1.90249,0.82611,0.07294,339141.00000
540,2.97304,1.91467,0.77204,0.07259,339351.00000
