variant,renderer,overdraw,alu,repeat_count,pass_0_time_avg_ms,pass_1_time_avg_ms,pass_2_time_avg_ms,total_time_avg_ms
1,Forward,0.0,0.0,1,0.15043,0.0,0.0,0.15043
1,Forward,0.0,1.0,1,0.16349,0.0,0.0,0.16349
1,Forward,0.0,2.0,1,0.17221,0.0,0.0,0.17221
1,Forward,0.0,4.0,1,0.18963,0.0,0.0,0.18963
1,Forward,0.0,8.0,1,0.22472,0.0,0.0,0.22472
1,Forward,0.0,12.0,1,0.26095,0.0,0.0,0.26095
1,Forward,0.0,16.0,1,0.29877,0.0,0.0,0.29877
1,Forward,0.0,24.0,1,0.37478,0.0,0.0,0.37478
1,Forward,0.0,32.0,1,0.45107,0.0,0.0,0.45107
1,Forward,0.0,48.0,1,0.60349,0.0,0.0,0.60349
1,Forward,0.0,64.0,1,0.75586,0.0,0.0,0.75586
1,Forward,1.0,0.0,1,0.15456,0.0,0.0,0.15456
1,Forward,1.0,1.0,1,0.18541,0.0,0.0,0.18541
1,Forward,1.0,2.0,1,0.20439,0.0,0.0,0.20439
1,Forward,1.0,4.0,1,0.24233,0.0,0.0,0.24233
1,Forward,1.0,8.0,1,0.31988,0.0,0.0,0.31988
1,Forward,1.0,12.0,1,0.39774,0.0,0.0,0.39774
1,Forward,1.0,16.0,1,0.47762,0.0,0.0,0.47762
1,Forward,1.0,24.0,1,0.63754,0.0,0.0,0.63754
1,Forward,1.0,32.0,1,0.79718,0.0,0.0,0.79718
1,Forward,1.0,48.0,1,1.12215,0.0,0.0,1.12215
1,Forward,1.0,64.0,1,1.44068,0.0,0.0,1.44068
1,Forward,2.0,0.0,1,0.15939,0.0,0.0,0.15939
1,Forward,2.0,1.0,1,0.20675,0.0,0.0,0.20675
1,Forward,2.0,2.0,1,0.23592,0.0,0.0,0.23592
1,Forward,2.0,4.0,1,0.29453,0.0,0.0,0.29453
1,Forward,2.0,8.0,1,0.41425,0.0,0.0,0.41425
1,Forward,2.0,12.0,1,0.5368,0.0,0.0,0.5368
1,Forward,2.0,16.0,1,0.65749,0.0,0.0,0.65749
1,Forward,2.0,24.0,1,0.9016,0.0,0.0,0.9016
1,Forward,2.0,32.0,1,1.14588,0.0,0.0,1.14588
1,Forward,2.0,48.0,1,1.63383,0.0,0.0,1.63383
1,Forward,2.0,64.0,1,2.12166,0.0,0.0,2.12166
1,Forward,4.0,0.0,1,0.16829,0.0,0.0,0.16829
1,Forward,4.0,1.0,1,0.2483,0.0,0.0,0.2483
1,Forward,4.0,2.0,1,0.29847,0.0,0.0,0.29847
1,Forward,4.0,4.0,1,0.39863,0.0,0.0,0.39863
1,Forward,4.0,8.0,1,0.6025,0.0,0.0,0.6025
1,Forward,4.0,12.0,1,0.80987,0.0,0.0,0.80987
1,Forward,4.0,16.0,1,1.01516,0.0,0.0,1.01516
1,Forward,4.0,24.0,1,1.42718,0.0,0.0,1.42718
1,Forward,4.0,32.0,1,1.83846,0.0,0.0,1.83846
1,Forward,4.0,48.0,1,2.68904,0.0,0.0,2.68904
1,Forward,4.0,64.0,1,3.5201,0.0,0.0,3.5201
1,Forward,8.0,0.0,1,0.1848,0.0,0.0,0.1848
1,Forward,8.0,1.0,1,0.33044,0.0,0.0,0.33044
1,Forward,8.0,2.0,1,0.4232,0.0,0.0,0.4232
1,Forward,8.0,4.0,1,0.6076,0.0,0.0,0.6076
1,Forward,8.0,8.0,1,0.9815,0.0,0.0,0.9815
1,Forward,8.0,12.0,1,1.36858,0.0,0.0,1.36858
1,Forward,8.0,16.0,1,1.7255,0.0,0.0,1.7255
1,Forward,8.0,24.0,1,2.4932,0.0,0.0,2.4932
1,Forward,8.0,32.0,1,3.25484,0.0,0.0,3.25484
1,Forward,8.0,48.0,1,4.76135,0.0,0.0,4.76135
1,Forward,8.0,64.0,1,6.26829,0.0,0.0,6.26829
1,Forward,12.0,0.0,1,0.2054,0.0,0.0,0.2054
1,Forward,12.0,1.0,1,0.41723,0.0,0.0,0.41723
1,Forward,12.0,2.0,1,0.55228,0.0,0.0,0.55228
1,Forward,12.0,4.0,1,0.82781,0.0,0.0,0.82781
1,Forward,12.0,8.0,1,1.37968,0.0,0.0,1.37968
1,Forward,12.0,12.0,1,1.92044,0.0,0.0,1.92044
1,Forward,12.0,16.0,1,2.46974,0.0,0.0,2.46974
1,Forward,12.0,24.0,1,3.56322,0.0,0.0,3.56322
1,Forward,12.0,32.0,1,4.65365,0.0,0.0,4.65365
1,Forward,12.0,48.0,1,6.83778,0.0,0.0,6.83778
1,Forward,12.0,64.0,1,9.02118,0.0,0.0,9.02118
1,Forward,16.0,0.0,1,0.2258,0.0,0.0,0.2258
1,Forward,16.0,1.0,1,0.50608,0.0,0.0,0.50608
1,Forward,16.0,2.0,1,0.68162,0.0,0.0,0.68162
1,Forward,16.0,4.0,1,1.04529,0.0,0.0,1.04529
1,Forward,16.0,8.0,1,1.766,0.0,0.0,1.766
1,Forward,16.0,12.0,1,2.48114,0.0,0.0,2.48114
1,Forward,16.0,16.0,1,3.19377,0.0,0.0,3.19377
1,Forward,16.0,24.0,1,4.62592,0.0,0.0,4.62592
1,Forward,16.0,32.0,1,6.05825,0.0,0.0,6.05825
1,Forward,16.0,48.0,1,8.91845,0.0,0.0,8.91845
1,Forward,16.0,64.0,1,11.77933,0.0,0.0,11.77933
1,Forward,24.0,0.0,1,0.26625,0.0,0.0,0.26625
1,Forward,24.0,1.0,1,0.68724,0.0,0.0,0.68724
1,Forward,24.0,2.0,1,0.95149,0.0,0.0,0.95149
1,Forward,24.0,4.0,1,1.47456,0.0,0.0,1.47456
1,Forward,24.0,8.0,1,2.53515,0.0,0.0,2.53515
1,Forward,24.0,12.0,1,3.58916,0.0,0.0,3.58916
1,Forward,24.0,16.0,1,4.63818,0.0,0.0,4.63818
1,Forward,24.0,24.0,1,6.74741,0.0,0.0,6.74741
1,Forward,24.0,32.0,1,8.85354,0.0,0.0,8.85354
1,Forward,24.0,48.0,1,13.06729,0.0,0.0,13.06729
1,Forward,24.0,64.0,1,17.28098,0.0,0.0,17.28098
1,Forward,32.0,0.0,1,0.30647,0.0,0.0,0.30647
1,Forward,32.0,1.0,1,0.86342,0.0,0.0,0.86342
1,Forward,32.0,2.0,1,1.21285,0.0,0.0,1.21285
1,Forward,32.0,4.0,1,1.90373,0.0,0.0,1.90373
1,Forward,32.0,8.0,1,3.30393,0.0,0.0,3.30393
1,Forward,32.0,12.0,1,4.69578,0.0,0.0,4.69578
1,Forward,32.0,16.0,1,6.08142,0.0,0.0,6.08142
1,Forward,32.0,24.0,1,8.86947,0.0,0.0,8.86947
1,Forward,32.0,32.0,1,11.65044,0.0,0.0,11.65044
1,Forward,32.0,48.0,1,17.21516,0.0,0.0,17.21516
1,Forward,32.0,64.0,1,22.77676,0.0,0.0,22.77676
1,Forward,48.0,0.0,1,0.38763,0.0,0.0,0.38763
1,Forward,48.0,1.0,1,1.2172,0.0,0.0,1.2172
1,Forward,48.0,2.0,1,1.73795,0.0,0.0,1.73795
1,Forward,48.0,4.0,1,2.76587,0.0,0.0,2.76587
1,Forward,48.0,8.0,1,4.84943,0.0,0.0,4.84943
1,Forward,48.0,12.0,1,6.91796,0.0,0.0,6.91796
1,Forward,48.0,16.0,1,8.97908,0.0,0.0,8.97908
1,Forward,48.0,24.0,1,13.12453,0.0,0.0,13.12453
1,Forward,48.0,32.0,1,17.2604,0.0,0.0,17.2604
1,Forward,48.0,48.0,1,25.53594,0.0,0.0,25.53594
1,Forward,48.0,64.0,1,33.81003,0.0,0.0,33.81003
2,ForwardPrepass,0.0,0.0,1,0.14609,0.15142,0.0,0.29751
2,ForwardPrepass,0.0,1.0,1,0.14593,0.16132,0.0,0.30725
2,ForwardPrepass,0.0,2.0,1,0.14587,0.1683,0.0,0.31417
2,ForwardPrepass,0.0,4.0,1,0.14588,0.18235,0.0,0.32823
2,ForwardPrepass,0.0,8.0,1,0.14594,0.21921,0.0,0.36515
2,ForwardPrepass,0.0,12.0,1,0.14588,0.25841,0.0,0.40429
2,ForwardPrepass,0.0,16.0,1,0.14653,0.29598,0.0,0.44251
2,ForwardPrepass,0.0,24.0,1,0.14661,0.37202,0.0,0.51863
2,ForwardPrepass,0.0,32.0,1,0.14672,0.44846,0.0,0.59518
2,ForwardPrepass,0.0,48.0,1,0.14676,0.60048,0.0,0.74724
2,ForwardPrepass,0.0,64.0,1,0.14676,0.75262,0.0,0.89938
2,ForwardPrepass,1.0,0.0,1,0.14636,0.15124,0.0,0.2976
2,ForwardPrepass,1.0,1.0,1,0.14704,0.16228,0.0,0.30932
2,ForwardPrepass,1.0,2.0,1,0.14674,0.16938,0.0,0.31612
2,ForwardPrepass,1.0,4.0,1,0.14678,0.18371,0.0,0.33049
2,ForwardPrepass,1.0,8.0,1,0.14711,0.22142,0.0,0.36853
2,ForwardPrepass,1.0,12.0,1,0.14694,0.25943,0.0,0.40637
2,ForwardPrepass,1.0,16.0,1,0.14699,0.29728,0.0,0.44427
2,ForwardPrepass,1.0,24.0,1,0.1469,0.37336,0.0,0.52027
2,ForwardPrepass,1.0,32.0,1,0.14706,0.44955,0.0,0.59661
2,ForwardPrepass,1.0,48.0,1,0.14699,0.60168,0.0,0.74867
2,ForwardPrepass,1.0,64.0,1,0.14725,0.75598,0.0,0.90322
2,ForwardPrepass,2.0,0.0,1,0.14689,0.15179,0.0,0.29869
2,ForwardPrepass,2.0,1.0,1,0.14691,0.16207,0.0,0.30897
2,ForwardPrepass,2.0,2.0,1,0.14695,0.1693,0.0,0.31625
2,ForwardPrepass,2.0,4.0,1,0.14696,0.18456,0.0,0.33152
2,ForwardPrepass,2.0,8.0,1,0.14698,0.22235,0.0,0.36933
2,ForwardPrepass,2.0,12.0,1,0.14697,0.26034,0.0,0.40731
2,ForwardPrepass,2.0,16.0,1,0.14697,0.29824,0.0,0.4452
