overdraw,alu,winner_variant,winner_renderer,winner_time_ms,second_best_time_ms,winner_margin_second_over_best,variant_1_Forward_time_ms,variant_1_time_over_fastest,variant_2_ForwardPrepass_time_ms,variant_2_time_over_fastest,variant_4_VisBuf_time_ms,variant_4_time_over_fastest
0,0,1,Forward,0.15043,0.17431,1.1587449311972344,0.15043,1.0,0.29751,1.977730505883135,0.17431,1.1587449311972344
0,1,1,Forward,0.16349,0.19083,1.1672273533549453,0.16349,1.0,0.30725,1.8793198360756012,0.19083,1.1672273533549453
0,2,1,Forward,0.17221,0.19765,1.147726612856396,0.17221,1.0,0.31417,1.8243423726845132,0.19765,1.147726612856396
0,4,1,Forward,0.18963,0.21714,1.1450719822812847,0.18963,1.0,0.32823,1.7308970099667775,0.21714,1.1450719822812847
0,8,1,Forward,0.22472,0.25546,1.1367924528301887,0.22472,1.0,0.36515,1.6249110003559983,0.25546,1.1367924528301887
0,12,1,Forward,0.26095,0.29435,1.1279938685571949,0.26095,1.0,0.40429,1.5493006323050391,0.29435,1.1279938685571949
0,16,1,Forward,0.29877,0.33665,1.1267864912809185,0.29877,1.0,0.44251,1.481105867389631,0.33665,1.1267864912809185
0,24,1,Forward,0.37478,0.41563,1.10899727840333,0.37478,1.0,0.51863,1.38382517743743,0.41563,1.10899727840333
0,32,1,Forward,0.45107,0.49392,1.0949963420311704,0.45107,1.0,0.59518,1.3194847806327177,0.49392,1.0949963420311704
0,48,1,Forward,0.60349,0.6499,1.0769026827287942,0.60349,1.0,0.74724,1.2381978160367197,0.6499,1.0769026827287942
0,64,1,Forward,0.75586,0.80419,1.063940412245654,0.75586,1.0,0.89938,1.1898764321435187,0.80419,1.063940412245654
1,0,1,Forward,0.15456,0.18322,1.1854296066252588,0.15456,1.0,0.2976,1.9254658385093166,0.18322,1.1854296066252588
1,1,1,Forward,0.18541,0.20083,1.083167035219244,0.18541,1.0,0.30932,1.6683026805458174,0.20083,1.083167035219244
1,2,1,Forward,0.20439,0.20638,1.0097362884681247,0.20439,1.0,0.31612,1.5466510103234015,0.20638,1.0097362884681247
1,4,4,VisBuf,0.22603,0.24233,1.0721143211078175,0.24233,1.0721143211078175,0.33049,1.4621510418970933,0.22603,1.0
1,8,4,VisBuf,0.26364,0.31988,1.2133211955697163,0.31988,1.2133211955697163,0.36853,1.3978531330602337,0.26364,1.0
1,12,4,VisBuf,0.30242,0.39774,1.3151907942596388,0.39774,1.3151907942596388,0.40637,1.3437272667151643,0.30242,1.0
1,16,4,VisBuf,0.34478,0.44427,1.2885608213933524,0.47762,1.385289169905447,0.44427,1.2885608213933524,0.34478,1.0
1,24,4,VisBuf,0.42389,0.52027,1.2273703083347096,0.63754,1.5040222699285193,0.52027,1.2273703083347096,0.42389,1.0
1,32,4,VisBuf,0.50275,0.59661,1.1866931874689208,0.79718,1.5856389855793136,0.59661,1.1866931874689208,0.50275,1.0
1,48,4,VisBuf,0.66211,0.74867,1.1307335639093201,1.12215,1.694809019649303,0.74867,1.1307335639093201,0.66211,1.0
1,64,4,VisBuf,0.81723,0.90322,1.1052212963302865,1.44068,1.7628819304235037,0.90322,1.1052212963302865,0.81723,1.0
2,0,1,Forward,0.15939,0.19128,1.2000752870318088,0.15939,1.0,0.29869,1.8739569609134827,0.19128,1.2000752870318088
