frame,total,forward,index_count
0,1.77338,1.76928,6388479.00000
10,1.82222,1.81806,6388479.00000
20,1.80289,1.79853,6388479.00000
30,1.84134,1.83736,6388479.00000
40,1.77543,1.77144,6388479.00000
50,1.93798,1.93374,7620873.90000
60,2.28115,2.27652,7933098.00000
70,2.37176,2.36753,7933098.00000
80,2.41308,2.40832,7933098.00000
90,2.43594,2.43130,7933098.00000
100,2.56398,2.55958,7778540.10000
110,2.18210,2.17652,6388359.00000
120,2.20140,2.19747,6388359.00000
130,2.04651,2.00607,6328608.30000
140,2.22132,2.21720,6278724.00000
150,2.11858,2.11466,6278724.00000
160,2.00160,1.99765,6344505.00000
170,2.11564,2.11160,6548192.40000
180,2.00940,2.00562,6654137.70000
190,2.14414,2.14019,6649594.80000
200,2.44850,2.44431,6279649.20000
210,2.00273,1.99889,6153959.40000
220,2.17016,2.14519,5654925.00000
230,2.22572,2.19034,5715609.00000
240,2.41521,2.38005,6556806.00000
250,2.28058,2.25088,6632634.60000
260,2.32343,2.31933,6632607.00000
270,2.52064,2.51670,6632600.40000
280,2.52154,2.51739,6632592.60000
290,2.16910,2.16510,6632589.00000
300,2.26783,2.26371,6086332.20000
310,2.24844,2.24434,5774538.60000
320,2.35054,2.34644,5711706.00000
330,2.27720,2.27308,5522449.20000
340,2.34792,2.28556,5438616.30000
350,2.06235,2.05852,5419182.00000
360,2.06921,2.06546,5369350.80000
370,1.98156,1.97782,4967546.10000
380,1.75372,1.74974,4898302.80000
390,1.57000,1.56614,4809108.60000
400,1.59749,1.59341,4843965.00000
410,1.64056,1.63678,4857206.70000
420,1.93084,1.92691,4924218.00000
430,1.99725,1.99330,4921590.00000
440,1.61269,1.60843,4919838.00000
450,1.64229,1.63849,4918621.20000
460,1.48098,1.47712,4915782.00000
470,1.43860,1.43462,4915782.00000
480,1.52134,1.51710,4724589.90000
490,1.17928,1.17543,4350555.00000
500,1.42131,1.41720,4561743.60000
510,1.36714,1.36328,4649973.00000
520,1.31644,1.31215,4649973.00000
530,1.38015,1.37626,4649973.00000
540,1.41756,1.41360,4649973.00000
550,1.48549,1.48156,4889201.10000
560,1.53810,1.53409,4808830.80000
570,1.51548,1.51158,4297629.90000
580,1.58425,1.58017,3585789.60000
590,1.56656,1.56245,5050871.70000
600,2.49075,2.48607,7428586.80000
610,2.43135,2.42671,9154439.10000
620,2.54655,2.54195,9521362.20000
630,2.69145,2.68704,9517167.00000
640,2.60936,2.60471,9459631.80000
650,2.72803,2.72358,9421272.60000
660,2.88291,2.87834,10768835.40000
670,2.94897,2.94446,10858999.20000
680,2.85734,2.85267,10858885.50000
690,2.78417,2.77973,10855368.00000
700,2.82663,2.82206,10855368.00000
710,2.87765,2.87303,10855368.00000
720,2.79045,2.78590,10673067.00000
730,2.79213,2.78765,10593060.00000
740,2.68905,2.68470,10404744.00000
750,2.82946,2.82447,10279200.00000
760,3.06085,3.05644,10437937.50000
770,3.20640,3.20184,10766673.60000
780,3.23796,3.23348,10864798.80000
790,3.22811,3.22381,9787313.40000
800,3.31748,3.31292,9664446.60000
810,3.27977,3.27548,9667598.40000
820,3.14172,3.13733,9667593.00000
830,3.32390,3.31973,9667602.00000
840,3.42097,3.41654,9667602.60000
850,3.61923,3.61149,9667603.20000
860,3.62361,3.61894,9667607.40000
870,3.30633,3.30169,10385949.00000
880,3.97860,3.97424,10864839.00000
890,4.14287,4.13862,10864839.00000
900,4.17806,4.17371,10864835.40000
910,4.49527,4.49092,10864828.20000
920,4.31548,4.31081,10864825.20000
930,4.19284,4.18864,10864821.00000
940,4.17934,4.17507,10864821.00000
950,4.23939,4.23493,10864821.00000
960,4.25986,4.25508,10864818.00000
970,4.20168,4.19706,10864786.20000
980,4.08699,4.08234,10864773.00000
990,3.72250,3.71785,10864773.00000
