frame,total,depth_prepass,forward,index_count
0,1.08916,0.08452,0.99768,6388479.00000
10,1.10253,0.08536,1.01013,6388479.00000
20,1.14090,0.08530,1.04842,6388479.00000
30,1.19584,0.08569,1.09856,6388479.00000
40,1.22555,0.08576,1.12876,6388479.00000
50,1.41520,0.10368,1.30381,7620873.90000
60,1.66662,0.11564,1.53992,7933098.00000
70,1.75701,0.11660,1.63121,7933098.00000
80,1.76146,0.11646,1.63402,7933098.00000
90,1.68774,0.11658,1.56146,7933098.00000
100,1.98338,0.11647,1.80209,7778540.10000
110,1.56859,0.08945,1.46886,6388359.00000
120,1.53382,0.08819,1.43816,6388359.00000
130,1.43110,0.08798,1.33548,6328608.30000
140,1.43211,0.08746,1.33742,6278724.00000
150,1.47274,0.08713,1.37818,6278724.00000
160,1.44640,0.09080,1.34959,6344505.00000
170,1.44828,0.09714,1.34443,6548192.40000
180,1.48792,0.10182,1.37889,6654137.70000
190,1.43496,0.09880,1.32882,6649594.80000
200,1.51224,0.09075,1.41532,6279649.20000
210,1.47210,0.09031,1.37564,6153959.40000
220,1.52465,0.08062,1.43710,5654925.00000
230,1.40973,0.07824,1.32383,5715609.00000
240,1.41768,0.09178,1.31818,6556806.00000
250,1.42502,0.09569,1.32184,6632634.60000
260,1.35933,0.09470,1.25798,6632607.00000
270,1.41064,0.09531,1.30823,6632600.40000
280,1.48231,0.09651,1.37904,6632592.60000
290,1.44483,0.09668,1.34101,6632589.00000
300,1.19524,0.08760,1.09932,6086332.20000
310,1.12308,0.08368,1.03213,5774538.60000
320,1.10762,0.08151,1.01909,5711706.00000
330,1.14796,0.07932,1.06159,5522449.20000
340,1.20950,0.08111,1.12140,5438616.30000
350,1.25985,0.08332,1.16943,5419182.00000
360,1.28698,0.08139,1.19902,5369350.80000
370,1.40203,0.07502,1.31956,4967546.10000
380,1.43263,0.07442,1.35141,4898302.80000
390,1.28472,0.07176,1.20629,4809108.60000
400,1.20535,0.07033,1.12780,4843965.00000
410,1.26077,0.07233,1.18140,4857206.70000
420,1.44598,0.07340,1.36538,4924218.00000
430,1.62928,0.07135,1.55120,4921590.00000
440,1.34930,0.06692,1.27558,4919838.00000
450,1.38789,0.06585,1.31463,4918621.20000
460,1.37450,0.06551,1.30211,4915782.00000
470,1.32692,0.06546,1.25461,4915782.00000
480,1.48435,0.06410,1.41334,4724589.90000
490,1.19526,0.05814,1.13000,4350555.00000
500,1.39434,0.06080,1.32682,4561743.60000
510,1.38320,0.06210,1.31393,4649973.00000
520,1.36444,0.06226,1.29523,4649973.00000
530,1.44720,0.06204,1.37802,4649973.00000
540,1.43396,0.06234,1.36462,4649973.00000
550,1.38642,0.06559,1.31357,4889201.10000
560,1.26234,0.06801,1.18676,4808830.80000
570,1.17329,0.06505,1.08590,4297629.90000
580,1.14981,0.05595,1.08668,3585789.60000
590,1.24383,0.07380,1.16299,5050871.70000
600,1.52041,0.10760,1.40486,7428586.80000
610,1.59244,0.14888,1.43636,9154439.10000
620,1.56580,0.16346,1.39482,9521362.20000
630,1.62370,0.16301,1.45328,9517167.00000
640,1.65731,0.16060,1.48987,9459631.80000
650,1.69722,0.15880,1.53074,9421272.60000
660,1.78192,0.19344,1.58441,10768835.40000
670,1.82792,0.19921,1.62111,10858999.20000
680,1.84660,0.20160,1.63750,10858885.50000
690,1.83188,0.20133,1.62325,10855368.00000
700,1.82989,0.20194,1.62080,10855368.00000
710,1.81581,0.20305,1.60516,10855368.00000
720,1.80538,0.19938,1.59557,10673067.00000
730,1.79430,0.20151,1.56746,10593060.00000
740,1.72681,0.19546,1.52175,10404744.00000
750,1.71481,0.18799,1.51657,10279200.00000
760,1.77886,0.19447,1.57803,10437937.50000
770,1.87654,0.20103,1.66454,10766673.60000
780,1.90029,0.20412,1.68810,10864798.80000
790,1.83566,0.17997,1.64793,9787313.40000
800,1.79950,0.17430,1.61829,9664446.60000
810,1.75735,0.17181,1.57688,9667598.40000
820,1.77254,0.17256,1.58933,9667593.00000
830,1.73450,0.17307,1.55120,9667602.00000
840,1.72708,0.17894,1.53930,9667602.60000
850,1.70756,0.19309,1.48973,9667603.20000
860,1.64386,0.18124,1.45274,9667607.40000
870,1.58142,0.19253,1.37940,10385949.00000
880,1.56118,0.20828,1.34300,10864839.00000
890,1.50047,0.21016,1.28347,10864839.00000
900,1.54320,0.21134,1.32457,10864835.40000
910,2.02264,0.21909,1.74706,10864828.20000
920,2.23780,0.20603,1.91283,10864825.20000
930,2.21657,0.20585,1.98474,10864821.00000
940,2.24744,0.20996,2.01397,10864821.00000
950,2.19644,0.20610,1.96030,10864821.00000
960,2.14720,0.21255,1.89300,10864818.00000
970,2.09070,0.20512,1.79891,10864786.20000
980,1.82826,0.20657,1.61179,10864773.00000
990,1.68397,0.20664,1.46765,10864773.00000
1000,1.55384,0.20647,1.33785,10625328.60000
1010,1.52716,0.17610,1.34051,9667551.00000
1020,1.57620,0.17332,1.39212,9667551.00000
1030,1.60625,0.17124,1.42429,9667551.00000
1040,1.53651,0.17017,1.35561,9667551.00000
1050,1.62633,0.17961,1.43733,10146439.80000
1060,1.68883,0.20134,1.47720,10864773.00000
1070,1.73122,0.20354,1.52017,10864773.00000
1080,1.70541,0.18727,1.51087,10025094.60000
1090,1.67510,0.15905,1.50668,9329834.40000
1100,1.71574,0.14998,1.55348,9156234.00000
1110,1.60411,0.15124,1.44092,9156234.00000
1120,1.73161,0.15589,1.56824,9156234.00000
1130,1.69785,0.15320,1.53337,9153888.00000
1140,1.82490,0.15190,1.66564,8888382.00000
1150,1.48724,0.10634,1.37096,6681090.00000
1160,1.52420,0.10381,1.41206,7146947.40000
1170,1.59675,0.15268,1.43666,9101922.00000
1180,1.62376,0.15233,1.46417,9097980.00000
1190,1.61828,0.15232,1.45881,9099990.00000
1200,1.62042,0.15287,1.46019,9103005.00000
1210,1.82486,0.15324,1.65990,9103881.00000
1220,1.82461,0.15310,1.66428,9103005.00000
1230,1.72996,0.15336,1.56564,9103013.40000
1240,1.48924,0.15287,1.32495,9103039.20000
1250,1.50062,0.15260,1.33702,9100531.50000
1260,1.62749,0.15743,1.45882,9094303.20000
1270,1.69636,0.15234,1.53630,9091825.20000
1280,1.66615,0.14709,1.50908,8847516.90000
1290,1.57554,0.13982,1.42470,8728518.00000
1300,1.63454,0.13380,1.49538,8236771.20000
1310,1.29142,0.08682,1.19342,6191688.00000
1320,1.51367,0.09640,1.40518,6862126.50000
1330,1.33665,0.07698,1.21434,5573805.00000
1340,1.11447,0.08067,1.02377,6060954.00000
1350,1.35819,0.10704,1.24435,6881545.80000
1360,1.80721,0.17335,1.62241,9634320.90000
1370,1.59506,0.20847,1.37767,10864779.00000
1380,1.69645,0.21294,1.47614,10864773.60000
1390,1.88921,0.21203,1.66995,10864773.00000
1400,1.99298,0.20866,1.77421,10864774.80000
1410,2.07988,0.20384,1.86804,10566703.20000
1420,1.84230,0.19638,1.63550,10592118.60000
1430,1.95445,0.21162,1.73421,10864791.00000
1440,1.95995,0.21290,1.73896,10864798.20000
1450,1.97096,0.20920,1.75291,10864803.00000
1460,2.06342,0.21162,1.83340,10864803.00000
1470,2.06897,0.21010,1.84871,10864803.00000
1480,2.04451,0.21424,1.82273,10864807.80000
1490,2.02896,0.21368,1.80662,10864813.20000
1500,2.03927,0.21606,1.81646,10864818.60000
1510,2.12903,0.22339,1.83028,10864824.00000
1520,1.98869,0.22326,1.75726,10864827.00000
1530,1.89190,0.21793,1.66546,10864822.20000
1540,1.77190,0.21497,1.54890,10864824.00000
1550,1.77856,0.21840,1.55112,10864827.00000
1560,1.75205,0.21871,1.52650,10864828.20000
1570,1.73663,0.22075,1.50919,10869039.60000
1580,1.75400,0.22614,1.52034,10951032.60000
1590,1.62236,0.22796,1.38609,10974487.80000
1600,1.57608,0.22818,1.33912,10974497.40000
1610,1.51049,0.22745,1.27453,10974504.00000
1620,1.46000,0.22718,1.22566,10974501.00000
1630,1.42528,0.22808,1.18920,10974495.00000
1640,1.37522,0.22923,1.13696,10974492.00000
1650,1.34594,0.22948,1.10856,10974492.00000
1660,1.31809,0.23030,1.08007,10974493.80000
1670,1.30278,0.23107,1.06399,10974916.20000
1680,1.34757,0.23156,1.10892,11108102.10000
1690,1.25774,0.23204,1.01850,11241013.20000
1700,1.23206,0.23453,0.98786,11241018.60000
1710,1.20192,0.23537,0.95843,11241024.00000
1720,1.18496,0.23721,0.94076,11241025.80000
1730,1.14097,0.23558,0.89814,11241037.20000
1740,1.06791,0.23139,0.82963,11241052.20000
1750,1.03122,0.23084,0.79334,11241054.00000
1760,1.01235,0.23104,0.77429,11241054.00000
1770,1.00893,0.23320,0.76837,11241054.00000
1780,1.01188,0.23682,0.76826,11241054.00000
1790,0.99104,0.23829,0.74561,11241054.00000
1800,0.98374,0.23919,0.73764,11241054.00000
1810,0.99344,0.23916,0.74694,11241049.80000
1820,1.00979,0.23912,0.76336,11241039.60000
1830,1.03194,0.23886,0.78555,11241032.40000
1840,1.05574,0.23874,0.80985,11241024.00000
1850,1.08297,0.23863,0.83679,11241018.00000
1860,1.11617,0.23823,0.87082,11241019.80000
1870,1.16879,0.23922,0.92226,11241019.80000
1880,1.19195,0.23829,0.94671,11241012.60000
1890,1.31762,0.23833,1.07173,11241006.00000
1900,1.37083,0.23795,1.12599,11241003.00000
1910,1.36091,0.23773,1.11547,11240994.00000
1920,1.41686,0.23756,1.17212,11240985.60000
1930,1.45983,0.23761,1.21453,11240971.20000
1940,1.44516,0.23688,1.20111,11240961.00000
1950,1.50147,0.23654,1.25786,11240949.00000
1960,1.52547,0.23551,1.28308,11240934.60000
1970,1.50965,0.23470,1.26787,11240930.40000
1980,1.57743,0.23163,1.33884,11161169.70000
1990,1.57982,0.22224,1.35035,10974408.00000
2000,1.59467,0.21872,1.36882,10974408.00000
2010,1.61570,0.21850,1.39021,10974408.00000
