frame,total,geometry,lighting,index_count
0,3.47628,3.44954,0.01898,6388479.00000
10,3.40706,3.38093,0.01900,6388479.00000
20,3.52915,3.50192,0.01976,6388479.00000
30,3.55116,3.49245,0.02014,6388479.00000
40,3.53817,3.48965,0.02043,6388479.00000
50,3.84350,3.75209,0.02298,7620873.90000
60,4.50473,4.46949,0.02728,7933098.00000
70,4.71626,4.68015,0.02938,7933098.00000
80,4.77698,4.73974,0.03026,7933098.00000
90,4.81207,4.77597,0.02839,7933098.00000
100,4.97598,4.94074,0.02655,7778540.10000
110,4.23421,4.19998,0.02307,6388359.00000
120,4.42792,4.39531,0.02346,6388359.00000
130,4.18288,4.15160,0.02360,6328608.30000
140,4.12826,4.08221,0.02353,6278724.00000
150,4.14400,4.11185,0.02419,6278724.00000
160,4.02112,3.98892,0.02448,6344505.00000
170,4.04342,4.01328,0.02218,6548192.40000
180,4.08356,4.05278,0.02263,6654137.70000
190,4.23260,4.17180,0.02377,6649594.80000
200,4.48178,4.42091,0.02417,6279649.20000
210,4.08082,4.04952,0.02388,6153959.40000
220,4.16861,4.13657,0.02392,5654925.00000
230,4.50255,4.45594,0.02159,5715609.00000
240,4.96503,4.93396,0.02307,6556806.00000
250,4.32590,4.26535,0.02392,6632634.60000
260,4.36807,4.33991,0.02118,6632607.00000
270,4.54886,4.48893,0.02262,6632600.40000
280,4.86351,4.81813,0.02401,6632592.60000
290,4.19856,4.13811,0.02337,6632589.00000
300,4.49681,4.43900,0.01987,6086332.20000
310,4.28121,4.25326,0.02020,5774538.60000
320,4.26403,4.23762,0.01884,5711706.00000
330,4.72248,4.69550,0.01970,5522449.20000
340,4.74608,4.68662,0.02018,5438616.30000
350,4.08506,4.05676,0.01990,5419182.00000
360,3.80509,3.74794,0.02009,5369350.80000
370,3.88368,3.85392,0.02267,4967546.10000
380,3.38455,3.35605,0.02090,4898302.80000
390,3.16319,3.13534,0.02012,4809108.60000
400,3.19483,3.16856,0.01808,4843965.00000
410,3.19920,3.14101,0.02124,4857206.70000
420,3.87165,3.80730,0.02560,4924218.00000
430,3.76828,3.73723,0.02278,4921590.00000
440,3.20758,3.17844,0.02113,4919838.00000
450,3.23442,3.17450,0.01966,4918621.20000
460,2.89517,2.86747,0.01972,4915782.00000
470,2.82039,2.79374,0.01928,4915782.00000
480,2.95258,2.88707,0.01898,4724589.90000
490,2.27390,2.24779,0.01832,4350555.00000
500,2.84368,2.81768,0.01880,4561743.60000
510,2.74513,2.71883,0.01893,4649973.00000
520,2.73430,2.70810,0.01880,4649973.00000
530,2.90253,2.87248,0.02256,4649973.00000
540,2.91949,2.85741,0.01906,4649973.00000
550,2.95724,2.92638,0.02331,4889201.10000
560,3.09308,3.06306,0.02262,4808830.80000
570,2.87885,2.85313,0.01852,4297629.90000
580,3.15263,3.12402,0.02136,3585789.60000
590,3.15025,3.05878,0.02528,5050871.70000
600,4.81146,4.76089,0.02431,7428586.80000
610,4.67864,4.64136,0.03078,9154439.10000
620,4.97265,4.92889,0.03611,9521362.20000
630,4.93702,4.89123,0.03799,9517167.00000
640,5.13742,5.09073,0.03915,9459631.80000
650,5.34455,5.29650,0.04046,9421272.60000
660,5.60303,5.54956,0.04627,10768835.40000
670,5.62170,5.53856,0.04615,10858999.20000
680,5.59413,5.54044,0.04545,10858885.50000
690,5.27031,5.22013,0.04288,10855368.00000
700,5.49866,5.44866,0.04187,10855368.00000
710,5.63672,5.58800,0.04100,10855368.00000
720,5.36608,5.31883,0.03962,10673067.00000
730,5.28338,5.20757,0.03815,10593060.00000
740,5.39321,5.35030,0.03546,10404744.00000
750,5.59986,5.55690,0.03516,10279200.00000
760,6.22944,6.18470,0.03632,10437937.50000
770,6.39458,6.34782,0.03919,10766673.60000
780,6.44707,6.39808,0.04127,10864798.80000
790,6.41078,6.36488,0.03851,9787313.40000
800,6.50273,6.45758,0.03705,9664446.60000
810,6.46920,6.42548,0.03549,9667598.40000
820,6.36451,6.32293,0.03444,9667593.00000
830,6.74450,6.68436,0.03442,9667602.00000
840,6.93864,6.89691,0.03394,9667602.60000
850,7.44916,7.40962,0.03199,9667603.20000
860,7.25429,7.21586,0.03058,9667607.40000
870,6.99496,6.95434,0.03187,10385949.00000
880,7.96853,7.94039,0.02040,10864839.00000
890,8.02337,7.99152,0.02394,10864839.00000
900,8.31492,8.28574,0.02115,10864835.40000
910,8.86846,8.80094,0.02821,10864828.20000
920,8.36402,8.32377,0.03218,10864825.20000
930,8.28100,8.24218,0.03145,10864821.00000
940,8.48142,8.44188,0.03226,10864821.00000
950,8.47468,8.43437,0.03240,10864821.00000
960,8.48055,8.43733,0.03480,10864818.00000
970,8.17248,8.12740,0.03664,10864786.20000
980,7.95855,7.91313,0.03726,10864773.00000
990,7.38463,7.33913,0.03788,10864773.00000
1000,7.53080,7.48962,0.03313,10625328.60000
1010,6.71056,6.67240,0.03058,9667551.00000
1020,6.51150,6.47020,0.03333,9667551.00000
1030,6.19690,6.15365,0.03585,9667551.00000
1040,6.01439,5.97353,0.03312,9667551.00000
1050,5.44518,5.40151,0.03586,10146439.80000
1060,5.53004,5.48521,0.03745,10864773.00000
1070,6.11808,6.07150,0.03865,10864773.00000
1080,5.93135,5.88781,0.03624,10025094.60000
1090,6.14523,6.10306,0.03480,9329834.40000
1100,6.12788,6.07989,0.03980,9156234.00000
1110,6.47777,6.40100,0.03732,9156234.00000
1120,6.41579,6.36846,0.03857,9156234.00000
1130,7.20963,7.16730,0.03512,9153888.00000
1140,6.60063,6.54299,0.03165,8888382.00000
1150,5.41134,5.31320,0.02726,6681090.00000
1160,5.65024,5.59975,0.02535,7146947.40000
1170,6.26921,6.22767,0.03233,9101922.00000
1180,6.33601,6.29212,0.03536,9097980.00000
1190,6.14718,6.10329,0.03562,9099990.00000
1200,6.86558,6.82622,0.03233,9103005.00000
1210,6.84945,6.80924,0.03211,9103881.00000
1220,6.79769,6.75735,0.03314,9103005.00000
1230,6.35942,6.32091,0.03132,9103013.40000
1240,6.45750,6.41881,0.03159,9103039.20000
1250,6.50934,6.47116,0.03043,9100531.50000
1260,6.24822,6.20757,0.03228,9094303.20000
1270,6.38125,6.31813,0.03543,9091825.20000
1280,6.12990,6.09113,0.02857,8847516.90000
1290,5.65719,5.61392,0.03260,8728518.00000
1300,4.53640,4.49379,0.03288,8236771.20000
1310,5.20970,5.09362,0.02776,6191688.00000
1320,5.49057,5.44109,0.02380,6862126.50000
1330,5.89930,5.82205,0.01902,5573805.00000
1340,5.65239,5.62657,0.01836,6060954.00000
1350,6.28248,6.25544,0.01909,6881545.80000
1360,7.62663,7.59080,0.02684,9634320.90000
1370,7.58887,7.54585,0.03521,10864779.00000
1380,7.44962,7.40750,0.03407,10864773.60000
1390,7.84845,7.80445,0.03625,10864773.00000
1400,8.49569,8.45248,0.03475,10864774.80000
1410,7.54138,7.50790,0.02600,10566703.20000
1420,6.61778,6.58770,0.02216,10592118.60000
1430,7.74588,7.71061,0.02704,10864791.00000
1440,7.05757,7.02332,0.02614,10864798.20000
1450,7.22874,7.19340,0.02751,10864803.00000
1460,7.12046,7.08432,0.02860,10864803.00000
1470,7.13172,7.09482,0.02908,10864803.00000
1480,7.13196,7.09475,0.02934,10864807.80000
