frame,total,depth_prepass,geometry,lighting,index_count
0,0.66638,0.12667,0.51048,0.01933,6388479.00000
10,0.68609,0.12690,0.52991,0.01938,6388479.00000
20,0.70343,0.12727,0.54669,0.01960,6388479.00000
30,0.72411,0.12762,0.56601,0.01996,6388479.00000
40,0.74476,0.12842,0.58542,0.02051,6388479.00000
50,0.89243,0.15170,0.70769,0.02245,7620873.90000
60,1.01285,0.15988,0.81856,0.02390,7933098.00000
70,1.01977,0.15935,0.82377,0.02542,7933098.00000
80,1.06658,0.15922,0.87171,0.02526,7933098.00000
90,1.03224,0.15979,0.83859,0.02362,7933098.00000
100,1.07650,0.15888,0.88410,0.02312,7778540.10000
110,0.89222,0.12917,0.73070,0.02226,6388359.00000
120,0.88465,0.12812,0.72380,0.02252,6388359.00000
130,0.83976,0.12770,0.67935,0.02247,6328608.30000
140,0.84489,0.12779,0.68462,0.02242,6278724.00000
150,0.87154,0.12730,0.71096,0.02305,6278724.00000
160,0.86104,0.12983,0.69870,0.02246,6344505.00000
170,0.85052,0.13551,0.68259,0.02172,6548192.40000
180,0.85686,0.14031,0.68387,0.02259,6654137.70000
190,0.87090,0.13680,0.70097,0.02287,6649594.80000
200,0.90500,0.12906,0.74148,0.02341,6279649.20000
210,0.90082,0.12876,0.73900,0.02289,6153959.40000
220,0.87906,0.11709,0.72846,0.02294,5654925.00000
230,0.83244,0.11472,0.68679,0.02021,5715609.00000
240,0.85492,0.13224,0.69256,0.02155,6556806.00000
250,0.87559,0.13507,0.70712,0.02332,6632634.60000
260,0.83688,0.13513,0.66869,0.02030,6632607.00000
270,0.83721,0.13582,0.67041,0.02080,6632600.40000
280,0.89605,0.13609,0.72682,0.02266,6632592.60000
290,0.84988,0.13669,0.68088,0.02249,6632589.00000
300,0.75120,0.12536,0.59794,0.01806,6086332.20000
310,0.71672,0.11923,0.56914,0.01734,5774538.60000
320,0.70680,0.11632,0.56227,0.01802,5711706.00000
330,0.72262,0.11368,0.57936,0.01871,5522449.20000
340,0.75932,0.11479,0.61507,0.01913,5438616.30000
350,0.77593,0.11719,0.62890,0.01914,5419182.00000
360,0.75702,0.11448,0.61206,0.01907,5369350.80000
370,0.84554,0.10694,0.70668,0.02072,4967546.10000
380,0.85078,0.10510,0.71476,0.02014,4898302.80000
390,0.78838,0.10375,0.65538,0.01889,4809108.60000
400,0.74430,0.10136,0.61488,0.01762,4843965.00000
410,0.76286,0.10454,0.62872,0.01855,4857206.70000
420,0.89153,0.10420,0.75475,0.02206,4924218.00000
430,0.91802,0.10309,0.78272,0.02183,4921590.00000
440,0.79540,0.10105,0.66357,0.02040,4919838.00000
450,0.80117,0.10115,0.67029,0.01926,4918621.20000
460,0.83274,0.10136,0.70149,0.01911,4915782.00000
470,0.81049,0.10102,0.67967,0.01908,4915782.00000
480,0.88448,0.09902,0.75623,0.01866,4724589.90000
490,0.73572,0.08979,0.61754,0.01800,4350555.00000
500,0.86605,0.09423,0.74218,0.01880,4561743.60000
510,0.82226,0.09643,0.69579,0.01884,4649973.00000
520,0.80829,0.09624,0.68298,0.01868,4649973.00000
530,0.83668,0.09610,0.71140,0.01876,4649973.00000
540,0.83732,0.09650,0.71172,0.01873,4649973.00000
550,0.83446,0.10038,0.70525,0.01886,4889201.10000
560,0.77066,0.10078,0.64051,0.01864,4808830.80000
570,0.71393,0.09449,0.59086,0.01793,4297629.90000
580,0.69302,0.07709,0.58844,0.01758,3585789.60000
590,0.76880,0.10493,0.63530,0.01813,5050871.70000
600,0.93903,0.14864,0.75456,0.02164,7428586.80000
610,0.97501,0.18065,0.75440,0.02609,9154439.10000
620,0.99100,0.19241,0.75672,0.03147,9521362.20000
630,1.02204,0.19274,0.78490,0.03480,9517167.00000
640,1.03321,0.19136,0.79622,0.03575,9459631.80000
650,1.05908,0.19132,0.82081,0.03646,9421272.60000
660,1.12711,0.21692,0.85731,0.04231,10768835.40000
670,1.14680,0.22128,0.87298,0.04221,10858999.20000
680,1.14893,0.22156,0.87615,0.04103,10858885.50000
690,1.14253,0.22132,0.87140,0.03959,10855368.00000
700,1.13219,0.22237,0.86123,0.03839,10855368.00000
710,1.12962,0.22265,0.85863,0.03753,10855368.00000
720,1.11642,0.21910,0.85025,0.03654,10673067.00000
730,1.09038,0.21621,0.83041,0.03367,10593060.00000
740,1.06232,0.21310,0.80881,0.03035,10404744.00000
750,1.05448,0.21018,0.80382,0.03009,10279200.00000
760,1.08564,0.21155,0.83289,0.03134,10437937.50000
770,1.13447,0.21908,0.87021,0.03382,10766673.60000
780,1.14732,0.22168,0.87984,0.03574,10864798.80000
790,1.10664,0.20031,0.86136,0.03410,9787313.40000
800,1.08900,0.19642,0.84892,0.03330,9664446.60000
810,1.07489,0.19710,0.83585,0.03156,9667598.40000
820,1.07474,0.19834,0.83553,0.03105,9667593.00000
830,1.04688,0.19636,0.81068,0.02989,9667602.00000
840,1.02470,0.19661,0.78900,0.02914,9667602.60000
850,1.01596,0.19765,0.78066,0.02725,9667603.20000
860,0.99031,0.19862,0.75596,0.02550,9667607.40000
870,0.99680,0.20963,0.75403,0.02558,10385949.00000
880,1.03775,0.22529,0.78294,0.01884,10864839.00000
890,1.01141,0.22745,0.75520,0.01842,10864839.00000
900,1.02219,0.22784,0.76508,0.01929,10864835.40000
910,1.18885,0.23022,0.92387,0.02451,10864828.20000
920,1.19834,0.22644,0.93379,0.02791,10864825.20000
930,1.20723,0.22737,0.94190,0.02753,10864821.00000
940,1.21938,0.22602,0.95451,0.02793,10864821.00000
950,1.22615,0.22684,0.96021,0.02872,10864821.00000
960,1.21062,0.22526,0.94542,0.03001,10864818.00000
970,1.18705,0.22561,0.92122,0.03026,10864786.20000
980,1.15029,0.22427,0.88403,0.03060,10864773.00000
990,1.06622,0.22286,0.80292,0.02986,10864773.00000
1000,1.01643,0.22102,0.76012,0.02499,10625328.60000
1010,0.97749,0.19867,0.74589,0.02322,9667551.00000
1020,1.00108,0.19712,0.76781,0.02664,9667551.00000
1030,1.00295,0.19651,0.76696,0.02806,9667551.00000
1040,0.97037,0.19541,0.73662,0.02772,9667551.00000
1050,1.01879,0.20209,0.77529,0.03055,10146439.80000
1060,1.06797,0.21980,0.80624,0.03161,10864773.00000
1070,1.09360,0.22173,0.82917,0.03260,10864773.00000
1080,1.05568,0.20601,0.80909,0.03089,10025094.60000
1090,1.03134,0.18707,0.80563,0.02793,9329834.40000
1100,1.02272,0.18281,0.79888,0.03028,9156234.00000
1110,1.03068,0.18366,0.80689,0.03011,9156234.00000
1120,0.98218,0.18462,0.75524,0.03129,9156234.00000
1130,1.01565,0.18568,0.79058,0.02904,9153888.00000
1140,1.03786,0.18153,0.81844,0.02751,8888382.00000
1150,0.94648,0.14454,0.76228,0.02611,6681090.00000
1160,0.91154,0.13626,0.74329,0.02169,7146947.40000
1170,0.97498,0.18306,0.75428,0.02720,9101922.00000
1180,1.00227,0.18377,0.77811,0.02923,9097980.00000
1190,1.01833,0.18340,0.79446,0.02951,9099990.00000
1200,0.97182,0.18261,0.75216,0.02640,9103005.00000
1210,1.02202,0.18395,0.80164,0.02612,9103881.00000
1220,1.06259,0.18407,0.84024,0.02825,9103005.00000
1230,1.01208,0.18269,0.79263,0.02585,9103013.40000
1240,0.93147,0.18496,0.71209,0.02435,9103039.20000
1250,0.94611,0.18306,0.72792,0.02511,9100531.50000
1260,0.98958,0.18282,0.77104,0.02563,9094303.20000
1270,1.10497,0.18340,0.88650,0.02519,9091825.20000
1280,0.96617,0.17837,0.75439,0.02236,8847516.90000
1290,0.99135,0.17624,0.78244,0.02180,8728518.00000
1300,0.90919,0.17244,0.69877,0.02792,8236771.20000
1310,0.81665,0.12105,0.66368,0.01904,6191688.00000
1320,0.91164,0.13692,0.74308,0.02044,6862126.50000
1330,0.86594,0.11482,0.72311,0.01752,5573805.00000
1340,0.71032,0.11272,0.56996,0.01717,6060954.00000
1350,0.85070,0.14426,0.67738,0.01722,6881545.80000
1360,1.19151,0.19669,0.96712,0.02120,9634320.90000
1370,1.04282,0.22440,0.78204,0.02554,10864779.00000
1380,1.09074,0.22448,0.82841,0.02766,10864773.60000
1390,1.18097,0.22559,0.91592,0.02957,10864773.00000
1400,1.23638,0.22474,0.97233,0.02888,10864774.80000
1410,1.24259,0.22000,0.98826,0.02262,10566703.20000
1420,1.14795,0.21668,0.90074,0.02003,10592118.60000
1430,1.21023,0.22729,0.94972,0.02314,10864791.00000
1440,1.21170,0.22466,0.95379,0.02316,10864798.20000
1450,1.20844,0.22557,0.94865,0.02394,10864803.00000
1460,1.23784,0.22469,0.97824,0.02446,10864803.00000
1470,1.23550,0.22568,0.97441,0.02504,10864803.00000
1480,1.24587,0.22719,0.98266,0.02528,10864807.80000
1490,1.23734,0.22888,0.97356,0.02504,10864813.20000
1500,1.25618,0.23155,0.98985,0.02449,10864818.60000
1510,1.25795,0.23383,0.98982,0.02391,10864824.00000
1520,1.24038,0.23507,0.97096,0.02362,10864827.00000
1530,1.19242,0.23345,0.92469,0.02365,10864822.20000
1540,1.14378,0.23121,0.87934,0.02282,10864824.00000
1550,1.15000,0.23191,0.88466,0.02253,10864827.00000
1560,1.13077,0.23474,0.86253,0.02295,10864828.20000
1570,1.09450,0.23473,0.82609,0.02369,10869039.60000
1580,1.10312,0.23964,0.82842,0.02529,10951032.60000
1590,1.07793,0.24308,0.79710,0.02770,10974487.80000
1600,1.04907,0.24164,0.76842,0.02883,10974497.40000
1610,1.01208,0.24169,0.73247,0.02774,10974504.00000
1620,0.98445,0.24094,0.70747,0.02593,10974501.00000
1630,0.96284,0.24209,0.68686,0.02379,10974495.00000
1640,0.93912,0.24221,0.66376,0.02272,10974492.00000
1650,0.92458,0.24258,0.64927,0.02256,10974492.00000
1660,0.90767,0.24331,0.63220,0.02190,10974493.80000
1670,0.90414,0.24339,0.62873,0.02176,10974916.20000
1680,0.93295,0.24610,0.65270,0.02166,11108102.10000
1690,0.88388,0.24560,0.60730,0.02069,11241013.20000
1700,0.86678,0.24596,0.59118,0.01957,11241018.60000
1710,0.85225,0.24713,0.57630,0.01854,11241024.00000
1720,0.84357,0.24900,0.56664,0.01786,11241025.80000
1730,0.82218,0.24791,0.54676,0.01737,11241037.20000
1740,0.78182,0.24522,0.50987,0.01664,11241052.20000
1750,0.76116,0.24480,0.48986,0.01631,11241054.00000
