renderer_variant,variant,alu_calc_count,windows,mean_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms,std_ms,mean_index_count,median_index_count,cv_percent
1,Forward,10,240,0.7205330833333333,0.75591,1.12006,1.1893555999999992,0.00999,1.22058,0.28236626275297283,8365340.947500001,9667551.0,39.18852156610059
1,Forward,20,240,1.24769375,1.2919999999999998,1.987978,2.115607599999999,0.01008,2.20031,0.5119631647903945,8365340.947500001,9667551.0,41.03275862289079
1,Forward,40,240,2.464253875,2.5318899999999998,4.0787249999999995,4.293788199999999,0.0101,4.51158,1.0704463248021412,8365340.947500001,9667551.0,43.43896283016462
1,Forward,80,240,4.828875333333333,4.933695,7.939412999999999,8.651177299999999,0.00995,9.17083,2.126222631891808,8365340.947500001,9667551.0,44.03142523093662
1,Forward,160,240,9.582077,9.69312,15.7611115,16.718615699999994,0.00969,17.62228,4.195079130678034,8365340.947500001,9667551.0,43.78047818524141
2,Forward+Prepass,10,240,0.5938137916666667,0.649115,0.8090655,0.8317147,0.01396,0.83691,0.19392525295397162,8365340.947500001,9667551.0,32.65758654908949
2,Forward+Prepass,20,240,0.8562365833333333,0.921395,1.177289,1.2099468,0.01394,1.21866,0.275390634408032,8365340.947500001,9667551.0,32.162913821777494
2,Forward+Prepass,40,240,1.43391175,1.522305,2.0294754999999998,2.2087193,0.01371,2.24744,0.4834090758529555,8365340.947500001,9667551.0,33.71260998823362
2,Forward+Prepass,80,240,2.620638583333333,2.865205,3.6241589999999997,3.7887603999999993,0.01392,3.87199,0.9075626155525642,8365340.947500001,9667551.0,34.631353645041195
2,Forward+Prepass,160,240,4.909069708333333,5.261785,7.078653500000001,7.285644,0.01403,7.3582,1.7627998392580484,8365340.947500001,9667551.0,35.90904069391454
3,Deferred,10,240,0.7539906666666667,0.795595,1.1587314999999998,1.2044626999999999,0.02651,1.26989,0.28563381341515026,8365340.947500001,9667551.0,37.88293755384464
3,Deferred,20,240,1.2848743333333335,1.3497599999999998,1.9774959999999997,2.0629136999999997,0.02653,2.27624,0.5140516081318922,8365340.947500001,9667551.0,40.00792877528299
3,Deferred,40,240,2.4678904583333336,2.5180350000000002,4.010368,4.2889870000000005,0.02637,4.5017,1.0536371270237606,8365340.947500001,9667551.0,42.6938368948241
3,Deferred,80,240,4.836155000000001,4.951025,7.959048999999999,8.4810807,0.02671,8.86846,2.111668457301162,8365340.947500001,9667551.0,43.66420136040226
3,Deferred,160,240,9.500093333333332,9.734425,15.748890499999995,16.5842985,0.02654,17.26157,4.168213971439105,8365340.947500001,9667551.0,43.87550548386653
4,TVB,10,240,0.497878,0.550435,0.626679,0.6483285999999999,0.02876,0.65123,0.1464749200066768,8365340.947500001,9667551.0,29.419841809976905
4,TVB,20,240,0.6834202083333333,0.72819,0.853112,0.8742092,0.02793,0.8777,0.19886807187493277,8365340.947500001,9667551.0,29.0989451950675
4,TVB,40,240,1.0466244999999998,1.135205,1.295538,1.3181421,0.02803,1.32062,0.3137189346699686,8365340.947500001,9667551.0,29.974354190062304
4,TVB,80,240,1.7730645416666666,1.99943,2.176899,2.1989718000000003,0.02906,2.20411,0.5561578898711212,8365340.947500001,9667551.0,31.367041458532423
4,TVB,160,240,3.2408680416666664,3.75683,3.987875,4.0256092,0.02795,4.06132,1.060312424493592,8365340.947500001,9667551.0,32.71692678817956
5,Deferred+Prepass,10,240,0.6378608333333333,0.6990350000000001,0.8488505000000001,0.8703031,0.03007,0.87604,0.1997402664029805,8365340.947500001,9667551.0,31.314082314660673
5,Deferred+Prepass,20,240,0.8975954583333333,0.96472,1.210674,1.2445908,0.0298,1.25795,0.28203293127809037,8365340.947500001,9667551.0,31.42094009719843
5,Deferred+Prepass,40,240,1.476325125,1.55918,2.0421329999999998,2.0889081,0.02983,2.10942,0.4887674222806072,8365340.947500001,9667551.0,33.107031371603
5,Deferred+Prepass,80,240,2.6185875,2.78534,3.6797565,3.7942587,0.03003,3.84368,0.9065188848896126,8365340.947500001,9667551.0,34.618621103538175
5,Deferred+Prepass,160,240,4.947164208333334,5.371645,7.087790499999999,7.301307099999999,0.02968,7.61563,1.7685056992457349,8365340.947500001,9667551.0,35.747867359380265
6,TVB+GBuffer,10,240,0.5317252083333334,0.579325,0.6626019999999999,0.6788052,0.06838,0.68466,0.14555799097102592,8365340.947500001,9667551.0,27.374664335977283
6,TVB+GBuffer,20,240,0.7110409583333334,0.755365,0.8787345,0.8966421,0.06806,0.90253,0.19571987657711792,8365340.947500001,9667551.0,27.52582313062269
6,TVB+GBuffer,40,240,1.0718106250000001,1.15807,1.3156565,1.3348461,0.06795,1.33992,0.3086056172854116,8365340.947500001,9667551.0,28.79292386986848
6,TVB+GBuffer,80,240,1.8010632083333333,2.01972,2.215072,2.2494594,0.06806,2.30005,0.5517902071899714,8365340.947500001,9667551.0,30.636915164159433
6,TVB+GBuffer,160,240,3.2817001666666665,3.784725,4.0351715,4.154683899999998,0.06817,4.20467,1.0533699335027102,8365340.947500001,9667551.0,32.098299052489416
