frame,total,geometry,lighting,index_count
0,0.32105,0.29495,0.01915,6388479.00000
10,0.33152,0.30491,0.01938,6388479.00000
20,0.33362,0.30466,0.01978,6388479.00000
30,0.33748,0.31030,0.01998,6388479.00000
40,0.34679,0.31904,0.02031,6388479.00000
50,0.38649,0.35633,0.02236,7620873.90000
60,0.41752,0.38526,0.02493,7933098.00000
70,0.41973,0.38504,0.02723,7933098.00000
80,0.42032,0.38618,0.02661,7933098.00000
90,0.42483,0.39184,0.02545,7933098.00000
100,0.43290,0.40204,0.02376,7778540.10000
110,0.39347,0.36330,0.02283,6388359.00000
120,0.37521,0.34465,0.02320,6388359.00000
130,0.37541,0.34482,0.02325,6328608.30000
140,0.37720,0.34698,0.02297,6278724.00000
150,0.37688,0.34637,0.02337,6278724.00000
160,0.36690,0.33694,0.02278,6344505.00000
170,0.37049,0.34185,0.02155,6548192.40000
180,0.37312,0.34354,0.02226,6654137.70000
190,0.37999,0.34997,0.02280,6649594.80000
200,0.39692,0.36635,0.02349,6279649.20000
210,0.40064,0.37051,0.02285,6153959.40000
220,0.39632,0.36581,0.02298,5654925.00000
230,0.38821,0.36056,0.02042,5715609.00000
240,0.41156,0.38222,0.02221,6556806.00000
250,0.39731,0.36663,0.02372,6632634.60000
260,0.39698,0.36912,0.02067,6632607.00000
270,0.41243,0.38392,0.02125,6632600.40000
280,0.40544,0.37518,0.02290,6632592.60000
290,0.41174,0.38172,0.02304,6632589.00000
300,0.40668,0.37956,0.01793,6086332.20000
310,0.37846,0.35395,0.01710,5774538.60000
320,0.39052,0.36578,0.01751,5711706.00000
330,0.40014,0.37460,0.01832,5522449.20000
340,0.39496,0.36894,0.01885,5438616.30000
350,0.37201,0.34575,0.01883,5419182.00000
360,0.35968,0.33362,0.01889,5369350.80000
370,0.34980,0.32145,0.02099,4967546.10000
380,0.34432,0.31693,0.02013,4898302.80000
390,0.31689,0.29099,0.01876,4809108.60000
400,0.32486,0.30099,0.01696,4843965.00000
410,0.33414,0.30881,0.01822,4857206.70000
420,0.34509,0.31610,0.02171,4924218.00000
430,0.34582,0.31698,0.02158,4921590.00000
440,0.30573,0.27819,0.02030,4919838.00000
450,0.31364,0.28709,0.01914,4918621.20000
460,0.29987,0.27394,0.01886,4915782.00000
470,0.29399,0.26756,0.01886,4915782.00000
480,0.30443,0.27856,0.01846,4724589.90000
490,0.27019,0.24491,0.01806,4350555.00000
500,0.30023,0.27482,0.01829,4561743.60000
510,0.27591,0.25035,0.01855,4649973.00000
520,0.27448,0.24873,0.01830,4649973.00000
530,0.27412,0.24864,0.01838,4649973.00000
540,0.27780,0.25219,0.01847,4649973.00000
550,0.30002,0.27370,0.01878,4889201.10000
560,0.30930,0.28380,0.01852,4808830.80000
570,0.30354,0.27912,0.01735,4297629.90000
580,0.29678,0.27313,0.01691,3585789.60000
590,0.32143,0.29629,0.01789,5050871.70000
600,0.42833,0.39904,0.02204,7428586.80000
610,0.45579,0.42078,0.02754,9154439.10000
620,0.47968,0.43872,0.03312,9521362.20000
630,0.46833,0.42503,0.03624,9517167.00000
640,0.47617,0.43112,0.03764,9459631.80000
650,0.48002,0.43328,0.03949,9421272.60000
660,0.51427,0.46264,0.04428,10768835.40000
670,0.51050,0.45926,0.04420,10858999.20000
680,0.50837,0.45808,0.04312,10858885.50000
690,0.49786,0.44822,0.04198,10855368.00000
700,0.51297,0.46483,0.04080,10855368.00000
710,0.51073,0.46324,0.04012,10855368.00000
720,0.50386,0.45778,0.03876,10673067.00000
730,0.48539,0.44247,0.03572,10593060.00000
740,0.47351,0.43415,0.03208,10404744.00000
750,0.48842,0.44838,0.03251,10279200.00000
760,0.51159,0.47057,0.03382,10437937.50000
770,0.52225,0.47880,0.03614,10766673.60000
780,0.53227,0.48669,0.03821,10864798.80000
790,0.50762,0.46440,0.03607,9787313.40000
800,0.51750,0.47475,0.03569,9664446.60000
810,0.51545,0.47454,0.03372,9667598.40000
820,0.51907,0.47826,0.03308,9667593.00000
830,0.53847,0.49890,0.03242,9667602.00000
840,0.54574,0.50662,0.03194,9667602.60000
850,0.56154,0.52440,0.03003,9667603.20000
860,0.56496,0.52972,0.02796,9667607.40000
870,0.55626,0.52092,0.02822,10385949.00000
880,0.61953,0.59412,0.01818,10864839.00000
890,0.63698,0.61178,0.01792,10864839.00000
900,0.64973,0.62264,0.01927,10864835.40000
910,0.67197,0.63912,0.02564,10864828.20000
920,0.63140,0.59384,0.02990,10864825.20000
930,0.62504,0.58838,0.02922,10864821.00000
940,0.63147,0.59436,0.02976,10864821.00000
950,0.63234,0.59442,0.03049,10864821.00000
960,0.63956,0.59982,0.03242,10864818.00000
970,0.63119,0.59092,0.03299,10864786.20000
980,0.62862,0.58807,0.03314,10864773.00000
990,0.62806,0.58885,0.03192,10864773.00000
1000,0.62129,0.58640,0.02743,10625328.60000
1010,0.56520,0.53279,0.02522,9667551.00000
1020,0.55730,0.52044,0.02921,9667551.00000
1030,0.54264,0.50390,0.03103,9667551.00000
1040,0.52518,0.48794,0.02981,9667551.00000
1050,0.50251,0.46243,0.03291,10146439.80000
1060,0.53472,0.49364,0.03376,10864773.00000
1070,0.53964,0.49763,0.03474,10864773.00000
1080,0.52647,0.48582,0.03312,10025094.60000
1090,0.52290,0.48470,0.03077,9329834.40000
1100,0.52045,0.48062,0.03236,9156234.00000
1110,0.54540,0.50671,0.03161,9156234.00000
1120,0.55715,0.51706,0.03300,9156234.00000
1130,0.57062,0.53253,0.03094,9153888.00000
