frame,total,visibility,resolve,index_count
0,0.26286,0.17470,0.08132,6388479.00000
10,0.27010,0.17851,0.08510,6388479.00000
20,0.27040,0.17561,0.08800,6388479.00000
30,0.27512,0.17652,0.09192,6388479.00000
40,0.28363,0.17946,0.09709,6388479.00000
50,0.32101,0.21318,0.10126,7620873.90000
60,0.34739,0.22940,0.11095,7933098.00000
70,0.35440,0.23215,0.11515,7933098.00000
80,0.35355,0.23095,0.11554,7933098.00000
90,0.35327,0.23092,0.11532,7933098.00000
100,0.34982,0.22826,0.11468,7778540.10000
110,0.30621,0.18339,0.11622,6388359.00000
120,0.30536,0.18218,0.11626,6388359.00000
130,0.30212,0.17941,0.11606,6328608.30000
140,0.30253,0.17806,0.11579,6278724.00000
150,0.29984,0.17755,0.11584,6278724.00000
160,0.30046,0.17727,0.11614,6344505.00000
170,0.30818,0.18538,0.11624,6548192.40000
180,0.31559,0.19246,0.11642,6654137.70000
190,0.31127,0.18902,0.11574,6649594.80000
200,0.29681,0.17439,0.11574,6279649.20000
210,0.29196,0.16953,0.11551,6153959.40000
220,0.27922,0.15642,0.11568,5654925.00000
230,0.27723,0.15546,0.11505,5715609.00000
240,0.30742,0.18565,0.11512,6556806.00000
250,0.30604,0.18373,0.11527,6632634.60000
260,0.30715,0.18548,0.11484,6632607.00000
270,0.30694,0.18616,0.11426,6632600.40000
280,0.30802,0.18588,0.11555,6632592.60000
290,0.30522,0.18324,0.11487,6632589.00000
300,0.29201,0.17174,0.11385,6086332.20000
310,0.28448,0.16438,0.11335,5774538.60000
320,0.28152,0.16148,0.11349,5711706.00000
330,0.28171,0.16112,0.11378,5522449.20000
340,0.27871,0.15816,0.11382,5438616.30000
350,0.27427,0.15343,0.11383,5419182.00000
360,0.27125,0.15068,0.11384,5369350.80000
370,0.26181,0.13933,0.11574,4967546.10000
380,0.25614,0.13418,0.11526,4898302.80000
390,0.25625,0.13484,0.11464,4809108.60000
400,0.25536,0.13487,0.11369,4843965.00000
410,0.25872,0.13761,0.11436,4857206.70000
420,0.25797,0.13631,0.11502,4924218.00000
430,0.25495,0.13399,0.11429,4921590.00000
440,0.25320,0.13274,0.11363,4919838.00000
450,0.24948,0.12992,0.11272,4918621.20000
460,0.24831,0.12864,0.11296,4915782.00000
470,0.24760,0.12805,0.11276,4915782.00000
480,0.24485,0.12582,0.11232,4724589.90000
490,0.23521,0.11572,0.11277,4350555.00000
500,0.24360,0.12201,0.11474,4561743.60000
510,0.24408,0.12432,0.11304,4649973.00000
520,0.24331,0.12382,0.11290,4649973.00000
530,0.24240,0.12282,0.11293,4649973.00000
540,0.24364,0.12356,0.11318,4649973.00000
550,0.24880,0.12884,0.11328,4889201.10000
560,0.25236,0.13156,0.11407,4808830.80000
570,0.24838,0.12899,0.11281,4297629.90000
580,0.22725,0.10791,0.11249,3585789.60000
590,0.25568,0.13460,0.11431,5050871.70000
600,0.32884,0.20683,0.11520,7428586.80000
610,0.38926,0.26648,0.11570,9154439.10000
620,0.41144,0.28682,0.11724,9521362.20000
630,0.40876,0.28306,0.11816,9517167.00000
640,0.40812,0.28196,0.11860,9459631.80000
650,0.41040,0.28354,0.11858,9421272.60000
660,0.44363,0.31782,0.11867,10768835.40000
670,0.45239,0.32659,0.11872,10858999.20000
680,0.45511,0.32962,0.11871,10858885.50000
690,0.45302,0.32887,0.11707,10855368.00000
700,0.45386,0.33045,0.11611,10855368.00000
710,0.45313,0.33054,0.11549,10855368.00000
720,0.45120,0.32895,0.11519,10673067.00000
730,0.44672,0.32751,0.11215,10593060.00000
740,0.43965,0.32219,0.11040,10404744.00000
750,0.43813,0.31941,0.11149,10279200.00000
760,0.44802,0.32603,0.11467,10437937.50000
770,0.46094,0.33540,0.11849,10766673.60000
780,0.46475,0.33861,0.11922,10864798.80000
790,0.43564,0.31026,0.11849,9787313.40000
800,0.43198,0.30696,0.11812,9664446.60000
810,0.43173,0.30743,0.11735,9667598.40000
820,0.43102,0.30654,0.11765,9667593.00000
830,0.43296,0.30894,0.11733,9667602.00000
840,0.43610,0.31252,0.11696,9667602.60000
850,0.44120,0.31763,0.11675,9667603.20000
860,0.44355,0.32014,0.11654,9667607.40000
870,0.45595,0.33381,0.11562,10385949.00000
880,0.47517,0.35544,0.11270,10864839.00000
890,0.47862,0.35901,0.11286,10864839.00000
900,0.48161,0.36119,0.11347,10864835.40000
910,0.48140,0.35807,0.11634,10864828.20000
920,0.47474,0.35095,0.11522,10864825.20000
930,0.47054,0.34897,0.11444,10864821.00000
940,0.46965,0.34775,0.11500,10864821.00000
950,0.47118,0.34872,0.11566,10864821.00000
960,0.46912,0.34570,0.11648,10864818.00000
970,0.46630,0.34246,0.11665,10864786.20000
980,0.45676,0.33423,0.11540,10864773.00000
990,0.46130,0.33850,0.11579,10864773.00000
1000,0.46103,0.33878,0.11523,10625328.60000
1010,0.42976,0.30754,0.11500,9667551.00000
1020,0.42348,0.30078,0.11561,9667551.00000
1030,0.41670,0.29413,0.11537,9667551.00000
1040,0.41805,0.29538,0.11528,9667551.00000
1050,0.42394,0.30076,0.11598,10146439.80000
1060,0.44800,0.32451,0.11652,10864773.00000
1070,0.45552,0.33141,0.11696,10864773.00000
1080,0.43469,0.31077,0.11662,10025094.60000
1090,0.40353,0.28086,0.11513,9329834.40000
1100,0.40033,0.27751,0.11546,9156234.00000
1110,0.39934,0.27675,0.11532,9156234.00000
1120,0.39972,0.27658,0.11494,9156234.00000
1130,0.39830,0.27644,0.11422,9153888.00000
1140,0.38368,0.26277,0.11368,8888382.00000
1150,0.32646,0.20520,0.11470,6681090.00000
1160,0.32207,0.20011,0.11504,7146947.40000
1170,0.39937,0.27766,0.11425,9101922.00000
1180,0.38973,0.26828,0.11429,9097980.00000
1190,0.39018,0.26862,0.11440,9099990.00000
1200,0.39406,0.27234,0.11427,9103005.00000
1210,0.39133,0.26971,0.11427,9103881.00000
1220,0.38880,0.26726,0.11411,9103005.00000
1230,0.38654,0.26519,0.11409,9103013.40000
1240,0.39052,0.26993,0.11346,9103039.20000
1250,0.39046,0.26950,0.11374,9100531.50000
1260,0.38230,0.26126,0.11388,9094303.20000
1270,0.38264,0.26131,0.11385,9091825.20000
1280,0.37928,0.25877,0.11307,8847516.90000
1290,0.37053,0.25105,0.11252,8728518.00000
1300,0.36156,0.24097,0.11355,8236771.20000
1310,0.28797,0.16760,0.11352,6191688.00000
1320,0.31091,0.19073,0.11336,6862126.50000
1330,0.28936,0.16979,0.11276,5573805.00000
1340,0.29931,0.18005,0.11252,6060954.00000
1350,0.33476,0.21367,0.11438,6881545.80000
1360,0.41313,0.29212,0.11396,9634320.90000
1370,0.45922,0.33784,0.11435,10864779.00000
1380,0.46079,0.33929,0.11443,10864773.60000
1390,0.45699,0.33464,0.11507,10864773.00000
1400,0.45806,0.33575,0.11542,10864774.80000
1410,0.42820,0.31760,0.10348,10566703.20000
1420,0.40948,0.31000,0.09227,10592118.60000
1430,0.44584,0.33438,0.10430,10864791.00000
1440,0.44559,0.33538,0.10333,10864798.20000
1450,0.44824,0.33689,0.10410,10864803.00000
1460,0.45510,0.34159,0.10664,10864803.00000
1470,0.45776,0.34369,0.10721,10864803.00000
1480,0.46102,0.34592,0.10823,10864807.80000
1490,0.46403,0.34833,0.10869,10864813.20000
1500,0.46563,0.35085,0.10806,10864818.60000
1510,0.46900,0.35480,0.10732,10864824.00000
1520,0.46984,0.35731,0.10571,10864827.00000
1530,0.45980,0.35219,0.10059,10864822.20000
1540,0.45432,0.35165,0.09538,10864824.00000
1550,0.45472,0.35270,0.09486,10864827.00000
1560,0.45784,0.35470,0.09610,10864828.20000
1570,0.46122,0.35704,0.09728,10869039.60000
1580,0.46442,0.35886,0.09884,10951032.60000
1590,0.46630,0.35840,0.10100,10974487.80000
1600,0.46746,0.35895,0.10147,10974497.40000
1610,0.46226,0.35615,0.09914,10974504.00000
1620,0.45749,0.35374,0.09632,10974501.00000
1630,0.45248,0.35250,0.09316,10974495.00000
1640,0.44977,0.35066,0.09189,10974492.00000
1650,0.44912,0.35099,0.09139,10974492.00000
1660,0.44692,0.34991,0.09010,10974493.80000
1670,0.44626,0.35014,0.08940,10974916.20000
1680,0.44918,0.35388,0.08808,11108102.10000
