frame,px,py,pz,qx,qy,qz,qw
0,0.0000000,0.0000000,-10.0000000,0.0000000,0.0000000,0.0000000,1.0000000
60,0.0000000,0.5041494,-10.0000000,0.0000000,0.0000000,0.0000000,1.0000000
70,0.0000000,1.5029761,-10.0000000,0.0000000,0.0000000,0.0000000,1.0000000
80,0.0000000,2.5012283,-9.8037157,0.0000000,0.0000000,0.0000000,1.0000000
90,0.0000000,2.5012283,-8.8031321,0.0000000,0.0000000,0.0000000,1.0000000
100,0.0069602,2.5012283,-7.7986202,0.0119981,0.0164981,-0.0001980,0.9997919
110,0.0709871,2.5012283,-6.6961794,0.0344483,0.0509476,-0.0017584,0.9981055
120,-0.5784738,2.5012283,-5.5950179,0.0671848,0.0881833,-0.0059614,0.9938181
130,-1.1927148,2.5012283,-4.3339915,0.0846688,0.2857875,-0.0253585,0.9542084
140,-1.3229471,2.5012283,-2.9894929,0.0858039,0.4436871,-0.0427254,0.8910410
150,-1.7366714,2.5012283,-2.0884995,0.0840516,0.6224201,-0.0674842,0.7752254
160,-1.8114363,2.5012283,-1.0904195,0.0627030,0.7243398,-0.0664630,0.6833615
170,-2.5723805,2.5012283,-0.5149799,0.0299254,0.7458864,-0.0335879,0.6645523
180,-3.5684643,2.5012283,-0.3948528,0.0278375,0.7479744,-0.0314339,0.6623982
190,-4.3612132,2.5012283,-0.2982951,0.0278376,0.7479744,-0.0314340,0.6623982
230,-4.3612132,2.5012283,-0.2982951,0.0226746,0.7531371,-0.0259942,0.6569587
240,-4.3612132,2.5012283,-0.2982951,-0.0338032,0.7784466,0.0420763,0.6253862
250,-4.3612132,2.5012283,-0.2982951,-0.0962123,0.7756532,0.1219925,0.6117377
260,-4.3612132,2.5012283,-0.2982951,-0.1967718,0.7452142,0.2502681,0.5859203
270,-4.3612132,2.5012283,-0.2982951,-0.2171738,0.7325958,0.2719932,0.5849433
280,-4.3612132,2.5012283,-0.2982951,-0.0730397,0.7921351,0.0967205,0.5981908
290,-4.2616525,2.5012283,-0.3302094,0.0469032,0.8044187,-0.0640867,0.5887304
300,-3.3114183,2.5012283,-0.6316668,0.0469032,0.8044187,-0.0640867,0.5887304
310,-2.3517082,2.5012283,-0.9361307,0.0471911,0.8017613,-0.0638750,0.5923443
320,-1.3857071,2.5012283,-1.1720093,0.0241756,0.7637913,-0.0286560,0.6443735
330,-0.3955814,2.5012283,-1.3274204,0.0049049,0.7565146,-0.0056743,0.6539338
340,0.6040573,2.5012283,-1.4228202,-0.1280274,0.6877080,0.1251415,0.7035669
350,1.5981404,2.5012283,-1.3239605,-0.2204200,0.6213211,0.1881199,0.7280015
360,2.5792849,2.5012283,-1.1312460,-0.2608815,0.5920107,0.2107491,0.7328362
370,3.5571444,2.5012283,-0.9056301,-0.1531531,0.6082668,0.1210872,0.7693462
380,4.5266585,2.5012283,-0.6947384,-0.0986722,0.6256155,0.0802013,0.7696992
390,5.5509872,2.5012283,-0.6814175,-0.0700004,0.6246985,0.0563755,0.7756761
400,6.7198400,2.5012283,-1.3552451,-0.0651871,0.6273510,0.0528223,0.7742036
410,7.6960750,2.5012283,-1.1483978,-0.0651872,0.6273510,0.0528224,0.7742036
420,8.6747026,2.5012283,-0.9361146,-0.0421891,0.6228168,0.0336655,0.7805036
430,9.6525526,2.5012283,-0.7252416,0.0150375,0.6364169,-0.0124110,0.7710989
440,10.6328802,2.5012283,-0.5362003,0.0161740,0.6375535,-0.0133899,0.7701200
450,11.6184473,2.5012283,-0.3495142,0.0312261,0.6360160,-0.0257721,0.7706131
460,12.6003284,2.5012283,-0.1598694,0.0346936,0.6358936,-0.0286339,0.7704647
470,13.5828333,2.5012283,0.0391124,0.0205112,0.5937901,-0.0151444,0.8042160
480,14.4325190,2.5012283,0.5438540,-0.0237542,0.3633620,0.0092681,0.9312991
490,14.9746666,2.5012283,1.3796940,-0.0059660,0.1077891,0.0006468,0.9941557
500,14.0863562,2.5012283,2.0453799,-0.0014398,-0.2825955,-0.0004242,0.9592380
510,12.6808758,2.5012283,2.1837409,-0.0166790,-0.3759611,-0.0067684,0.9264606
520,11.4018497,2.5012283,2.3283520,-0.0272219,-0.4198602,-0.0126000,0.9070930
530,10.5863447,2.5012283,2.9088335,-0.0407380,-0.4810970,-0.0223877,0.8754341
540,9.3828688,2.5012283,2.5284874,-0.0330712,-0.5764849,-0.0233610,0.8161041
550,9.1151667,2.5012283,1.5708288,-0.0270909,-0.6186556,-0.0213528,0.7849048
560,8.3000231,2.5012283,0.7422404,-0.0271867,-0.6151173,-0.0212307,0.7876807
570,7.0850620,2.5012283,0.0129642,-0.0271867,-0.6151173,-0.0212307,0.7876807
580,5.9637890,2.5012283,-0.3375342,-0.0859367,-0.6393844,-0.0722366,0.7606474
590,5.5679178,2.5012283,-0.2773769,-0.1973165,-0.6524283,-0.1816200,0.7088143
600,6.2686062,2.5012283,-0.3126287,-0.2456515,-0.6520396,-0.2365376,0.6771631
610,7.1657734,2.5012283,-0.3357972,-0.2655283,-0.6498721,-0.2603227,0.6628674
620,7.1657734,3.0003388,-0.3357972,-0.2422969,-0.6486842,-0.2298303,0.6838707
630,7.1657734,4.0010757,-0.3357972,-0.1970446,-0.6534903,-0.1819163,0.7078350
640,7.3667192,5.0051789,-0.3512601,-0.1281119,-0.6690027,-0.1186323,0.7224604
650,8.2610598,6.0143909,-0.4248766,-0.0665864,-0.6689795,-0.0603732,0.7378265
660,8.2610598,7.0027428,-0.4248766,-0.0168048,-0.6648352,-0.0149634,0.7466512
670,8.2610598,8.0083408,-0.4248766,0.0756358,-0.6659932,0.0681658,0.7389762
680,8.2610598,9.0048437,-0.4248766,0.1747762,-0.6537641,0.1589460,0.7188755
690,8.6599588,10.0058117,-0.4625076,0.1745375,-0.6548420,0.1592080,0.7178938
700,8.6599588,11.0098305,-0.4625076,0.1623990,-0.6636136,0.1508356,0.7144875
710,8.6599588,12.0077057,-0.4625076,0.1390342,-0.6723384,0.1306971,0.7152266
720,8.6599588,13.0100956,-0.4625076,0.1390342,-0.6723383,0.1306971,0.7152265
730,8.6599588,14.0089130,-0.4625076,0.1482297,-0.6675040,0.1380900,0.7165176
740,8.2618809,15.0090351,-0.4330766,0.1602552,-0.6640630,0.1488445,0.7149714
750,7.8621092,16.0109520,-0.4035204,0.1730983,-0.6612763,0.1607731,0.7119710
760,7.8621092,17.0153408,-0.4035204,0.1794990,-0.6598026,0.1667181,0.7103843
770,7.8621092,18.0118675,-0.4035204,0.1991970,-0.6489604,0.1817017,0.7114461
780,7.8621092,19.0209846,-0.4035204,0.2072208,-0.6448860,0.1878850,0.7112531
790,7.8621092,20.0150928,-0.4035204,0.2104194,-0.6440340,0.1907852,0.7103133
800,7.8621092,21.0146732,-0.4035204,0.2128384,-0.6423934,0.1923975,0.7106432
810,7.8621092,22.0165520,-0.4035204,0.2128384,-0.6423934,0.1923975,0.7106432
820,7.8621092,23.0187836,-0.4035204,0.2319619,-0.6492869,0.2180524,0.6907050
830,8.8604555,24.0178547,-0.4398555,0.2583097,-0.6509486,0.2517301,0.6679626
840,9.8595552,24.3167591,-0.4656368,0.2583097,-0.6509485,0.2517301,0.6679626
850,10.8617535,24.3167591,-0.5005190,0.2567280,-0.6383021,0.2391663,0.6851719
860,11.8575163,24.3167591,-0.5735406,0.2560571,-0.6376311,0.2378248,0.6865135
870,12.8591175,24.3167591,-0.6475922,0.2560571,-0.6376311,0.2378248,0.6865135
880,13.8609505,24.3167591,-0.7237777,0.2536690,-0.6366289,0.2341932,0.6895718
890,14.8561172,24.3167591,-0.8075678,0.2366571,-0.6403028,0.2171759,0.6977395
900,15.7634830,24.3167591,-1.8857068,0.2335149,-0.6412736,0.2142924,0.6987973
910,16.6731701,24.3167591,-2.9698906,0.2257316,-0.6416913,0.2059058,0.7034773
920,17.5777645,24.3167591,-4.0579233,0.2215067,-0.6429152,0.2020519,0.7048190
930,18.4818630,24.3167591,-5.1453538,0.2215067,-0.6429152,0.2020519,0.7048190
940,19.3559322,24.3167591,-6.2644067,0.2152298,-0.6216182,0.1831325,0.7305679
950,20.1818886,24.3167591,-7.4115357,0.2141210,-0.6177663,0.1799854,0.7349302
960,20.9775219,24.3167591,-8.5866032,0.2131847,-0.6085793,0.1743417,0.7441697
970,21.7592659,24.3167591,-9.7653475,0.2131847,-0.6085793,0.1743417,0.7441697
980,22.5220146,24.3167591,-10.9490862,0.2132609,-0.5989897,0.1696518,0.7529605
990,23.2743664,24.3167591,-12.1528425,0.2132609,-0.5989897,0.1696518,0.7529605
