frame,depth_prepass,geometry,lighting
0,0.21285,0.24030,0.00876
10,0.21346,0.24125,0.00867
20,0.21568,0.24412,0.00881
30,0.21334,0.24366,0.00859
40,0.21614,0.24594,0.00870
50,0.21867,0.25146,0.00871
60,0.21594,0.25238,0.00900
70,0.21927,0.27689,0.00982
80,0.21755,0.25415,0.00985
90,0.21696,0.25205,0.00982
100,0.24008,0.25780,0.00998
110,0.21717,0.25775,0.00969
120,0.24136,0.25904,0.00897
130,0.21745,0.25492,0.00860
140,0.21661,0.25830,0.00892
150,0.21741,0.28057,0.00933
160,0.21629,0.26132,0.00993
170,0.21655,0.26405,0.01052
180,0.21692,0.28828,0.01126
190,0.21651,0.26540,0.01101
200,0.21795,0.28833,0.01109
210,0.21608,0.26577,0.01113
220,0.21613,0.26394,0.01110
230,0.21828,0.26147,0.01145
240,0.21747,0.25938,0.01145
250,0.21612,0.25788,0.01210
260,0.21656,0.25438,0.01165
270,0.21569,0.25573,0.01181
280,0.21679,0.25829,0.01095
290,0.21658,0.25946,0.01022
300,0.21744,0.25746,0.01026
310,0.21768,0.26003,0.01004
320,0.21596,0.26145,0.01016
330,0.21684,0.26092,0.01107
340,0.21616,0.26124,0.01289
350,0.21648,0.25737,0.01203
360,0.21737,0.28145,0.01243
370,0.21563,0.26019,0.01191
380,0.21441,0.26237,0.01177
390,0.21760,0.28309,0.00984
400,0.21647,0.25410,0.00808
410,0.21680,0.25440,0.00827
420,0.21762,0.25617,0.00864
430,0.21663,0.25602,0.00926
440,0.21807,0.25705,0.00929
450,0.21746,0.25476,0.00903
460,0.21725,0.25496,0.00919
470,0.21687,0.25195,0.00841
480,0.21455,0.23912,0.00793
490,0.21389,0.23823,0.00692
500,0.21612,0.25250,0.00820
510,0.21810,0.25188,0.00805
520,0.21864,0.25339,0.00810
530,0.21695,0.25041,0.00809
540,0.21934,0.25650,0.00917
550,0.21882,0.25908,0.01055
560,0.21763,0.25874,0.01089
570,0.21807,0.26057,0.01122
580,0.22008,0.26352,0.01201
590,0.22078,0.26018,0.01193
600,0.22084,0.25727,0.01144
610,0.22020,0.25633,0.01132
620,0.22050,0.25584,0.01124
630,0.22066,0.26044,0.01102
640,0.21985,0.26244,0.01118
650,0.22109,0.26313,0.01114
660,0.21956,0.26156,0.01123
670,0.21828,0.25905,0.01075
680,0.21833,0.25880,0.01066
690,0.21817,0.26125,0.01219
700,0.21690,0.25822,0.01008
710,0.22146,0.28417,0.01053
720,0.21918,0.26220,0.01039
730,0.21964,0.26374,0.01047
740,0.22011,0.26183,0.00918
750,0.22095,0.26282,0.00969
760,0.22273,0.26316,0.00984
770,0.22242,0.26187,0.00983
780,0.22270,0.26152,0.00939
790,0.22326,0.26100,0.00894
800,0.22309,0.25985,0.00858
810,0.22418,0.25979,0.00846
820,0.22326,0.26093,0.00842
830,0.22359,0.26053,0.00856
840,0.22490,0.26078,0.00859
850,0.22485,0.25952,0.00841
860,0.22582,0.28724,0.00835
870,0.22702,0.26728,0.00852
880,0.22626,0.26635,0.00845
890,0.22738,0.26613,0.00834
900,0.22722,0.26510,0.00836
910,0.22825,0.26261,0.00814
920,0.22949,0.26301,0.00809
930,0.23186,0.25980,0.00800
940,0.23153,0.25534,0.00791
950,0.23380,0.25470,0.00778
960,0.23533,0.25462,0.00780
970,0.23648,0.25530,0.00764
980,0.23705,0.25396,0.00766
990,0.23813,0.25427,0.00766
1000,0.23852,0.25363,0.00744
1010,0.23767,0.25245,0.00742
1020,0.23832,0.25246,0.00735
1030,0.24102,0.27780,0.00732
1040,0.24063,0.25453,0.00706
1050,0.24220,0.27928,0.00697
1060,0.24181,0.25723,0.00686
1070,0.24304,0.25891,0.00687
1080,0.24414,0.26036,0.00686
1090,0.24485,0.26069,0.00687
1100,0.24512,0.26023,0.00684
1110,0.24507,0.26035,0.00691
1120,0.24521,0.26047,0.00689
1130,0.24464,0.26020,0.00690
1140,0.24511,0.26034,0.00684
1150,0.24506,0.26092,0.00690
1160,0.24473,0.26132,0.00685
1170,0.24489,0.26183,0.00681
1180,0.24516,0.27759,0.00677
1190,0.24390,0.26199,0.00678
1200,0.24411,0.26284,0.00686
1210,0.24303,0.26272,0.00688
1220,0.23700,0.26159,0.00683
1230,0.22698,0.25348,0.00688
1240,0.21229,0.24052,0.00691
1250,0.20950,0.23559,0.00687
1260,0.20902,0.23122,0.00697
1270,0.20890,0.22749,0.00695
1280,0.20889,0.22710,0.00696
1290,0.20787,0.22656,0.00713
1300,0.20831,0.23012,0.00704
1310,0.20917,0.23379,0.00712
1320,0.20960,0.23222,0.00717
