frame,forward
0,0.25449
10,0.25624
20,0.26220
30,0.26114
40,0.26232
50,0.26388
60,0.26864
70,0.27668
80,0.27270
90,0.26744
100,0.29475
110,0.27334
120,0.27260
130,0.27181
140,0.27845
150,0.27637
160,0.27510
170,0.27715
180,0.27843
190,0.27767
200,0.27634
210,0.27629
220,0.27667
230,0.27031
240,0.27156
250,0.27048
260,0.26989
270,0.27087
280,0.27182
290,0.27382
300,0.27559
310,0.30071
320,0.27621
330,0.27639
340,0.27028
350,0.27343
360,0.27192
370,0.27241
380,0.27248
390,0.27213
400,0.27355
410,0.27335
420,0.27785
430,0.27643
440,0.27697
450,0.27282
460,0.27348
470,0.26931
480,0.27325
490,0.27460
500,0.27497
510,0.28056
520,0.27816
530,0.27323
540,0.27944
550,0.27585
560,0.27458
570,0.29921
580,0.27917
590,0.27552
600,0.27282
610,0.27166
620,0.27450
630,0.28109
640,0.28039
650,0.28130
660,0.28120
670,0.28018
680,0.27874
690,0.27972
700,0.28112
710,0.28162
720,0.28750
730,0.28937
740,0.29388
750,0.29763
760,0.29549
770,0.29578
780,0.29431
790,0.31969
800,0.29480
810,0.29655
820,0.29599
830,0.29729
840,0.29714
850,0.29696
860,0.29893
870,0.30122
880,0.30369
890,0.30331
900,0.30011
910,0.29666
920,0.29266
930,0.28677
940,0.28066
950,0.27852
960,0.27757
970,0.27597
980,0.27550
990,0.27503
1000,0.27420
1010,0.27282
1020,0.27313
1030,0.27428
1040,0.27526
1050,0.27569
1060,0.27538
1070,0.30080
1080,0.27961
1090,0.27679
1100,0.27618
1110,0.27500
1120,0.27512
1130,0.27525
1140,0.27523
1150,0.27601
1160,0.27749
1170,0.27799
1180,0.27816
1190,0.27964
1200,0.28040
1210,0.28158
1220,0.27951
1230,0.27062
1240,0.25855
1250,0.25202
1260,0.24692
1270,0.27141
1280,0.24273
1290,0.24257
1300,0.24821
1310,0.25216
1320,0.24861
