frame,depth_prepass,forward
0,0.17958,0.22712
10,0.17704,0.22740
20,0.17756,0.22700
30,0.17897,0.22943
40,0.19329,0.23435
50,0.18365,0.23253
60,0.18679,0.23635
70,0.18474,0.23699
80,0.18371,0.23750
90,0.19388,0.26396
100,0.18545,0.23764
110,0.19130,0.26217
120,0.19044,0.24179
130,0.18641,0.23797
140,0.18791,0.24144
150,0.18949,0.24064
160,0.18904,0.24236
170,0.18795,0.24431
180,0.18779,0.24636
190,0.18759,0.24937
200,0.18672,0.24897
210,0.18733,0.24836
220,0.18760,0.24722
230,0.18780,0.24631
240,0.18754,0.24707
250,0.18380,0.24371
260,0.18281,0.23992
270,0.18344,0.24226
280,0.18432,0.24209
290,0.18809,0.24085
300,0.18833,0.24171
310,0.18875,0.24217
320,0.18748,0.24238
330,0.18494,0.24322
340,0.18316,0.24444
350,0.18388,0.24162
360,0.18380,0.24133
370,0.18353,0.24343
380,0.18213,0.24284
390,0.18283,0.24024
400,0.21262,0.24519
410,0.18618,0.24150
420,0.19300,0.24059
430,0.18575,0.24089
440,0.18505,0.24127
450,0.18569,0.23872
460,0.18524,0.23913
470,0.18530,0.23719
480,0.18772,0.23194
490,0.18745,0.23208
500,0.18515,0.23900
510,0.18458,0.23897
520,0.18474,0.23989
530,0.18462,0.23820
540,0.18626,0.24369
550,0.19143,0.24602
560,0.18555,0.24571
570,0.18582,0.24614
580,0.18916,0.24942
590,0.18956,0.24824
600,0.18926,0.24530
610,0.18905,0.24408
620,0.19022,0.24579
630,0.19122,0.24862
640,0.19303,0.25112
650,0.19554,0.25343
660,0.19121,0.25081
670,0.18922,0.24893
680,0.18638,0.24622
690,0.19018,0.25068
700,0.19151,0.25129
710,0.19645,0.25208
720,0.19830,0.27780
730,0.19461,0.25572
740,0.19366,0.25498
750,0.19529,0.25555
760,0.19609,0.25329
770,0.19699,0.25350
780,0.19727,0.25237
790,0.19744,0.25252
800,0.19718,0.25194
810,0.19610,0.25162
820,0.19738,0.25402
830,0.19768,0.25267
840,0.19931,0.25259
850,0.20647,0.25340
860,0.20154,0.25577
870,0.20323,0.25977
880,0.20438,0.26172
890,0.20566,0.26097
900,0.20777,0.26043
910,0.21019,0.26012
920,0.21254,0.25940
930,0.21422,0.25783
940,0.21513,0.25654
950,0.21784,0.25715
960,0.22118,0.25831
970,0.22243,0.25838
980,0.22403,0.25798
990,0.22534,0.25806
1000,0.22706,0.25780
1010,0.22781,0.28079
1020,0.22629,0.25693
1030,0.22888,0.25886
1040,0.23022,0.26027
1050,0.23079,0.26109
1060,0.23212,0.26250
1070,0.23414,0.26433
1080,0.23605,0.26502
1090,0.23674,0.26592
1100,0.23702,0.26601
1110,0.23721,0.26570
1120,0.23729,0.26556
1130,0.23777,0.26522
1140,0.23735,0.26550
1150,0.23722,0.26604
1160,0.23751,0.26661
1170,0.23765,0.26708
1180,0.23678,0.26757
1190,0.23569,0.26754
1200,0.23473,0.26766
1210,0.23402,0.26795
1220,0.22653,0.26483
1230,0.21188,0.25592
1240,0.18616,0.24058
1250,0.17746,0.23397
1260,0.17362,0.22888
1270,0.18085,0.22531
1280,0.17778,0.22411
1290,0.17162,0.22304
1300,0.17320,0.22800
1310,0.17497,0.23123
1320,0.17501,0.23139
