frame,visibility,resolve
0,0.28780,0.03487
10,0.28961,0.03544
20,0.28929,0.03672
30,0.29014,0.03780
40,0.29196,0.03879
50,0.29619,0.04013
60,0.29586,0.04461
70,0.29919,0.04646
80,0.32447,0.04610
90,0.29881,0.04626
100,0.29235,0.04691
110,0.30351,0.04669
120,0.28520,0.04623
130,0.28364,0.04600
140,0.28848,0.04673
150,0.28995,0.04721
160,0.29009,0.04750
170,0.29261,0.04764
180,0.29583,0.04809
190,0.29625,0.04780
200,0.29553,0.04783
210,0.29609,0.04781
220,0.29574,0.04796
230,0.29833,0.04776
240,0.30487,0.04871
250,0.30587,0.04838
260,0.30509,0.04615
270,0.30646,0.04750
280,0.29909,0.04818
290,0.29206,0.04761
300,0.29151,0.04733
310,0.28897,0.04731
320,0.28844,0.04723
330,0.29297,0.04736
340,0.29466,0.04744
350,0.30916,0.04752
360,0.29186,0.04710
370,0.28884,0.04643
380,0.28343,0.04689
390,0.28297,0.04655
400,0.28259,0.04619
410,0.28267,0.04628
420,0.28293,0.04648
430,0.28126,0.04684
440,0.28077,0.04669
450,0.28177,0.04637
460,0.27972,0.04641
470,0.27840,0.04604
480,0.27930,0.04558
490,0.27804,0.04541
500,0.28273,0.04595
510,0.29282,0.04600
520,0.29670,0.04565
530,0.29990,0.04481
540,0.30713,0.04650
550,0.30929,0.04711
560,0.30794,0.04816
570,0.31014,0.04874
580,0.31921,0.04804
590,0.31796,0.04567
600,0.31482,0.04510
610,0.31526,0.04448
620,0.31564,0.04444
630,0.31921,0.04650
640,0.34054,0.04821
650,0.32955,0.05060
660,0.32564,0.04997
670,0.32071,0.05044
680,0.31727,0.04836
690,0.32227,0.04820
700,0.32311,0.04694
710,0.32496,0.04640
720,0.32721,0.04691
730,0.32729,0.04688
740,0.32807,0.04699
750,0.32696,0.04774
760,0.32805,0.04711
770,0.32993,0.04765
780,0.33097,0.04847
790,0.33217,0.04683
800,0.33079,0.04684
810,0.33222,0.04618
820,0.33495,0.04643
830,0.33669,0.04718
840,0.33768,0.04655
850,0.33994,0.04575
860,0.34111,0.04604
870,0.34290,0.04570
880,0.34379,0.04561
890,0.34466,0.04585
900,0.34391,0.04497
910,0.34473,0.04410
920,0.34449,0.04340
930,0.34399,0.04172
940,0.34266,0.04007
950,0.34143,0.03870
960,0.34101,0.03745
970,0.34175,0.03654
980,0.34057,0.03573
990,0.36143,0.03524
1000,0.34023,0.03499
1010,0.34025,0.03423
1020,0.34079,0.03411
1030,0.34131,0.03417
1040,0.34166,0.03351
1050,0.34280,0.03336
1060,0.34260,0.03293
1070,0.34298,0.03227
1080,0.34357,0.03277
1090,0.34384,0.03261
1100,0.34310,0.03183
1110,0.34233,0.03069
1120,0.35814,0.03050
1130,0.34189,0.03047
1140,0.34144,0.03051
1150,0.35777,0.03119
1160,0.34288,0.03219
1170,0.34245,0.03311
1180,0.34226,0.03355
1190,0.34354,0.03419
1200,0.34350,0.03521
1210,0.34349,0.03611
1220,0.34092,0.03568
1230,0.33292,0.03342
1240,0.31980,0.03221
1250,0.31120,0.03131
1260,0.30412,0.03134
1270,0.29698,0.03129
1280,0.29476,0.03072
1290,0.29338,0.03044
1300,0.30147,0.03071
1310,0.30610,0.03164
1320,0.30272,0.03162
