frame,winner,winner_time_ms
0,Forward,0.25449
10,Forward,0.25624
20,Forward,0.2622
30,Forward,0.26114
40,Forward,0.26232
50,Forward,0.26388
60,Forward,0.26864
70,Forward,0.27668
80,Forward,0.2727
90,Forward,0.26744
100,Deferred,0.28817
110,Forward,0.27334
120,Forward,0.2726
130,Forward,0.27181
140,Forward,0.27845
150,Forward,0.27637
160,Forward,0.2751
170,Forward,0.27715
180,Forward,0.27843
190,Forward,0.27767
200,Forward,0.27634
210,Forward,0.27629
220,Forward,0.27667
230,Forward,0.27031
240,Forward,0.27156
250,Forward,0.27048
260,Forward,0.26989
270,Forward,0.27087
280,Forward,0.27182
290,Forward,0.27382
300,Forward,0.27559
310,Deferred,0.29569999999999996
320,Forward,0.27621
330,Forward,0.27639
340,Forward,0.27028
350,Forward,0.27343
360,Forward,0.27192
370,Forward,0.27241
380,Forward,0.27248
390,Forward,0.27213
400,Forward,0.27355
410,Forward,0.27335
420,Forward,0.27785
430,Forward,0.27643
440,Forward,0.27697
450,Forward,0.27282
460,Forward,0.27348
470,Forward,0.26931
480,Forward,0.27325
490,Forward,0.2746
500,Forward,0.27497
510,Forward,0.28056
520,Forward,0.27816
530,Forward,0.27323
540,Forward,0.27944
550,Forward,0.27585
560,Forward,0.27458
570,Deferred,0.29032
580,Forward,0.27917
590,Forward,0.27552
600,Forward,0.27282
610,Forward,0.27166
620,Forward,0.2745
630,Forward,0.28109
640,Forward,0.28039
650,Forward,0.2813
660,Forward,0.2812
670,Forward,0.28018
680,Forward,0.27874
690,Forward,0.27972
700,Forward,0.28112
710,Forward,0.28162
720,Forward,0.2875
730,Forward,0.28937
740,Forward,0.29388
750,Forward,0.29763
760,Forward,0.29549
770,Forward,0.29578
780,Forward,0.29431
790,Deferred,0.30195
800,Forward,0.2948
810,Forward,0.29655
820,Forward,0.29599
830,Forward,0.29729
840,Forward,0.29714
850,Forward,0.29696
860,Forward,0.29893
870,Forward,0.30122
880,Forward,0.30369
890,Forward,0.30331
900,Forward,0.30011
910,Forward,0.29666
920,Forward,0.29266
930,Forward,0.28677
940,Forward,0.28066
950,Forward,0.27852
960,Forward,0.27757
970,Forward,0.27597
980,Forward,0.2755
990,Forward,0.27503
1000,Forward,0.2742
1010,Forward,0.27282
1020,Forward,0.27313
1030,Forward,0.27428
1040,Forward,0.27526
1050,Forward,0.27569
1060,Forward,0.27538
1070,Deferred,0.28401
1080,Forward,0.27961
1090,Forward,0.27679
1100,Forward,0.27618
1110,Forward,0.275
1120,Forward,0.27512
1130,Forward,0.27525
1140,Forward,0.27523
1150,Forward,0.27601
1160,Forward,0.27749
1170,Forward,0.27799
1180,Forward,0.27816
1190,Forward,0.27964
1200,Forward,0.2804
1210,Forward,0.28158
1220,Forward,0.27951
1230,Forward,0.27062
1240,Forward,0.25855
1250,Forward,0.25202
1260,Forward,0.24692
1270,Deferred,0.26818
1280,Forward,0.24273
1290,Forward,0.24257
1300,Forward,0.24821
1310,Forward,0.25216
1320,Forward,0.24861
