frame,triangle_count,total_fragments,covered_pixels,overdraw_extra,avg_overdraw,max_overdraw,rasterized_triangles,skipped_triangles,quad_instances,quad_covered_lanes,quad_waste_lanes,quad_efficiency
60,2743733,4177259,453141,3724118,9.218453,155,138070,2605663,1484378,4177259,1760253,0.703537
61,2743733,4179284,453207,3726077,9.221579,154,137982,2605751,1485248,4179284,1761708,0.703466
62,2743733,4181245,453271,3727974,9.224603,155,137911,2605822,1485732,4181245,1761683,0.703566
63,2743733,4183145,453366,3729779,9.226861,155,138018,2605715,1486665,4183145,1763515,0.703444
64,2743733,4184887,453484,3731403,9.228301,157,138055,2605678,1487207,4184887,1763941,0.703481
65,2743733,4186896,453579,3733317,9.230798,155,138153,2605580,1488025,4186896,1765204,0.703432
66,2743733,4188639,453679,3734960,9.232605,155,138127,2605606,1488304,4188639,1764577,0.703593
67,2743733,4190487,453776,3736711,9.234704,154,138160,2605573,1488859,4190487,1764949,0.703641
68,2743733,4192126,453842,3738284,9.236972,153,138161,2605572,1489140,4192126,1764434,0.703783
69,2743733,4193975,453900,3740075,9.239866,155,138076,2605657,1489709,4193975,1764861,0.703825
70,2743733,4196031,453959,3742072,9.243194,153,138101,2605632,1490371,4196031,1765453,0.703857
71,2743733,4198381,454025,3744356,9.247026,153,138275,2605458,1491150,4198381,1766219,0.703883
72,2743733,4200237,454074,3746163,9.250116,153,138420,2605313,1491574,4200237,1766059,0.703994
73,2743733,4202355,454113,3748242,9.253985,152,138554,2605179,1492111,4202355,1766089,0.704096
74,2743733,4204501,454180,3750321,9.257345,155,138433,2605300,1493096,4204501,1767883,0.703990
75,2743733,4206256,454264,3751992,9.259497,154,138381,2605352,1493899,4206256,1769340,0.703906
76,2743733,4208563,454319,3754244,9.263454,153,138445,2605288,1494679,4208563,1770153,0.703924
77,2743733,4210735,454370,3756365,9.267194,153,138377,2605356,1495085,4210735,1769605,0.704096
78,2743733,4212395,454439,3757956,9.269440,154,138400,2605333,1495867,4212395,1771073,0.704006
79,2743733,4214310,454523,3759787,9.271940,155,138460,2605273,1496223,4214310,1770582,0.704158
80,2743733,4216384,454576,3761808,9.275421,155,138517,2605216,1496736,4216384,1770560,0.704263
81,2743733,4218628,454655,3763973,9.278745,154,138412,2605321,1497230,4218628,1770292,0.704405
