frame,total,forward,index_count
0,0.84942,0.84528,8231199.00000
10,0.84292,0.83845,8231199.00000
20,0.86390,0.85982,8234561.10000
30,0.83729,0.83350,8236002.00000
40,0.82733,0.82330,8236002.00000
50,0.85382,0.84932,8236002.00000
60,0.83997,0.83577,8236002.00000
70,0.85536,0.85051,8236002.00000
80,0.82930,0.82511,8236002.00000
90,1.17341,1.16884,8237667.00000
100,1.84114,1.83690,8329675.20000
110,2.07528,2.07089,8334444.00000
120,2.14800,2.14364,8317910.40000
130,1.88386,1.87929,8139647.40000
140,1.68878,1.68444,7834020.30000
150,1.38651,1.38222,7424970.00000
160,1.34432,1.34045,7313065.20000
170,1.27233,1.26838,7154175.00000
180,1.37829,1.37397,7421709.90000
190,1.41220,1.40800,7716846.60000
200,1.40994,1.40607,7789365.60000
210,1.41180,1.40756,7826196.60000
220,1.44159,1.43758,7722507.90000
230,1.39930,1.39529,7757628.60000
240,1.33844,1.33410,7718556.00000
250,1.41044,1.40603,7713440.40000
260,1.40638,1.40213,7695356.40000
270,1.52564,1.52102,7698819.00000
280,1.57595,1.57165,7700268.00000
290,1.61477,1.61047,7720264.80000
300,1.65076,1.64646,7730274.00000
310,1.67284,1.66832,7730274.00000
320,1.68784,1.68352,7744542.00000
330,1.70569,1.70130,7870452.00000
340,1.68667,1.68226,7870452.00000
350,1.66038,1.65594,7860626.40000
360,1.63804,1.63374,7803858.00000
370,1.61454,1.61027,7800402.00000
380,1.63174,1.62748,7791610.80000
390,1.60966,1.60544,7793692.20000
400,1.60439,1.60008,7792572.00000
410,1.60328,1.59882,7790788.80000
420,1.55433,1.54988,7774376.10000
430,1.47096,1.46658,7465851.00000
440,1.38808,1.38354,7100517.00000
450,1.36438,1.35994,7082915.40000
460,1.31927,1.31474,7070199.60000
470,1.29548,1.29144,7068315.60000
480,1.30122,1.29682,6944262.90000
490,1.45545,1.45143,6947631.00000
500,1.55378,1.54925,7164264.60000
510,1.60131,1.59687,7409877.60000
520,1.67124,1.66666,7792772.10000
530,1.64619,1.64185,7782946.20000
540,1.58430,1.58005,7708882.20000
550,1.61312,1.60871,7631395.80000
560,1.63846,1.63402,7774871.40000
570,1.73406,1.72968,7833945.00000
580,2.12238,2.11799,8015462.10000
590,2.23471,2.23028,8052279.90000
600,2.31689,2.31266,8120811.00000
610,2.25121,2.24678,8118021.00000
620,2.05574,2.05153,8111811.90000
630,1.88301,1.87858,7943511.60000
640,1.64604,1.64174,7721718.60000
650,1.79018,1.78579,7634876.10000
660,1.92857,1.92367,7668963.00000
670,1.67123,1.66664,7623788.40000
680,1.57347,1.56938,7621869.00000
690,1.46641,1.46192,7621161.00000
700,1.41900,1.41460,7657194.90000
710,1.47780,1.47347,7685407.80000
720,1.47604,1.47174,7674967.20000
730,1.47331,1.46899,7627148.40000
740,1.34698,1.34289,7612737.60000
750,1.42626,1.42152,7626187.20000
760,1.49594,1.49131,7597246.20000
770,1.47584,1.47138,7594820.40000
780,1.41946,1.41508,7589790.60000
790,1.43308,1.42849,7538191.80000
800,1.49818,1.49306,7376284.80000
810,1.56794,1.56299,7196946.00000
820,1.47778,1.47319,7066977.00000
830,1.45243,1.44806,6851366.40000
840,1.40820,1.40400,6848332.80000
850,1.30902,1.30458,6847776.00000
860,1.33121,1.32697,6847488.00000
870,1.48746,1.48295,6847718.40000
880,1.53606,1.53192,6847878.00000
890,1.49339,1.48871,6773436.30000
900,1.30067,1.29638,6977846.70000
910,1.05963,1.05551,8005858.80000
920,1.67941,1.67508,8114672.70000
930,1.87553,1.87113,8255881.50000
940,1.82094,1.81640,8315368.80000
950,1.75263,1.74774,8294084.40000
960,1.72647,1.72218,8262489.00000
970,1.82344,1.81917,8262258.60000
980,1.92792,1.92358,8260713.00000
990,1.92260,1.91842,8260413.00000
1000,1.87098,1.86670,8209144.20000
1010,1.91014,1.90590,8169582.60000
1020,1.87049,1.86627,8152836.60000
1030,1.80754,1.80328,8064639.00000
1040,1.77606,1.77155,8008168.20000
1050,1.70284,1.69862,7889277.00000
1060,1.77338,1.76899,7874770.80000
1070,1.96186,1.95734,7857863.40000
1080,2.01296,2.00870,7844651.40000
1090,1.77900,1.77460,7767534.90000
1100,1.74600,1.74169,7719672.60000
1110,1.72841,1.72410,7176438.30000
1120,1.83161,1.82732,6990166.80000
1130,1.86091,1.85673,6758233.20000
1140,1.94959,1.92567,7029954.30000
1150,1.94828,1.94390,7408249.20000
1160,1.97827,1.97414,7500250.20000
1170,2.13635,2.13218,7953082.20000
1180,2.16065,2.15625,7999884.00000
1190,2.15184,2.14777,8001468.00000
1200,2.20851,2.20407,8001468.00000
1210,2.05463,2.04018,8001468.00000
1220,1.94371,1.93947,8001468.00000
1230,1.97663,1.97232,8001480.60000
1240,1.94493,1.94066,8003038.20000
1250,1.93161,1.92703,8001468.00000
1260,1.90189,1.89770,8001473.40000
1270,1.86092,1.85682,7966094.40000
1280,1.79013,1.78624,7745203.20000
1290,1.75379,1.74981,7579748.40000
1300,1.74882,1.74458,7498017.00000
1310,1.82258,1.81823,7510593.30000
1320,2.07205,2.06777,7033727.70000
1330,2.13812,2.13391,6970671.00000
1340,2.06443,2.06034,6970383.00000
1350,1.91700,1.91248,6970383.00000
1360,1.87036,1.86615,6970383.00000
1370,1.86605,1.86176,6970383.00000
1380,1.95880,1.95452,6970383.00000
1390,2.04386,2.03974,6970383.00000
1400,2.15920,2.15472,7212977.40000
1410,2.04730,2.04282,8001493.20000
1420,1.96912,1.96482,8001594.00000
1430,1.97518,1.96070,7931326.20000
1440,1.90971,1.90520,7829976.00000
1450,1.90897,1.90475,7834560.60000
1460,1.90758,1.90343,7925053.80000
1470,2.02544,2.02098,7991727.00000
1480,1.97687,1.97272,7999516.80000
1490,1.95294,1.94864,8090580.60000
1500,1.97242,1.96785,8357266.20000
1510,1.81435,1.81013,8470036.80000
1520,1.74487,1.74056,8477401.20000
1530,1.76810,1.76363,8489996.40000
1540,1.78020,1.77583,8495800.80000
1550,1.80497,1.80078,8494414.20000
1560,1.89748,1.89330,8494104.00000
1570,1.89998,1.89586,8494104.00000
1580,1.93453,1.93027,8494104.00000
1590,1.92904,1.92476,8494104.00000
1600,1.83260,1.82821,8494104.00000
1610,1.76044,1.75612,8494104.00000
1620,1.75397,1.74957,8492731.20000
1630,1.70746,1.70307,8491920.00000
1640,1.70997,1.70558,8492370.00000
1650,1.74704,1.74242,8449743.60000
1660,1.78708,1.78274,8384289.00000
1670,1.74112,1.73668,8374041.00000
1680,1.71572,1.71143,8367843.60000
1690,1.70429,1.69976,8358251.40000
1700,1.69700,1.69283,8295681.00000
1710,1.68473,1.68050,8261586.00000
1720,1.63880,1.63448,8187317.10000
1730,1.63215,1.62783,8043384.00000
1740,1.66425,1.66016,8041504.80000
1750,1.65621,1.65207,7985956.20000
1760,1.66512,1.66110,7787619.60000
1770,1.66969,1.66546,7530717.00000
1780,1.65164,1.64732,7427402.40000
1790,1.73161,1.72750,6990182.40000
1800,1.75572,1.75174,6983793.00000
1810,1.77227,1.76843,6983793.00000
1820,1.84258,1.83846,6973673.70000
1830,1.79386,1.78963,6963402.00000
1840,1.79573,1.79182,6963356.40000
1850,1.82990,1.82594,6962112.00000
1860,1.83911,1.83513,6953349.00000
1870,1.84248,1.83829,6944862.00000
1880,1.83398,1.82989,6944862.00000
1890,1.80040,1.79657,6558870.00000
1900,1.77493,1.76992,6558870.00000
1910,1.75246,1.74825,6558870.00000
1920,1.73771,1.73364,6046112.40000
1930,1.71773,1.71372,6034722.00000
1940,1.72092,1.71653,6034722.00000
1950,1.67056,1.66656,5990710.80000
1960,1.67030,1.66618,5990314.80000
1970,1.70482,1.70096,5842207.80000
1980,1.68980,1.68555,5447708.70000
1990,1.72045,1.71518,5451609.00000
2000,1.75614,1.75232,5451609.00000
2010,1.68362,1.67993,5444671.80000
2020,1.58219,1.57832,5444901.00000
2030,1.52158,1.51750,5297904.60000
2040,1.50611,1.50228,5208151.80000
2050,1.47417,1.46999,5207691.00000
2060,1.46630,1.46224,5207691.00000
2070,1.40670,1.40265,4036655.40000
2080,1.41529,1.41141,3727287.00000
2090,1.47134,1.46748,3727287.00000
2100,1.49262,1.48873,3705588.60000
2110,1.42671,1.42269,3618915.00000
2120,1.43958,1.43558,3618915.00000
2130,1.42118,1.41722,3585544.50000
2140,1.44242,1.43848,3499356.00000
2150,1.44349,1.43941,3499356.00000
2160,1.37707,1.37330,3434960.40000
2170,1.37718,1.37332,3337312.20000
2180,1.36628,1.36239,3327910.80000
2190,1.38144,1.37748,3326756.40000
