frame,total,depth_prepass,forward,index_count
0,0.65316,0.18074,0.46238,8231199.00000
10,0.63550,0.18078,0.44804,8231199.00000
20,0.66362,0.20018,0.45661,8234561.10000
30,0.62902,0.18233,0.43819,8236002.00000
40,0.64573,0.18067,0.45796,8236002.00000
50,0.64735,0.18131,0.45666,8236002.00000
60,0.62526,0.18083,0.43772,8236002.00000
70,0.63651,0.18118,0.44871,8236002.00000
80,0.63878,0.18088,0.45098,8236002.00000
90,0.84778,0.18940,0.65122,8237667.00000
100,1.00822,0.19942,0.80178,8329675.20000
110,1.05564,0.20502,0.84356,8334444.00000
120,1.04500,0.21794,0.81989,8317910.40000
130,0.98772,0.21073,0.77035,8139647.40000
140,0.99552,0.19358,0.79749,7834020.30000
150,0.97648,0.17168,0.79784,7424970.00000
160,1.01687,0.16913,0.84132,7313065.20000
170,0.98095,0.16379,0.80901,7154175.00000
180,0.93889,0.17072,0.75629,7421709.90000
190,0.93342,0.17941,0.74176,7716846.60000
200,0.95934,0.17977,0.77251,7789365.60000
210,1.03147,0.18155,0.83683,7826196.60000
220,0.98007,0.17976,0.78819,7722507.90000
230,0.96356,0.18213,0.76931,7757628.60000
240,0.96943,0.18108,0.78120,7718556.00000
250,0.99070,0.18119,0.80052,7713440.40000
260,1.00204,0.18187,0.80809,7695356.40000
270,0.97677,0.18160,0.78841,7698819.00000
280,0.96610,0.18244,0.77684,7700268.00000
290,0.96991,0.18323,0.77438,7720264.80000
300,0.99094,0.18322,0.80090,7730274.00000
310,0.99794,0.18343,0.80283,7730274.00000
320,0.99829,0.18689,0.80067,7744542.00000
330,1.00617,0.18832,0.81092,7870452.00000
340,1.02380,0.18870,0.82792,7870452.00000
350,1.00510,0.18859,0.80375,7860626.40000
360,1.00159,0.18712,0.80781,7803858.00000
370,0.99404,0.18657,0.80029,7800402.00000
380,1.00082,0.18976,0.80432,7791610.80000
390,1.01300,0.18964,0.81132,7793692.20000
400,1.01252,0.18802,0.81724,7792572.00000
410,1.01450,0.19133,0.81630,7790788.80000
420,1.02882,0.18823,0.83068,7774376.10000
430,1.04236,0.18323,0.85286,7465851.00000
440,1.04886,0.16709,0.87460,7100517.00000
450,1.09784,0.16570,0.92537,7082915.40000
460,1.07495,0.16415,0.90340,7070199.60000
470,1.06761,0.16355,0.89698,7068315.60000
480,1.01821,0.15959,0.85097,6944262.90000
490,1.07912,0.15976,0.91194,6947631.00000
500,1.12409,0.16853,0.94906,7164264.60000
510,1.05326,0.17637,0.86935,7409877.60000
520,1.01773,0.18941,0.82134,7792772.10000
530,1.00351,0.18775,0.80894,7782946.20000
540,0.98802,0.18396,0.79674,7708882.20000
550,0.97048,0.18128,0.78213,7631395.80000
560,1.01930,0.18544,0.82609,7774871.40000
570,1.12485,0.18683,0.93056,7833945.00000
580,0.98132,0.19151,0.78286,8015462.10000
590,0.97786,0.19652,0.77370,8052279.90000
600,0.99777,0.20748,0.78333,8120811.00000
610,1.01889,0.20728,0.79992,8118021.00000
620,0.99995,0.19977,0.79329,8111811.90000
630,1.02900,0.18998,0.83022,7943511.60000
640,1.01697,0.18359,0.82655,7721718.60000
650,1.12314,0.18165,0.93454,7634876.10000
660,1.23869,0.18174,1.04939,7668963.00000
670,1.08535,0.17962,0.89892,7623788.40000
680,0.99228,0.17960,0.80514,7621869.00000
690,1.00717,0.17936,0.82078,7621161.00000
700,1.03067,0.17774,0.84592,7657194.90000
710,0.99241,0.18103,0.80409,7685407.80000
720,1.00076,0.17984,0.81326,7674967.20000
730,0.99848,0.17800,0.81366,7627148.40000
740,0.96807,0.17940,0.78193,7612737.60000
750,0.98769,0.18019,0.80074,7626187.20000
760,0.97668,0.17934,0.79045,7597246.20000
770,0.97070,0.17860,0.78103,7594820.40000
780,0.89455,0.17888,0.70336,7589790.60000
790,0.91241,0.17744,0.72833,7538191.80000
800,0.91951,0.17503,0.73510,7376284.80000
810,1.02538,0.16998,0.84385,7196946.00000
820,0.97293,0.16422,0.80175,7066977.00000
830,0.90574,0.15952,0.73382,6851366.40000
840,0.91627,0.15893,0.74499,6848332.80000
850,0.89943,0.15844,0.73410,6847776.00000
860,0.94404,0.15891,0.77270,6847488.00000
870,1.07704,0.15927,0.90578,6847718.40000
880,1.10550,0.15908,0.93786,6847878.00000
890,0.99018,0.15643,0.82717,6773436.30000
900,0.84072,0.15948,0.67383,6977846.70000
910,0.86206,0.18223,0.67304,8005858.80000
920,0.91014,0.19287,0.70507,8114672.70000
930,0.90178,0.20418,0.68581,8255881.50000
940,0.89658,0.20367,0.68599,8315368.80000
950,0.99741,0.19918,0.78580,8294084.40000
