frame,total,visibility,resolve,index_count
0,0.42850,0.27085,0.15058,8231199.00000
10,0.42700,0.26931,0.15109,8231199.00000
20,0.44237,0.28408,0.15138,8234561.10000
30,0.42848,0.27038,0.15118,8236002.00000
40,0.43538,0.27468,0.15131,8236002.00000
50,0.42783,0.27020,0.15094,8236002.00000
60,0.42861,0.27041,0.15147,8236002.00000
70,0.43456,0.27295,0.15148,8236002.00000
80,0.42943,0.27134,0.15128,8236002.00000
90,0.54222,0.28956,0.24576,8237667.00000
100,0.59721,0.30719,0.28304,8329675.20000
110,0.59893,0.30901,0.28292,8334444.00000
120,0.60576,0.31640,0.28250,8317910.40000
130,0.59347,0.30380,0.28274,8139647.40000
140,0.57707,0.28742,0.28273,7834020.30000
150,0.54602,0.25536,0.28371,7424970.00000
160,0.54291,0.25098,0.28344,7313065.20000
170,0.53179,0.24076,0.28359,7154175.00000
180,0.54451,0.25411,0.28320,7421709.90000
190,0.56604,0.27546,0.28314,7716846.60000
200,0.56232,0.27188,0.28298,7789365.60000
210,0.56232,0.27136,0.28304,7826196.60000
220,0.55749,0.26777,0.28282,7722507.90000
230,0.56421,0.27407,0.28293,7757628.60000
240,0.56436,0.27418,0.28309,7718556.00000
250,0.56435,0.27433,0.28318,7713440.40000
260,0.57248,0.28202,0.28316,7695356.40000
270,0.57418,0.28401,0.28277,7698819.00000
280,0.57560,0.28425,0.28283,7700268.00000
290,0.57552,0.28632,0.28210,7720264.80000
300,0.57757,0.28685,0.28246,7730274.00000
310,0.57550,0.28634,0.28220,7730274.00000
320,0.57579,0.28701,0.28202,7744542.00000
330,0.58223,0.29283,0.28226,7870452.00000
340,0.58220,0.29238,0.28264,7870452.00000
350,0.60430,0.29524,0.28254,7860626.40000
360,0.58072,0.29108,0.28265,7803858.00000
370,0.58298,0.29184,0.28273,7800402.00000
380,0.58021,0.29019,0.28276,7791610.80000
390,0.58492,0.29490,0.28262,7793692.20000
400,0.58139,0.29187,0.28248,7792572.00000
410,0.58068,0.29104,0.28229,7790788.80000
420,0.58164,0.29198,0.28222,7774376.10000
430,0.57129,0.28234,0.28198,7465851.00000
440,0.55161,0.26289,0.28188,7100517.00000
450,0.54014,0.25296,0.28012,7082915.40000
460,0.52702,0.24622,0.27310,7070199.60000
470,0.52136,0.24515,0.26895,7068315.60000
480,0.51245,0.24109,0.26456,6944262.90000
490,0.53442,0.24310,0.26444,6947631.00000
500,0.54312,0.25616,0.27978,7164264.60000
510,0.56184,0.27313,0.28170,7409877.60000
520,0.58121,0.29197,0.28204,7792772.10000
530,0.57917,0.28947,0.28245,7782946.20000
540,0.57653,0.28666,0.28281,7708882.20000
550,0.57295,0.28357,0.28223,7631395.80000
560,0.57228,0.28248,0.28238,7774871.40000
570,0.56804,0.27895,0.28208,7833945.00000
580,0.59204,0.30286,0.28213,8015462.10000
590,0.59873,0.31243,0.27981,8052279.90000
600,0.59463,0.31834,0.26956,8120811.00000
610,0.59216,0.31712,0.26832,8118021.00000
620,0.59432,0.30824,0.27952,8111811.90000
630,0.58046,0.29150,0.28214,7943511.60000
640,0.56124,0.27230,0.28200,7721718.60000
650,0.56198,0.27340,0.28216,7634876.10000
660,0.56327,0.27377,0.28253,7668963.00000
670,0.55670,0.27147,0.27827,7623788.40000
680,0.55753,0.26753,0.28271,7621869.00000
690,0.55322,0.26324,0.28282,7621161.00000
700,0.55618,0.26497,0.28318,7657194.90000
710,0.56174,0.27155,0.28314,7685407.80000
720,0.56815,0.27878,0.28233,7674967.20000
730,0.56341,0.27436,0.28246,7627148.40000
740,0.55860,0.27271,0.27935,7612737.60000
750,0.56631,0.27670,0.28272,7626187.20000
760,0.56445,0.27437,0.28261,7597246.20000
770,0.56413,0.27412,0.28264,7594820.40000
780,0.56315,0.27328,0.28269,7589790.60000
790,0.56447,0.27525,0.28235,7538191.80000
800,0.55947,0.27052,0.28212,7376284.80000
810,0.55127,0.26170,0.28224,7196946.00000
820,0.54292,0.25350,0.28258,7066977.00000
830,0.53292,0.24364,0.28259,6851366.40000
840,0.53024,0.24066,0.28252,6848332.80000
850,0.52901,0.23966,0.28253,6847776.00000
860,0.53068,0.24118,0.28269,6847488.00000
870,0.53553,0.24610,0.28268,6847718.40000
880,0.53590,0.24636,0.28270,6847878.00000
890,0.52591,0.23620,0.28276,6773436.30000
900,0.52638,0.23678,0.28268,6977846.70000
910,0.57799,0.28823,0.28324,8005858.80000
920,0.59377,0.30350,0.28301,8114672.70000
930,0.60388,0.31470,0.28244,8255881.50000
940,0.59612,0.30671,0.28226,8315368.80000
950,0.59138,0.30186,0.28236,8294084.40000
960,0.58768,0.29834,0.28247,8262489.00000
970,0.58899,0.29946,0.28244,8262258.60000
980,0.58872,0.29931,0.28239,8260713.00000
990,0.58746,0.29818,0.28232,8260413.00000
1000,0.58398,0.29464,0.28247,8209144.20000
1010,0.58304,0.29380,0.28238,8169582.60000
1020,0.58003,0.29061,0.28254,8152836.60000
1030,0.57618,0.28708,0.28219,8064639.00000
1040,0.57454,0.28530,0.28214,8008168.20000
1050,0.56774,0.27876,0.28209,7889277.00000
1060,0.56953,0.28033,0.28216,7874770.80000
1070,0.57482,0.28616,0.28191,7857863.40000
1080,0.57751,0.28816,0.28237,7844651.40000
1090,0.56862,0.28059,0.28114,7767534.90000
1100,0.56828,0.28056,0.28074,7719672.60000
1110,0.54971,0.26279,0.28016,7176438.30000
1120,0.54364,0.25842,0.27791,6990166.80000
1130,0.54044,0.25219,0.27945,6758233.20000
1140,0.55104,0.26388,0.28043,7029954.30000
1150,0.57341,0.28557,0.28094,7408249.20000
1160,0.58422,0.29537,0.28207,7500250.20000
1170,0.62399,0.31478,0.28283,7953082.20000
1180,0.60378,0.31424,0.28242,7999884.00000
1190,0.60274,0.31390,0.28172,8001468.00000
1200,0.60378,0.31512,0.28068,8001468.00000
1210,0.58966,0.30341,0.27936,8001468.00000
1220,0.58233,0.29734,0.27830,8001468.00000
1230,0.58030,0.29523,0.27824,8001480.60000
1240,0.57904,0.29368,0.27861,8003038.20000
1250,0.57734,0.29168,0.27881,8001468.00000
1260,0.57764,0.29268,0.27776,8001473.40000
1270,0.57298,0.28963,0.27646,7966094.40000
1280,0.56418,0.28280,0.27481,7745203.20000
1290,0.55656,0.27952,0.26938,7579748.40000
1300,0.54651,0.27389,0.26584,7498017.00000
1310,0.55891,0.28115,0.27101,7510593.30000
1320,0.55828,0.27084,0.28072,7033727.70000
1330,0.55786,0.26976,0.28126,6970671.00000
1340,0.55151,0.26496,0.27989,6970383.00000
1350,0.54598,0.26050,0.27893,6970383.00000
1360,0.54663,0.26132,0.27860,6970383.00000
1370,0.54410,0.25888,0.27822,6970383.00000
1380,0.54402,0.25780,0.27938,6970383.00000
1390,0.54840,0.26053,0.28130,6970383.00000
1400,0.56616,0.27507,0.28264,7212977.40000
1410,0.59015,0.29969,0.28356,8001493.20000
1420,0.58768,0.29734,0.28351,8001594.00000
1430,0.58461,0.29473,0.28311,7931326.20000
1440,0.57473,0.28426,0.28361,7829976.00000
1450,0.57522,0.28489,0.28315,7834560.60000
1460,0.57742,0.28674,0.28346,7925053.80000
1470,0.58346,0.29231,0.28352,7991727.00000
1480,0.58145,0.29110,0.28327,7999516.80000
1490,0.58350,0.29215,0.28393,8090580.60000
1500,0.59396,0.30286,0.28398,8357266.20000
1510,0.59863,0.30758,0.28383,8470036.80000
1520,0.60175,0.31042,0.28412,8477401.20000
1530,0.60100,0.31075,0.28334,8489996.40000
1540,0.60528,0.31482,0.28353,8495800.80000
1550,0.60910,0.31839,0.28357,8494414.20000
1560,0.61589,0.32540,0.28354,8494104.00000
1570,0.61723,0.32664,0.28337,8494104.00000
1580,0.61598,0.32528,0.28333,8494104.00000
1590,0.61553,0.32494,0.28337,8494104.00000
1600,0.61380,0.32304,0.28337,8494104.00000
1610,0.60856,0.31829,0.28313,8494104.00000
1620,0.60571,0.31538,0.28332,8492731.20000
1630,0.60386,0.31396,0.28275,8491920.00000
1640,0.60554,0.31524,0.28204,8492370.00000
1650,0.60604,0.31680,0.28218,8449743.60000
1660,0.60142,0.31521,0.27860,8384289.00000
1670,0.60240,0.31374,0.28092,8374041.00000
1680,0.59962,0.31342,0.27868,8367843.60000
1690,0.59332,0.30532,0.28105,8358251.40000
1700,0.58638,0.30073,0.27846,8295681.00000
1710,0.60537,0.29969,0.27916,8261586.00000
