frame,total,visibility,gbuffer,lighting,index_count
0,0.42752,0.29353,0.10810,0.01616,8231199.00000
10,0.42624,0.29259,0.10791,0.01600,8231199.00000
20,0.43027,0.29640,0.10773,0.01621,8234561.10000
30,0.42591,0.29231,0.10741,0.01608,8236002.00000
40,0.42547,0.29207,0.10746,0.01612,8236002.00000
50,0.42772,0.29401,0.10738,0.01606,8236002.00000
60,0.42544,0.29233,0.10744,0.01609,8236002.00000
70,0.42564,0.29231,0.10749,0.01605,8236002.00000
80,0.42727,0.29401,0.10748,0.01627,8236002.00000
90,0.48382,0.30033,0.15560,0.01789,8237667.00000
100,0.51906,0.31523,0.17416,0.01966,8329675.20000
110,0.52536,0.31989,0.17488,0.02052,8334444.00000
120,0.53136,0.32342,0.17575,0.02226,8317910.40000
130,0.52365,0.31516,0.17589,0.02236,8139647.40000
140,0.50514,0.29865,0.17537,0.02125,7834020.30000
150,0.47395,0.26890,0.17484,0.01994,7424970.00000
160,0.46923,0.26424,0.17511,0.01966,7313065.20000
170,0.45914,0.25555,0.17474,0.01903,7154175.00000
180,0.47224,0.26879,0.17454,0.01896,7421709.90000
190,0.48754,0.28406,0.17445,0.01895,7716846.60000
200,0.48570,0.28218,0.17461,0.01918,7789365.60000
210,0.48712,0.28240,0.17485,0.01954,7826196.60000
220,0.48337,0.27900,0.17452,0.01963,7722507.90000
230,0.48674,0.28270,0.17490,0.01954,7757628.60000
240,0.49136,0.28508,0.17525,0.02097,7718556.00000
250,0.49656,0.28536,0.17599,0.02505,7713440.40000
260,0.50564,0.29229,0.17660,0.02656,7695356.40000
270,0.50996,0.29602,0.17662,0.02697,7698819.00000
280,0.50860,0.29515,0.17668,0.02661,7700268.00000
290,0.51228,0.29866,0.17677,0.02685,7720264.80000
300,0.51226,0.29842,0.17674,0.02682,7730274.00000
310,0.51246,0.29833,0.17684,0.02708,7730274.00000
320,0.51398,0.29961,0.17686,0.02734,7744542.00000
330,0.51884,0.30376,0.17702,0.02758,7870452.00000
340,0.51927,0.30460,0.17692,0.02746,7870452.00000
350,0.51962,0.30486,0.17719,0.02698,7860626.40000
360,0.51678,0.30270,0.17724,0.02668,7803858.00000
370,0.51622,0.30235,0.17728,0.02642,7800402.00000
380,0.51370,0.30100,0.17702,0.02555,7791610.80000
390,0.51821,0.30518,0.17756,0.02552,7793692.20000
400,0.51573,0.30228,0.17725,0.02602,7792572.00000
410,0.51435,0.30014,0.17727,0.02666,7790788.80000
420,0.51643,0.30160,0.17724,0.02726,7774376.10000
430,0.50680,0.29274,0.17721,0.02696,7465851.00000
440,0.48437,0.27157,0.17684,0.02606,7100517.00000
450,0.47492,0.26702,0.17501,0.02318,7082915.40000
460,0.46126,0.26098,0.17004,0.02022,7070199.60000
470,0.45983,0.26149,0.16799,0.02018,7068315.60000
480,0.45166,0.25692,0.16493,0.02015,6944262.90000
490,0.45203,0.25736,0.16477,0.02006,6947631.00000
500,0.47831,0.26956,0.17504,0.02353,7164264.60000
510,0.49847,0.28376,0.17663,0.02806,7409877.60000
520,0.51631,0.30181,0.17715,0.02745,7792772.10000
530,0.51542,0.30220,0.17689,0.02573,7782946.20000
540,0.50977,0.29688,0.17708,0.02486,7708882.20000
