frame,total,depth_prepass,geometry,lighting,tonemap,index_count
0,0.92929,0.21501,0.32286,0.32464,0.04960,3536859.00000
10,0.93038,0.21569,0.32253,0.32490,0.04985,3540107.40000
20,0.93261,0.21482,0.32599,0.32515,0.04973,3548178.90000
30,0.93347,0.21529,0.32564,0.32540,0.04981,3560138.40000
40,0.93978,0.22119,0.32306,0.32542,0.05033,3566700.00000
50,0.94251,0.22313,0.32529,0.32589,0.05013,3568304.40000
60,0.94623,0.22908,0.32422,0.32576,0.05048,3569021.40000
70,1.23474,0.23715,0.34313,0.57113,0.06219,3569286.00000
80,1.23667,0.24087,0.34194,0.57115,0.06228,3569286.00000
90,1.36287,0.25879,0.42928,0.58189,0.07170,3629594.40000
100,1.43899,0.28904,0.46612,0.58573,0.07577,3798228.60000
110,1.44220,0.30320,0.45778,0.58427,0.07463,3842249.40000
120,1.53248,0.35225,0.49959,0.58336,0.07542,4073211.00000
130,1.55774,0.35767,0.51593,0.58489,0.07530,4046843.40000
140,1.38285,0.26494,0.43930,0.58243,0.07516,2686896.90000
150,1.12029,0.14186,0.30436,0.57911,0.07579,822589.80000
160,1.12176,0.13886,0.30892,0.58039,0.07532,645418.20000
170,1.10402,0.13082,0.29840,0.58088,0.07527,781088.70000
180,1.14570,0.15528,0.30960,0.58366,0.07451,1648105.80000
190,1.16370,0.16348,0.32190,0.58318,0.07518,1785513.90000
200,1.17030,0.15851,0.33338,0.58253,0.07531,1612006.50000
210,1.17872,0.15683,0.34568,0.58168,0.07503,1547567.40000
220,1.20550,0.16747,0.36296,0.58193,0.07517,1904816.70000
230,1.20988,0.17632,0.35519,0.58294,0.07569,2062156.20000
240,1.22260,0.18179,0.36168,0.58334,0.07562,2118916.80000
250,1.29728,0.20929,0.40952,0.58300,0.07539,2638450.50000
260,1.37502,0.24501,0.44861,0.58401,0.07557,3143778.30000
270,1.38035,0.25794,0.44102,0.58482,0.07550,3176709.60000
280,1.38370,0.26461,0.43783,0.58534,0.07528,3195139.80000
290,1.38987,0.26846,0.43937,0.58602,0.07526,3196378.80000
300,1.39887,0.27079,0.44509,0.58640,0.07571,3191899.20000
310,1.39956,0.26862,0.44796,0.58662,0.07540,3189861.60000
320,1.41141,0.27782,0.44980,0.58728,0.07537,3188157.60000
330,1.43454,0.28458,0.46392,0.58867,0.07592,3183397.20000
340,1.44082,0.28854,0.46738,0.58873,0.07529,3251785.50000
350,1.45166,0.29124,0.47303,0.58916,0.07621,3262454.70000
360,1.45194,0.29253,0.47400,0.58930,0.07551,3240558.60000
370,1.45451,0.29084,0.47577,0.58907,0.07590,3240268.80000
380,1.46031,0.29107,0.48316,0.58911,0.07600,3222061.50000
390,1.46437,0.28902,0.48846,0.58919,0.07562,3185881.80000
400,1.47253,0.29112,0.49541,0.58995,0.07542,3157816.80000
410,1.48758,0.29631,0.50457,0.59056,0.07479,3138618.60000
420,1.50021,0.30037,0.51358,0.59085,0.07476,3087039.60000
430,1.48102,0.29018,0.50404,0.59066,0.07506,2881825.20000
440,1.36234,0.22877,0.44801,0.59108,0.07493,2218198.50000
450,1.25874,0.17741,0.39821,0.58850,0.07528,1656567.60000
460,1.19724,0.15433,0.36280,0.58612,0.07482,1441534.80000
470,1.18752,0.15450,0.35485,0.58445,0.07401,1194970.80000
480,1.18783,0.15876,0.35467,0.58182,0.07330,956263.50000
490,1.20488,0.16826,0.36002,0.58174,0.07302,983980.20000
500,1.28722,0.19653,0.40802,0.58764,0.07540,1687170.00000
510,1.45988,0.28406,0.48903,0.58970,0.07554,2957266.80000
520,1.48756,0.30538,0.49566,0.58987,0.07532,3168784.80000
530,1.44159,0.28792,0.46789,0.58948,0.07544,3105747.30000
540,1.39850,0.27000,0.44323,0.58835,0.07588,2970027.90000
550,1.39272,0.26929,0.43961,0.58774,0.07526,2972406.90000
560,1.35127,0.24400,0.42491,0.58592,0.07582,2435823.90000
570,1.21397,0.19595,0.34328,0.58028,0.07510,1593825.60000
580,1.30310,0.25331,0.37510,0.58079,0.07329,2267734.20000
590,1.48232,0.34344,0.45568,0.58816,0.07240,3676994.40000
600,1.61354,0.41302,0.51932,0.58784,0.07128,4240686.00000
610,1.58836,0.39967,0.50844,0.58773,0.07111,4109590.20000
620,1.47404,0.31930,0.45172,0.58756,0.07347,3234051.90000
630,1.23150,0.21730,0.33542,0.58545,0.07341,1765986.60000
640,1.19363,0.19443,0.32265,0.58332,0.07372,1362335.40000
650,1.21606,0.19185,0.34765,0.58214,0.07369,1596570.30000
660,1.23373,0.19361,0.36716,0.57977,0.07395,1741612.80000
670,1.22988,0.18739,0.37231,0.57622,0.07404,1637828.70000
680,1.17536,0.16999,0.33660,0.57591,0.07432,1236070.20000
690,1.17560,0.16481,0.34074,0.57710,0.07458,1250187.00000
700,1.18947,0.16063,0.35619,0.57901,0.07471,1665342.90000
710,1.17628,0.17282,0.32879,0.58042,0.07486,1775468.10000
720,1.20750,0.19822,0.33245,0.58359,0.07365,1908386.70000
730,1.21086,0.19792,0.33586,0.58360,0.07432,2145022.50000
740,1.25490,0.20752,0.36913,0.58327,0.07482,2592365.10000
750,1.29922,0.22807,0.39318,0.58374,0.07484,2757870.60000
760,1.28560,0.22477,0.37988,0.58440,0.07531,2677093.20000
770,1.27180,0.22392,0.36838,0.58482,0.07522,2654013.00000
780,1.26083,0.22766,0.35251,0.58539,0.07463,2578698.60000
790,1.25824,0.22740,0.34720,0.58764,0.07479,2520352.80000
800,1.27572,0.24145,0.35282,0.58822,0.07436,2485218.30000
810,1.23652,0.22430,0.33050,0.58830,0.07458,2037999.30000
820,1.15865,0.19476,0.28330,0.58730,0.07458,1524259.50000
830,1.09272,0.15869,0.25448,0.58586,0.07468,1150906.20000
840,1.05884,0.13523,0.24517,0.58496,0.07444,1017384.90000
850,1.05113,0.13030,0.24338,0.58433,0.07448,1015100.40000
860,1.04228,0.12579,0.23994,0.58331,0.07432,998085.00000
870,1.03727,0.12385,0.23818,0.58251,0.07427,1010553.00000
880,1.02424,0.11802,0.23230,0.58119,0.07434,722847.00000
890,1.01286,0.11579,0.22446,0.58008,0.07436,660985.80000
900,1.01550,0.11740,0.22422,0.58183,0.07415,1056630.60000
910,1.08567,0.14674,0.26224,0.58468,0.07212,1843141.50000
920,1.21286,0.22282,0.32644,0.57415,0.06828,2533154.70000
930,1.46572,0.33165,0.46394,0.57959,0.06777,4071835.80000
940,1.46211,0.32704,0.46034,0.58204,0.07050,3963503.10000
950,1.47055,0.31810,0.47242,0.58262,0.07312,4031704.50000
960,1.49030,0.31731,0.49412,0.58353,0.07405,3971499.00000
970,1.48850,0.32011,0.48849,0.58318,0.07427,3766537.50000
980,1.48333,0.31619,0.48638,0.58388,0.07439,3583336.20000
990,1.47920,0.31867,0.47870,0.58377,0.07476,3483438.60000
1000,1.45793,0.30461,0.47562,0.58309,0.07400,3392737.80000
1010,1.45560,0.30547,0.47134,0.58343,0.07404,3276338.40000
1020,1.44058,0.29598,0.46426,0.58380,0.07473,3129990.90000
1030,1.42272,0.28326,0.45864,0.58470,0.07497,2999856.00000
1040,1.40408,0.27113,0.45218,0.58578,0.07462,2824652.70000
1050,1.35021,0.23784,0.43065,0.58612,0.07558,2633786.40000
1060,1.35306,0.24150,0.42900,0.58648,0.07568,2547567.60000
1070,1.38830,0.26592,0.44046,0.58696,0.07563,2468410.80000
1080,1.40727,0.27770,0.44784,0.58670,0.07578,2416487.40000
1090,1.43293,0.26780,0.48405,0.58676,0.07520,2360726.40000
1100,1.44158,0.28363,0.47599,0.58670,0.07539,2341794.60000
1110,1.41954,0.27028,0.46928,0.58658,0.07544,2220366.60000
1120,1.43514,0.29594,0.45792,0.58683,0.07518,2163918.60000
1130,1.44333,0.30069,0.46094,0.58643,0.07578,2127327.30000
1140,1.44420,0.30682,0.45646,0.58603,0.07569,2131965.90000
1150,1.48113,0.33592,0.46242,0.58690,0.07636,2479488.00000
1160,1.56170,0.37953,0.49787,0.58779,0.07611,3103379.70000
1170,1.60748,0.41000,0.51212,0.58862,0.07574,3286165.20000
1180,1.57546,0.38926,0.50019,0.58942,0.07472,3223156.20000
