frame,total,depth_prepass,geometry,lighting,tonemap,index_count
0,2.12017,0.12321,1.47918,0.35963,0.05238,2735043.00000
10,2.36118,0.12904,1.74264,0.34682,0.05501,2743503.00000
20,2.45875,0.13141,1.78220,0.34986,0.05556,2789486.40000
30,2.53950,0.14140,1.83315,0.35357,0.05627,2973420.00000
40,2.33893,0.14477,1.75290,0.35050,0.05824,2973420.00000
50,2.41065,0.16067,1.79404,0.35146,0.05910,3519772.20000
60,2.67199,0.17548,2.06286,0.35503,0.06458,3709842.60000
70,3.07517,0.19472,2.22469,0.58263,0.07410,3855122.40000
80,3.06926,0.18757,2.20161,0.58614,0.07459,3654076.80000
90,2.98147,0.18525,2.11673,0.58697,0.07440,3542482.20000
100,2.70808,0.17129,1.84816,0.58744,0.07376,3260749.80000
110,2.94515,0.14695,2.11887,0.58738,0.07408,2319486.90000
120,3.22193,0.13665,2.36996,0.58730,0.07394,1946843.70000
130,2.89161,0.13116,2.08020,0.58788,0.07390,1705523.10000
140,2.64855,0.12918,1.79172,0.58766,0.07410,1670144.40000
150,2.87840,0.12972,2.02833,0.58755,0.07376,1705351.20000
160,2.94755,0.13248,2.13456,0.58725,0.07353,1601443.50000
170,3.07634,0.15095,2.23122,0.58710,0.07447,1952126.40000
180,2.92909,0.16752,2.07996,0.58776,0.07502,2341795.20000
190,2.94410,0.15228,2.08734,0.58818,0.07368,2107644.90000
200,2.83617,0.13262,1.98545,0.58844,0.07381,1419058.80000
210,2.58571,0.12132,1.78507,0.58752,0.07368,807861.60000
220,2.30742,0.11480,1.51277,0.58770,0.07328,643874.40000
230,2.10488,0.10096,1.32375,0.58882,0.07339,684394.20000
240,2.16876,0.13632,1.32353,0.58890,0.07380,1542489.30000
250,2.53058,0.14859,1.70082,0.58912,0.07376,1712182.50000
260,2.40064,0.14266,1.57804,0.58861,0.07372,1672847.40000
270,2.17464,0.14585,1.30072,0.58849,0.07361,1599087.60000
280,2.38860,0.14957,1.55928,0.58838,0.07322,1561190.10000
290,2.27734,0.13499,1.46234,0.58811,0.07312,1296197.40000
300,1.99206,0.12621,1.16572,0.58723,0.07292,1175449.20000
310,1.84801,0.11745,1.05291,0.58697,0.07308,912259.20000
320,1.83277,0.11603,1.03465,0.58614,0.07308,897765.00000
330,1.98609,0.11427,1.07131,0.58610,0.07332,897779.40000
340,2.23669,0.12496,1.40116,0.58552,0.07434,894099.90000
350,2.75288,0.10203,1.60666,0.93359,0.07782,879486.00000
360,2.71020,0.07628,1.78816,0.62216,0.07020,846745.80000
370,3.27101,0.07285,2.32270,0.36601,0.06488,793391.40000
380,3.70131,0.10290,2.48638,0.58676,0.07381,792712.20000
390,3.07619,0.08894,1.98893,0.68516,0.07408,565609.80000
400,2.48940,0.07632,1.29656,0.79530,0.07677,383192.10000
410,2.78599,0.08352,1.67212,0.69605,0.07767,528333.90000
420,3.52292,0.10725,2.38460,0.59106,0.07430,794159.10000
430,3.32206,0.10364,2.05963,0.59201,0.07433,728275.20000
440,3.19542,0.08464,2.05690,0.59210,0.07349,552941.10000
450,3.34759,0.07212,2.19542,0.59291,0.07326,412048.20000
460,3.24287,0.06740,2.10536,0.59174,0.07336,350868.00000
470,3.02946,0.06658,1.96738,0.59102,0.07366,350868.00000
480,3.03032,0.06472,1.87928,0.72549,0.07360,338481.60000
490,2.92323,0.06179,1.75286,1.01698,0.07337,321642.00000
500,2.93929,0.06236,1.79382,0.87810,0.07323,333708.90000
510,3.11161,0.06636,1.94284,0.62037,0.07304,339267.00000
520,2.85356,0.06729,1.85440,0.68499,0.07324,339351.00000
530,2.78943,0.06683,1.75534,0.87051,0.07313,339141.00000
540,2.96226,0.06776,1.72375,1.07429,0.07368,339351.00000
550,2.95583,0.07203,1.97698,0.63298,0.07324,474632.40000
560,2.93215,0.07693,1.65775,0.95057,0.07467,541706.70000
570,1.99514,0.07335,1.19319,0.58837,0.07309,300708.60000
580,2.27212,0.07453,1.29876,0.66274,0.07738,161673.00000
590,3.08962,0.08550,1.81272,0.72173,0.07756,548954.40000
600,3.19907,0.16498,1.93125,0.63342,0.07715,2470690.80000
610,3.40006,0.21722,2.13713,0.59072,0.07483,4528393.20000
620,3.09744,0.28225,1.95002,0.58866,0.07464,5469609.30000
630,3.66674,0.28438,2.28044,0.59062,0.07422,5385665.40000
640,3.50692,0.27986,2.18700,0.59084,0.07458,5268445.80000
650,3.75839,0.30046,2.34886,0.59037,0.07364,5455766.10000
660,3.66220,0.34068,2.61170,0.58817,0.07389,6486145.20000
670,3.27338,0.34787,2.01692,0.58819,0.07450,6541372.50000
680,3.18022,0.36040,1.77520,0.58875,0.07457,6879486.30000
690,3.07025,0.36423,1.76069,0.58783,0.07450,7108213.50000
700,3.23364,0.38597,1.81851,0.58799,0.07390,7441605.60000
710,3.13086,0.39750,1.82386,0.58660,0.07400,7593033.90000
720,3.09892,0.39296,1.72866,0.58636,0.07385,7066003.50000
730,2.98819,0.37817,1.58387,0.62839,0.07226,6821793.60000
740,2.91409,0.38042,1.48376,0.92868,0.07198,6720414.00000
750,2.85827,0.38125,1.47689,0.90740,0.07224,6525013.50000
760,3.06938,0.38728,1.53688,0.81831,0.07306,6801216.60000
770,3.21896,0.39401,1.72018,0.58787,0.07427,7175850.30000
780,3.49488,0.39062,2.16820,0.58935,0.07461,7286777.70000
790,3.39942,0.37144,2.34631,0.58638,0.07483,6714756.00000
800,3.43924,0.36716,2.36049,0.58732,0.07484,6663391.50000
810,3.43127,0.37522,2.36094,0.58827,0.07435,6727253.40000
820,3.15364,0.37951,2.05472,0.58595,0.07387,6686411.70000
830,3.21143,0.39109,2.04383,0.62151,0.07425,6922272.30000
840,3.00513,0.41952,1.72756,0.58665,0.07401,7140367.20000
850,2.99649,0.43922,1.65501,0.61881,0.07337,7148327.40000
860,3.03096,0.45819,1.52788,0.65735,0.07350,7238579.70000
