frame,total,raster_stats,index_count
0,14.13432,14.13014,17931717.00000
10,14.18082,14.17663,17940177.00000
20,14.86294,14.85853,17986160.40000
30,18.66915,18.66448,18170094.00000
40,22.54653,22.54205,18170094.00000
50,22.96490,22.96038,18716446.20000
60,16.97375,16.96960,18906516.60000
70,12.20766,12.20348,19051796.40000
80,12.98866,12.98457,18850750.80000
90,14.55050,14.54622,18739156.20000
100,19.75923,19.75500,18457423.80000
110,11.54113,11.53680,17516160.90000
120,11.42831,11.42424,17143517.70000
130,11.85990,11.85571,16902197.10000
140,11.76238,11.75832,16866818.40000
150,13.36134,13.35705,16902025.20000
160,12.54096,12.53676,13710806.10000
170,12.97932,12.97514,1952126.40000
180,12.29416,12.28993,2341795.20000
190,16.59026,16.58612,2107644.90000
200,15.76428,15.75978,1419058.80000
210,16.39751,16.39336,807861.60000
220,18.61824,18.61400,643874.40000
230,30.53454,30.53000,684394.20000
240,24.73502,24.73040,1542489.30000
250,22.97640,22.97170,1712182.50000
260,19.61095,19.60637,1672847.40000
270,20.46007,20.45544,1599087.60000
280,22.27566,22.27095,1561190.10000
290,21.99211,21.98743,1296197.40000
300,22.86770,22.86298,1175449.20000
310,20.30881,20.30434,912259.20000
320,27.64307,27.63855,897765.00000
330,37.38125,37.37668,897779.40000
340,33.67161,33.66704,894099.90000
350,35.89058,35.88600,879486.00000
360,34.61945,34.61475,846745.80000
370,15.65004,15.64556,793391.40000
380,15.07634,15.07236,792712.20000
390,18.83012,18.82592,565609.80000
400,20.18954,20.18530,383192.10000
410,20.87648,20.87219,528333.90000
420,13.62284,13.61860,794159.10000
430,16.54166,16.53772,728275.20000
440,14.77495,14.77080,552941.10000
450,17.95848,17.95435,412048.20000
460,22.48974,22.48566,350868.00000
470,23.69686,23.69270,350868.00000
480,15.78516,15.78107,338481.60000
490,10.50136,10.49738,321642.00000
500,11.95242,11.94847,333708.90000
510,13.17877,13.17462,339267.00000
520,15.87944,15.87538,339351.00000
530,17.52248,17.51827,339141.00000
540,16.00656,16.00224,339351.00000
550,14.36774,14.36352,474632.40000
560,24.70298,24.69876,541706.70000
570,25.80702,25.80253,300708.60000
580,22.14497,22.14078,161673.00000
590,18.36890,18.36466,548954.40000
600,16.33764,16.33333,11588695.20000
610,24.22411,24.21960,19725067.20000
620,22.29005,22.28570,20666283.30000
630,13.03814,13.03396,20582339.40000
640,12.02463,12.02040,20465119.80000
650,11.77078,11.76666,20652440.10000
660,14.79614,14.79195,21682819.20000
670,18.41311,18.40905,21738046.50000
680,22.99966,22.99550,22076160.30000
690,21.58530,21.58094,22304887.50000
700,25.12619,25.12188,22638279.60000
710,28.26790,28.26356,22789707.90000
720,24.92702,24.92263,22262677.50000
730,25.89957,25.89494,22018467.60000
740,27.63358,27.62886,21917088.00000
750,27.03381,27.02922,21721687.50000
760,19.26830,19.26399,21997890.60000
770,14.31449,14.31019,22372524.30000
780,12.39275,12.38863,22483451.70000
790,13.43640,13.43215,21911430.00000
800,16.83056,16.82643,21860065.50000
810,16.37026,16.36618,21923927.40000
820,17.53062,17.52646,21883085.70000
830,50.18824,50.18398,22118946.30000
840,43.78749,43.78290,22337041.20000
850,45.29153,45.28695,22345001.40000
860,41.06663,41.06193,22435253.70000
870,42.39364,42.38905,23038737.90000
880,52.69537,52.69078,23595925.20000
890,49.15680,49.15222,23847405.60000
900,48.23917,48.23457,23450232.60000
910,42.55516,42.55053,23663481.30000
920,39.17168,39.16695,23387766.90000
930,37.52561,37.52093,22808571.60000
940,44.51506,44.51049,22669159.20000
950,40.94073,40.93599,22675995.60000
960,40.10927,40.10460,22710366.60000
970,49.80850,49.80382,22421611.80000
980,64.49096,64.48626,21648012.30000
990,68.91476,68.91005,21358438.20000
1000,72.52383,72.51916,20832129.90000
1010,73.12562,73.12102,20399097.30000
1020,74.72069,74.71608,20261161.20000
1030,70.90548,70.90087,20050881.60000
1040,21.00452,21.00019,20010486.60000
1050,19.07182,19.06767,20314063.20000
1060,19.66633,19.66207,21039028.50000
1070,17.82269,17.81843,21848523.00000
1080,17.86400,17.85980,20805311.70000
1090,21.47056,21.46615,19459068.00000
1100,26.13553,26.13118,19238143.80000
1110,23.77945,23.77473,19026399.00000
1120,20.57667,20.57209,18822052.80000
1130,24.41535,24.41089,18694563.30000
1140,25.33716,25.33242,5389947.60000
1150,33.64468,33.63998,1301457.60000
1160,52.56514,52.56054,8054462.10000
1170,40.45335,40.44872,18352998.60000
1180,29.26064,29.25618,18247214.40000
1190,29.29349,29.28900,18177996.90000
1200,47.22260,47.21794,18110781.30000
1210,28.72710,28.72253,18034769.10000
1220,22.98388,22.97918,17600804.40000
1230,27.10558,27.10127,17953003.80000
1240,41.49635,41.49196,18440531.10000
1250,25.20245,25.19790,18571515.30000
1260,29.92359,29.91930,17955660.60000
1270,28.63506,28.63042,17176931.70000
1280,33.70642,33.70178,16633705.50000
1290,43.23661,43.23206,16363025.70000
1300,48.68401,48.67941,16233924.60000
1310,33.10218,33.09757,16418315.40000
1320,41.92245,41.91784,15956200.20000
1330,45.47600,45.47132,15627214.20000
1340,49.31350,49.30896,15891296.10000
1350,40.31087,40.30623,16763058.90000
1360,29.97162,29.96695,18137182.80000
1370,26.05921,26.05485,19776716.10000
1380,24.80061,24.79627,20313801.00000
1390,66.91298,66.90867,20898246.00000
1400,53.42658,53.42195,21234892.80000
1410,34.23140,34.22684,19659505.50000
1420,32.14975,32.14514,19679481.90000
1430,34.13659,34.13193,21293239.50000
1440,33.34201,33.33738,21575512.20000
1450,40.93932,40.93477,22041442.20000
1460,46.98282,46.97816,22658125.50000
1470,44.97032,44.96577,23017506.30000
1480,46.91619,46.91156,23363749.80000
1490,55.07455,55.06995,23775677.40000
1500,57.95703,57.95238,24093736.20000
1510,62.47056,62.46591,24350039.10000
1520,47.62800,47.62338,24492098.70000
1530,43.50162,43.49692,24291856.20000
1540,33.58422,33.57959,24262731.60000
1550,37.25689,37.25229,24549714.90000
1560,30.01481,30.01018,24916865.10000
1570,36.84161,36.83698,25179599.40000
1580,32.80065,32.79634,25368188.40000
1590,29.93214,29.92779,25654489.80000
1600,31.92136,31.91697,25850447.10000
1610,30.43981,30.43554,25914912.00000
1620,36.71122,36.70683,25914921.00000
1630,32.88227,32.87807,25916769.00000
1640,28.64866,28.64443,25933466.40000
1650,28.51712,28.51300,25985083.20000
1660,26.38644,26.38227,26082121.80000
1670,27.28913,27.28496,26109399.00000
1680,22.97383,22.96968,26203521.30000
1690,20.43184,20.42772,26437684.80000
1700,19.76652,19.76223,26437692.60000
1710,19.32153,19.31749,26437698.00000
1720,20.48437,20.48037,26437699.80000
1730,18.85324,18.84909,26437711.20000
1740,18.73959,18.73562,26356110.00000
1750,20.83348,20.82935,26254093.80000
1760,18.19234,18.18818,26437722.60000
1770,17.43838,17.43426,26437728.00000
1780,16.97420,16.97004,26437728.00000
1790,17.60532,17.60128,26437728.00000
1800,17.35429,17.35025,26437728.00000
1810,17.36268,17.35857,26437723.80000
1820,16.90872,16.90461,26437713.60000
1830,17.40156,17.39741,26437706.40000
1840,18.13682,18.13272,26437698.00000
1850,18.52983,18.52566,26437692.00000
1860,20.39208,20.38791,26437693.80000
1870,19.96272,19.95847,26437693.80000
1880,21.14822,21.14407,26437686.60000
1890,25.32118,25.31698,26437678.80000
1900,24.18688,24.18269,26437671.00000
1910,25.94285,25.93875,26437662.00000
1920,29.37148,29.36726,26437653.60000
1930,32.45734,32.45322,26437639.20000
1940,31.77470,31.77054,26437625.40000
1950,33.47782,33.47367,26437611.00000
1960,31.67242,31.66796,26437594.80000
1970,36.23644,36.23220,26437580.40000
1980,34.74637,34.74186,26245041.60000
1990,41.58338,41.57876,25570368.60000
2000,36.07245,36.06783,25420224.60000
2010,37.67596,37.67138,25374571.20000
2020,37.71760,37.71296,25355345.40000
2030,44.01115,44.00650,24761157.60000
2040,34.45095,34.44634,23847528.90000
2050,39.51977,39.51540,23515125.60000
2060,41.78413,41.77955,23862561.00000
2070,48.73576,48.73114,23077973.40000
2080,42.23641,42.23182,20593693.20000
2090,40.17838,40.17356,18992582.10000
2100,39.77430,39.76962,4590594.60000
2110,45.45251,45.44793,12734513.40000
2120,62.92012,62.91556,20215755.60000
2130,72.77314,72.76848,20427870.00000
2140,97.37730,97.37266,20832835.80000
2150,96.60827,96.60383,21201982.80000
2160,99.34819,99.34351,16232291.70000
2170,92.28669,92.28204,1575881.40000
2180,96.32024,96.31570,1637140.20000
2190,86.67242,86.66781,1388206.80000
2200,61.67105,61.66650,724267.50000
2210,33.68073,33.67622,522360.60000
2220,33.28200,33.27762,359120.40000
2230,34.23453,34.22996,318315.00000
2240,37.11054,37.10600,235974.30000
2250,0.04384,0.03987,40580.10000
2260,1.76693,1.76311,142475.40000
2270,6.55336,6.54946,404724.00000
2280,6.13970,6.13578,264973.50000
2290,4.17624,4.17240,205083.00000
2300,0.63331,0.62943,20613.00000
2310,0.02784,0.02397,0.00000
2320,0.02786,0.02412,0.00000
2330,0.02774,0.02408,0.00000
2340,0.02776,0.02391,0.00000
2350,0.02792,0.02407,0.00000
2360,0.02796,0.02406,0.00000
2370,0.02778,0.02404,0.00000
2380,0.02825,0.02449,0.00000
2390,0.02781,0.02400,0.00000
2400,0.02744,0.02365,0.00000
2410,0.02800,0.02425,0.00000
2420,0.02758,0.02376,0.00000
2430,0.02747,0.02375,0.00000
2440,0.02722,0.02347,0.00000
2450,0.02733,0.02356,0.00000
2460,0.02760,0.02377,0.00000
2470,0.02735,0.02362,0.00000
2480,0.02743,0.02364,0.00000
2490,0.02722,0.02348,0.00000
