frame,triangle_count,total_fragments,covered_pixels,overdraw_extra,avg_overdraw,max_overdraw,rasterized_triangles,skipped_triangles,quad_instances,quad_covered_lanes,quad_waste_lanes,quad_efficiency
60,5974419,3871526,1313280,2558246,2.947982,10,175910,5798509,1279650,3871526,1247074,0.756364
61,5974419,3889049,1319040,2570009,2.948394,10,176620,5797799,1284879,3889049,1250467,0.756696
62,5974419,3908280,1326720,2581560,2.945821,10,177344,5797075,1293209,3908280,1264556,0.755539
63,5974419,3927243,1332480,2594763,2.947319,10,177703,5796716,1297880,3927243,1264277,0.756473
64,5974419,3946978,1338240,2608738,2.949380,10,178228,5796191,1306605,3946978,1279442,0.755197
65,5980059,3965656,1344000,2621656,2.950637,10,178763,5801296,1311143,3965656,1278916,0.756145
66,5980059,3986671,1351680,2634991,2.949419,11,179733,5800326,1319040,3986671,1289489,0.755601
67,5980059,4003223,1357440,2645783,2.949098,10,180140,5799919,1325022,4003223,1296865,0.755313
68,5980059,4022946,1363200,2659746,2.951105,10,180829,5799230,1330387,4022946,1298602,0.755973
69,5980059,4045056,1370880,2674176,2.950700,10,181461,5798598,1337163,4045056,1303596,0.756276
70,5980059,4064112,1376640,2687472,2.952197,10,181754,5798305,1344500,4064112,1313888,0.755692
71,5980059,4082633,1382400,2700233,2.953294,10,182768,5797291,1348972,4082633,1313255,0.756619
72,5980059,4102624,1390080,2712544,2.951358,10,183062,5796997,1356790,4102624,1324536,0.755943
73,5980059,4122149,1395840,2726309,2.953167,10,183911,5796148,1362853,4122149,1329263,0.756162
74,5980059,4141247,1401600,2739647,2.954657,10,184420,5795639,1369555,4141247,1336973,0.755948
75,5980059,4160292,1407360,2752932,2.956097,10,184785,5795274,1374683,4160292,1338440,0.756591
76,5980059,4181041,1415040,2766001,2.954716,10,185624,5794435,1382744,4181041,1349935,0.755932
77,5980059,4199602,1421142,2778460,2.955090,10,186100,5793959,1387841,4199602,1351762,0.756499
78,5980059,4216131,1427736,2788395,2.953019,10,186966,5793093,1393147,4216131,1356457,0.756584
79,5980059,4240877,1436297,2804580,2.952646,10,187475,5792584,1403208,4240877,1371955,0.755568
80,5980059,4259303,1443326,2815977,2.951033,10,187886,5792173,1404601,4259303,1359101,0.758098
81,5980059,4278872,1450480,2828392,2.949970,10,188751,5791308,1414351,4278872,1378532,0.756331
82,5980059,4297397,1457799,2839598,2.947867,10,189342,5790717,1417544,4297397,1372779,0.757895
83,5980059,4317070,1466997,2850073,2.942794,10,189854,5790205,1425311,4317070,1384174,0.757215
84,5980059,4336637,1474559,2862078,2.940972,10,190224,5789835,1431759,4336637,1390399,0.757222
85,5980059,4356370,1482289,2874081,2.938948,10,190506,5789553,1434575,4356370,1381930,0.759174
86,5980059,4377378,1491695,2885683,2.934499,10,191085,5788974,1442874,4377378,1394118,0.758448
87,5980059,4395784,1499597,2896187,2.931310,10,191733,5788326,1447733,4395784,1395148,0.759081
88,6056698,4413950,1507530,2906420,2.927935,10,192326,5864372,1453461,4413950,1399894,0.759214
89,6056698,4434146,1515622,2918524,2.925628,10,192767,5863931,1461187,4434146,1410602,0.758655
90,6056698,4456345,1525465,2930880,2.921303,10,193414,5863284,1466738,4456345,1410607,0.759567
