overdraw,first_sampled_alu_where_forward_is_not_winner,first_sampled_alu_where_visbuf_is_winner,first_sampled_alu_where_forwardprepass_is_winner,first_sampled_alu_where_visbuf_beats_forward,first_sampled_alu_where_forwardprepass_beats_forward,first_sampled_alu_where_visbuf_beats_forwardprepass
0,nan,nan,nan,nan,nan,0.0
1,4.0,4.0,nan,4.0,16.0,0.0
2,2.0,2.0,nan,2.0,8.0,0.0
4,1.0,1.0,nan,1.0,4.0,0.0
8,1.0,1.0,nan,1.0,1.0,0.0
12,1.0,1.0,nan,1.0,1.0,0.0
16,1.0,nan,1.0,1.0,1.0,nan
24,1.0,nan,1.0,1.0,1.0,nan
32,1.0,nan,1.0,1.0,1.0,nan
48,0.0,nan,0.0,1.0,0.0,nan
