run-id,run-name,run-current-time,output-filepath,renderer-variant,renderer-variant-name,variable,to-use-scene,scene-path,warmup-frames,measure-frames,auto-terminate,window-width,window-height,seed,camera-pos-x,camera-pos-y,camera-pos-z,camera-lookat-x,camera-lookat-y,camera-lookat-z,camera-near-z,camera-far-z,camera-fov,object-count,material-count,geometry-count,overdraw-count,z-min,z-max,xy-minmax,radius,geometry-div,gbuffer-cnt,texture-count,texture-size,texture-sampling-count,alu-calc-count,renderer_name,pass_name_0,pass_name_1,pass_name_2,pass_name_3,pass_0_time_min_ms,pass_0_time_median_ms,pass_0_time_max_ms,pass_0_time_avg_ms,pass_0_time_p01_ms,pass_0_time_p10_ms,pass_0_time_p90_ms,pass_0_time_p99_ms,pass_1_time_min_ms,pass_1_time_median_ms,pass_1_time_max_ms,pass_1_time_avg_ms,pass_1_time_p01_ms,pass_1_time_p10_ms,pass_1_time_p90_ms,pass_1_time_p99_ms,pass_2_time_min_ms,pass_2_time_median_ms,pass_2_time_max_ms,pass_2_time_avg_ms,pass_2_time_p01_ms,pass_2_time_p10_ms,pass_2_time_p90_ms,pass_2_time_p99_ms,pass_3_time_min_ms,pass_3_time_median_ms,pass_3_time_max_ms,pass_3_time_avg_ms,pass_3_time_p01_ms,pass_3_time_p10_ms,pass_3_time_p90_ms,pass_3_time_p99_ms,variable-geometry-count,variable-overdraw-count,variable-waste-quad-count,variable-alu-op-count,param_run_id,param_run_name,param_run_current_time,param_output_filepath,param_renderer_variant_name,param_variable,param_to_use_scene,param_scene_path,param_warmup_frames,param_measure_frames,param_auto_terminate,param_window_width,param_window_height,param_seed,param_camera_pos_x,param_camera_pos_y,param_camera_pos_z,param_camera_lookat_x,param_camera_lookat_y,param_camera_lookat_z,param_camera_near_z,param_camera_far_z,param_camera_fov,param_object_count,param_material_count,param_geometry_count,param_z_min,param_z_max,param_xy_minmax,param_radius,param_geometry_div,param_gbuffer_cnt,param_texture_count,param_texture_size,param_texture_sampling_count,param_overdraw_count,param_alu_calc_count,param_renderer_variant,runner_experiment,runner_repeat,runner_run_index,runner_result_row,runner_status,runner_return_code,runner_error
0,overdraw_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_8x1g6c76\run_00000.csv,1,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,256,1,1,0,-1,1,1,0.5,16,1,1,256,1,0,Forward,forward,,,total,0.14960,0.15043,0.15123,0.15043,0.14992,0.15011,0.15075,0.15123,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.14960,0.15043,0.15123,0.15043,0.14992,0.15011,0.15075,0.15123,65536,0,16,0,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,256,1,1,-1.0,1.0,1.0,0.5,16,1,1,256,1,0,0,1,overdraw_alu_orthogonal,0,0,0,success,0,
1,overdraw_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_8x1g6c76\run_00001.csv,2,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,256,1,1,0,-1,1,1,0.5,16,1,1,256,1,0,ForwardPrepass,depth_prepass,forward,,total,0.14547,0.14602,0.14704,0.14609,0.14547,0.14566,0.14659,0.14685,0.15101,0.15142,0.15181,0.15142,0.15104,0.15126,0.15158,0.15178,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.29667,0.29744,0.29869,0.29751,0.29680,0.29702,0.29811,0.29834,65536,0,16,0,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,256,1,1,-1.0,1.0,1.0,0.5,16,1,1,256,1,0,0,2,overdraw_alu_orthogonal,0,1,0,success,0,
2,overdraw_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_8x1g6c76\run_00002.csv,4,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,256,1,1,0,-1,1,1,0.5,16,1,1,256,1,0,VisBuf,visibility,resolve,,total,0.14742,0.14790,0.14848,0.14790,0.14746,0.14758,0.14822,0.14842,0.02627,0.02643,0.02653,0.02642,0.02630,0.02634,0.02646,0.02653,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.17379,0.17430,0.17498,0.17431,0.17386,0.17402,0.17462,0.17488,65536,0,16,0,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,256,1,1,-1.0,1.0,1.0,0.5,16,1,1,256,1,0,0,4,overdraw_alu_orthogonal,0,2,0,success,0,
3,overdraw_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_8x1g6c76\run_00003.csv,1,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,256,1,1,0,-1,1,1,0.5,16,1,1,256,1,1,Forward,forward,,,total,0.16294,0.16349,0.16496,0.16349,0.16301,0.16317,0.16381,0.16400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.16294,0.16349,0.16496,0.16349,0.16301,0.16317,0.16381,0.16400,65536,0,16,1,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,256,1,1,-1.0,1.0,1.0,0.5,16,1,1,256,1,0,1,1,overdraw_alu_orthogonal,0,3,0,success,0,
4,overdraw_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_8x1g6c76\run_00004.csv,2,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,256,1,1,0,-1,1,1,0.5,16,1,1,256,1,1,ForwardPrepass,depth_prepass,forward,,total,0.14525,0.14595,0.14682,0.14593,0.14531,0.14544,0.14646,0.14672,0.16093,0.16131,0.16166,0.16132,0.16106,0.16118,0.16147,0.16160,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.30646,0.30726,0.30822,0.30725,0.30650,0.30678,0.30781,0.30806,65536,0,16,1,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,256,1,1,-1.0,1.0,1.0,0.5,16,1,1,256,1,0,1,2,overdraw_alu_orthogonal,0,4,0,success,0,
5,overdraw_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_8x1g6c76\run_00005.csv,4,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,256,1,1,0,-1,1,1,0.5,16,1,1,256,1,1,VisBuf,visibility,resolve,,total,0.14742,0.14787,0.14845,0.14788,0.14746,0.14762,0.14819,0.14845,0.04272,0.04294,0.04339,0.04295,0.04282,0.04288,0.04307,0.04320,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.19030,0.19082,0.19149,0.19083,0.19034,0.19053,0.19117,0.19146,65536,0,16,1,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,256,1,1,-1.0,1.0,1.0,0.5,16,1,1,256,1,0,1,4,overdraw_alu_orthogonal,0,5,0,success,0,
6,overdraw_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_8x1g6c76\run_00006.csv,1,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,256,1,1,0,-1,1,1,0.5,16,1,1,256,1,2,Forward,forward,,,total,0.17178,0.17222,0.17267,0.17221,0.17181,0.17197,0.17245,0.17261,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.17178,0.17222,0.17267,0.17221,0.17181,0.17197,0.17245,0.17261,65536,0,16,2,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,256,1,1,-1.0,1.0,1.0,0.5,16,1,1,256,1,0,2,1,overdraw_alu_orthogonal,0,6,0,success,0,
7,overdraw_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_8x1g6c76\run_00007.csv,2,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,256,1,1,0,-1,1,1,0.5,16,1,1,256,1,2,ForwardPrepass,depth_prepass,forward,,total,0.14509,0.14589,0.14672,0.14587,0.14512,0.14534,0.14643,0.14666,0.16794,0.16829,0.16890,0.16830,0.16803,0.16816,0.16848,0.16858,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.31312,0.31418,0.31520,0.31417,0.31338,0.31363,0.31472,0.31491,65536,0,16,2,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,256,1,1,-1.0,1.0,1.0,0.5,16,1,1,256,1,0,2,2,overdraw_alu_orthogonal,0,7,0,success,0,
8,overdraw_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_8x1g6c76\run_00008.csv,4,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,256,1,1,0,-1,1,1,0.5,16,1,1,256,1,2,VisBuf,visibility,resolve,,total,0.14739,0.14784,0.14842,0.14785,0.14749,0.14758,0.14813,0.14842,0.04960,0.04979,0.05059,0.04979,0.04960,0.04966,0.04992,0.05014,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.19709,0.19763,0.19885,0.19765,0.19722,0.19734,0.19795,0.19830,65536,0,16,2,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,256,1,1,-1.0,1.0,1.0,0.5,16,1,1,256,1,0,2,4,overdraw_alu_orthogonal,0,8,0,success,0,
9,overdraw_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_8x1g6c76\run_00009.csv,1,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,256,1,1,0,-1,1,1,0.5,16,1,1,256,1,4,Forward,forward,,,total,0.18909,0.18963,0.19018,0.18963,0.18915,0.18934,0.18992,0.18995,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.18909,0.18963,0.19018,0.18963,0.18915,0.18934,0.18992,0.18995,65536,0,16,4,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,256,1,1,-1.0,1.0,1.0,0.5,16,1,1,256,1,0,4,1,overdraw_alu_orthogonal,0,9,0,success,0,
