runner_status,runner_experiment,runner_repeat,runner_run_index,runner_result_row,runner_return_code,runner_error,run-id,run-name,run-current-time,output-filepath,renderer-variant,renderer-variant-name,variable,to-use-scene,scene-path,warmup-frames,measure-frames,auto-terminate,window-width,window-height,seed,camera-pos-x,camera-pos-y,camera-pos-z,camera-lookat-x,camera-lookat-y,camera-lookat-z,camera-near-z,camera-far-z,camera-fov,object-count,material-count,geometry-count,overdraw-count,to-remain-only-in-camera,z-min,z-max,xy-minmax,radius,geometry-div,gbuffer-cnt,texture-count,texture-size,texture-sampling-count,alu-calc-count,renderer_name,pass_name_0,pass_name_1,pass_name_2,pass_name_3,pass_0_time_min_ms,pass_0_time_median_ms,pass_0_time_max_ms,pass_0_time_avg_ms,pass_0_time_p01_ms,pass_0_time_p10_ms,pass_0_time_p90_ms,pass_0_time_p99_ms,pass_1_time_min_ms,pass_1_time_median_ms,pass_1_time_max_ms,pass_1_time_avg_ms,pass_1_time_p01_ms,pass_1_time_p10_ms,pass_1_time_p90_ms,pass_1_time_p99_ms,pass_2_time_min_ms,pass_2_time_median_ms,pass_2_time_max_ms,pass_2_time_avg_ms,pass_2_time_p01_ms,pass_2_time_p10_ms,pass_2_time_p90_ms,pass_2_time_p99_ms,pass_3_time_min_ms,pass_3_time_median_ms,pass_3_time_max_ms,pass_3_time_avg_ms,pass_3_time_p01_ms,pass_3_time_p10_ms,pass_3_time_p90_ms,pass_3_time_p99_ms,variable-geometry-count,variable-overdraw-count,variable-waste-quad-count,variable-alu-op-count,param_run_id,param_run_name,param_run_current_time,param_output_filepath,param_renderer_variant_name,param_variable,param_to_use_scene,param_scene_path,param_warmup_frames,param_measure_frames,param_auto_terminate,param_window_width,param_window_height,param_seed,param_camera_pos_x,param_camera_pos_y,param_camera_pos_z,param_camera_lookat_x,param_camera_lookat_y,param_camera_lookat_z,param_camera_near_z,param_camera_far_z,param_camera_fov,param_material_count,param_geometry_count,param_overdraw_count,param_to_remain_only_in_camera,param_z_min,param_z_max,param_xy_minmax,param_radius,param_gbuffer_cnt,param_texture_count,param_texture_size,param_texture_sampling_count,param_geometry_div,param_object_count,param_alu_calc_count,param_renderer_variant
fatal_error,quad_alu_orthogonal,,0,,,TVBPerf executable does not exist or is not a file: D:\project\TVBPerf\out\build\x64-Release\bin\TVBPerf.exe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
success,quad_alu_orthogonal,0,0,0,0,,0,quad_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf__d6f9vyl\run_00000.csv,1,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,1842,1,1,0,1,-1,1,1,0.5,8,1,1,256,1,0,Forward,forward,,,total,0.02528,0.02589,0.02752,0.02594,0.02531,0.02550,0.02643,0.02714,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02528,0.02589,0.02752,0.02594,0.02531,0.02550,0.02643,0.02714,149202,0,8,0,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,1,0,1,-1.0,1.0,1.0,0.5,1,1,256,1,8,1842,0,1
success,quad_alu_orthogonal,0,1,0,0,,1,quad_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf__d6f9vyl\run_00001.csv,2,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,1842,1,1,0,1,-1,1,1,0.5,8,1,1,256,1,0,ForwardPrepass,depth_prepass,forward,,total,0.01824,0.01866,0.01898,0.01865,0.01827,0.01846,0.01888,0.01898,0.02931,0.02947,0.02960,0.02947,0.02931,0.02938,0.02957,0.02960,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04765,0.04813,0.04858,0.04812,0.04771,0.04790,0.04835,0.04851,149202,0,8,0,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,1,0,1,-1.0,1.0,1.0,0.5,1,1,256,1,8,1842,0,2
success,quad_alu_orthogonal,0,2,0,0,,2,quad_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf__d6f9vyl\run_00002.csv,4,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,1842,1,1,0,1,-1,1,1,0.5,8,1,1,256,1,0,VisBuf,visibility,resolve,,total,0.02406,0.02509,0.02621,0.02507,0.02413,0.02454,0.02573,0.02611,0.02592,0.02608,0.02624,0.02607,0.02598,0.02602,0.02614,0.02621,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05005,0.05117,0.05229,0.05115,0.05014,0.05062,0.05178,0.05219,149202,0,8,0,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,1,0,1,-1.0,1.0,1.0,0.5,1,1,256,1,8,1842,0,4
success,quad_alu_orthogonal,0,3,0,0,,3,quad_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf__d6f9vyl\run_00003.csv,1,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,1842,1,1,0,1,-1,1,1,0.5,8,1,1,256,1,1,Forward,forward,,,total,0.02822,0.02970,0.03389,0.02971,0.02829,0.02861,0.03075,0.03315,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02822,0.02970,0.03389,0.02971,0.02829,0.02861,0.03075,0.03315,149202,0,8,1,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,1,0,1,-1.0,1.0,1.0,0.5,1,1,256,1,8,1842,1,1
success,quad_alu_orthogonal,0,4,0,0,,4,quad_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf__d6f9vyl\run_00004.csv,2,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,1842,1,1,0,1,-1,1,1,0.5,8,1,1,256,1,1,ForwardPrepass,depth_prepass,forward,,total,0.01821,0.01875,0.01907,0.01871,0.01824,0.01843,0.01891,0.01904,0.04621,0.04640,0.04678,0.04640,0.04621,0.04630,0.04650,0.04672,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06464,0.06512,0.06566,0.06511,0.06470,0.06480,0.06538,0.06547,149202,0,8,1,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,1,0,1,-1.0,1.0,1.0,0.5,1,1,256,1,8,1842,1,2
success,quad_alu_orthogonal,0,5,0,0,,5,quad_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf__d6f9vyl\run_00005.csv,4,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,1842,1,1,0,1,-1,1,1,0.5,8,1,1,256,1,1,VisBuf,visibility,resolve,,total,0.02390,0.02506,0.02666,0.02512,0.02397,0.02458,0.02579,0.02653,0.04288,0.04310,0.04336,0.04311,0.04294,0.04301,0.04323,0.04333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06691,0.06819,0.06986,0.06823,0.06701,0.06765,0.06890,0.06982,149202,0,8,1,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,1,0,1,-1.0,1.0,1.0,0.5,1,1,256,1,8,1842,1,4
success,quad_alu_orthogonal,0,6,0,0,,6,quad_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf__d6f9vyl\run_00006.csv,1,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,1842,1,1,0,1,-1,1,1,0.5,8,1,1,256,1,2,Forward,forward,,,total,0.03808,0.03872,0.04157,0.03889,0.03818,0.03837,0.03981,0.04112,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03808,0.03872,0.04157,0.03889,0.03818,0.03837,0.03981,0.04112,149202,0,8,2,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,1,0,1,-1.0,1.0,1.0,0.5,1,1,256,1,8,1842,2,1
success,quad_alu_orthogonal,0,7,0,0,,7,quad_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf__d6f9vyl\run_00007.csv,2,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,1842,1,1,0,1,-1,1,1,0.5,8,1,1,256,1,2,ForwardPrepass,depth_prepass,forward,,total,0.01834,0.01882,0.14944,0.02013,0.01837,0.01850,0.01910,0.03536,0.05638,0.05667,0.07008,0.05695,0.05642,0.05654,0.05686,0.06602,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07498,0.07546,0.20634,0.07708,0.07501,0.07510,0.07626,0.09194,149202,0,8,2,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,1,0,1,-1.0,1.0,1.0,0.5,1,1,256,1,8,1842,2,2
success,quad_alu_orthogonal,0,8,0,0,,8,quad_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf__d6f9vyl\run_00008.csv,4,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,1842,1,1,0,1,-1,1,1,0.5,8,1,1,256,1,2,VisBuf,visibility,resolve,,total,0.02416,0.02515,0.02659,0.02517,0.02416,0.02448,0.02586,0.02650,0.04957,0.05008,0.05046,0.05008,0.04973,0.04995,0.05024,0.05040,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07414,0.07523,0.07674,0.07525,0.07421,0.07456,0.07603,0.07658,149202,0,8,2,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,1,0,1,-1.0,1.0,1.0,0.5,1,1,256,1,8,1842,2,4
