frame,total,forward,index_count
0,3.42508,3.42122,6388479.00000
10,3.42523,3.42090,6388479.00000
20,3.37752,3.37355,6388479.00000
30,3.50222,3.49773,6388479.00000
40,3.63238,3.62813,6388479.00000
50,3.75541,3.75065,7620873.90000
60,4.72229,4.71802,7933098.00000
70,4.66259,4.65766,7933098.00000
80,4.96402,4.95906,7933098.00000
90,4.61163,4.60732,7933098.00000
100,4.94026,4.93560,7778540.10000
110,4.51841,4.51450,6388359.00000
120,4.37447,4.37042,6388359.00000
130,4.22226,4.21793,6328608.30000
140,4.14025,4.13595,6278724.00000
150,4.24626,4.24199,6278724.00000
160,3.90826,3.85860,6344505.00000
170,4.05703,4.02235,6548192.40000
180,3.92251,3.91856,6654137.70000
190,4.19431,4.18964,6649594.80000
200,4.68588,4.68138,6279649.20000
210,3.98067,3.95977,6153959.40000
220,4.13288,4.12884,5654925.00000
230,3.91217,3.87863,5715609.00000
240,4.57589,4.57140,6556806.00000
250,4.35478,4.34999,6632634.60000
260,4.55842,4.55401,6632607.00000
270,4.75759,4.72362,6632600.40000
280,4.91517,4.91125,6632592.60000
290,4.27260,4.23785,6632589.00000
300,4.61534,4.61126,6086332.20000
310,4.25137,4.21572,5774538.60000
320,4.46828,4.46398,5711706.00000
330,4.51644,4.51246,5522449.20000
340,4.51548,4.51127,5438616.30000
350,4.12244,4.11838,5419182.00000
360,3.86281,3.85875,5369350.80000
370,3.80372,3.79976,4967546.10000
380,3.46398,3.44240,4898302.80000
390,3.02747,3.02346,4809108.60000
400,3.23361,3.20813,4843965.00000
410,3.26603,3.26182,4857206.70000
420,3.65034,3.64602,4924218.00000
430,3.67124,3.66726,4921590.00000
440,3.34425,3.34004,4919838.00000
450,3.59485,3.59068,4918621.20000
460,2.87162,2.83794,4915782.00000
470,2.76318,2.72881,4915782.00000
480,2.94262,2.93211,4724589.90000
490,2.26829,2.22912,4350555.00000
500,2.70017,2.66314,4561743.60000
510,2.73268,2.72880,4649973.00000
520,2.69650,2.69257,4649973.00000
530,2.77369,2.72549,4649973.00000
540,2.76061,2.72635,4649973.00000
550,2.96893,2.96494,4889201.10000
560,3.14728,3.14285,4808830.80000
570,3.03206,2.99528,4297629.90000
580,3.15164,3.14562,3585789.60000
590,3.11750,3.11289,5050871.70000
600,4.67072,4.66604,7428586.80000
610,4.78333,4.77851,9154439.10000
620,5.07514,5.07042,9521362.20000
630,5.01757,5.01280,9517167.00000
640,5.16540,5.16063,9459631.80000
650,5.24585,5.24144,9421272.60000
660,5.47216,5.46766,10768835.40000
670,5.57711,5.57217,10858999.20000
680,5.39666,5.39198,10858885.50000
690,5.40102,5.39588,10855368.00000
700,5.53391,5.52919,10855368.00000
710,5.69144,5.68655,10855368.00000
720,5.48468,5.48000,10673067.00000
730,5.34346,5.33884,10593060.00000
740,5.24323,5.23814,10404744.00000
750,5.49559,5.49106,10279200.00000
760,5.94633,5.94164,10437937.50000
770,6.28495,6.26032,10766673.60000
780,6.34289,6.33849,10864798.80000
790,6.36777,6.36343,9787313.40000
800,6.44514,6.44036,9664446.60000
810,6.49103,6.48688,9667598.40000
820,6.26127,6.25694,9667593.00000
830,6.76379,6.75947,9667602.00000
840,6.80263,6.79840,9667602.60000
850,7.10204,7.09733,9667603.20000
860,7.17617,7.17011,9667607.40000
870,6.89062,6.88617,10385949.00000
880,7.93562,7.93117,10864839.00000
890,8.51755,8.51263,10864839.00000
900,8.56826,8.56376,10864835.40000
910,9.17083,9.16626,10864828.20000
920,8.01148,8.00700,10864825.20000
930,8.42956,8.42495,10864821.00000
940,8.82686,8.82194,10864821.00000
950,8.70419,8.68266,10864821.00000
960,8.42829,8.42351,10864818.00000
970,8.36908,8.36430,10864786.20000
980,7.60354,7.59892,10864773.00000
990,7.79490,7.78997,10864773.00000
1000,7.49971,7.49481,10625328.60000
1010,6.78278,6.77821,9667551.00000
1020,6.47672,6.47176,9667551.00000
1030,6.17447,6.15841,9667551.00000
1040,5.95406,5.94953,9667551.00000
1050,5.34240,5.33749,10146439.80000
1060,5.50588,5.50095,10864773.00000
1070,5.89450,5.88986,10864773.00000
1080,5.81228,5.80780,10025094.60000
1090,5.64849,5.64403,9329834.40000
1100,5.99880,5.99401,9156234.00000
1110,6.14902,6.14420,9156234.00000
1120,6.43684,6.43214,9156234.00000
1130,6.91280,6.90802,9153888.00000
1140,6.27316,6.26858,8888382.00000
1150,5.45886,5.45456,6681090.00000
1160,5.91122,5.90649,7146947.40000
1170,6.19958,6.19528,9101922.00000
1180,6.28138,6.27694,9097980.00000
1190,6.28477,6.28026,9099990.00000
1200,6.38761,6.38292,9103005.00000
1210,6.68340,6.67866,9103881.00000
1220,6.54374,6.53926,9103005.00000
1230,6.10878,6.10365,9103013.40000
1240,6.53920,6.53454,9103039.20000
1250,6.59050,6.55573,9100531.50000
1260,6.20902,6.20431,9094303.20000
1270,7.17817,7.17360,9091825.20000
1280,7.04825,7.04342,8847516.90000
1290,5.68568,5.68070,8728518.00000
1300,4.49575,4.45953,8236771.20000
1310,5.17930,5.11368,6191688.00000
1320,5.60923,5.55112,6862126.50000
1330,5.42576,5.42127,5573805.00000
1340,5.55982,5.55526,6060954.00000
1350,6.06922,6.06478,6881545.80000
1360,7.91214,7.88832,9634320.90000
1370,7.40102,7.39628,10864779.00000
1380,7.46098,7.45635,10864773.60000
1390,7.76484,7.75992,10864773.00000
1400,8.21536,8.21061,10864774.80000
1410,7.57860,7.57396,10566703.20000
1420,6.79465,6.78987,10592118.60000
1430,7.57140,7.56666,10864791.00000
1440,7.21662,7.21186,10864798.20000
1450,7.33864,7.33374,10864803.00000
1460,7.30323,7.29867,10864803.00000
1470,7.34744,7.34297,10864803.00000
1480,7.70460,7.69985,10864807.80000
1490,7.38018,7.37581,10864813.20000
1500,7.37601,7.37134,10864818.60000
1510,7.44021,7.43559,10864824.00000
1520,7.23124,7.22673,10864827.00000
1530,7.02368,7.01886,10864822.20000
1540,6.38290,6.37818,10864824.00000
1550,6.04138,6.01807,10864827.00000
1560,6.17154,6.16710,10864828.20000
1570,5.69326,5.68897,10869039.60000
1580,5.45498,5.45046,10951032.60000
1590,5.15444,5.15010,10974487.80000
1600,4.88336,4.87880,10974497.40000
1610,4.62355,4.61911,10974504.00000
1620,4.33638,4.33194,10974501.00000
1630,4.05525,4.05094,10974495.00000
1640,4.01724,4.01263,10974492.00000
1650,3.87162,3.86698,10974492.00000
1660,3.75451,3.74991,10974493.80000
1670,3.64261,3.63824,10974916.20000
1680,3.71782,3.71337,11108102.10000
1690,3.46824,3.46346,11241013.20000
1700,3.33306,3.32846,11241018.60000
1710,3.26336,3.25887,11241024.00000
1720,3.16100,3.15652,11241025.80000
1730,2.96924,2.96478,11241037.20000
1740,2.76956,2.76537,11241052.20000
1750,2.50547,2.50118,11241054.00000
1760,2.49786,2.49361,11241054.00000
1770,2.48684,2.48244,11241054.00000
1780,2.38780,2.38318,11241054.00000
1790,2.35174,2.34748,11241054.00000
1800,2.30244,2.29824,11241054.00000
1810,2.35934,2.32544,11241049.80000
1820,2.35679,2.35233,11241039.60000
1830,2.46370,2.45929,11241032.40000
1840,2.53078,2.52635,11241024.00000
1850,2.63983,2.63556,11241018.00000
1860,2.78020,2.77561,11241019.80000
1870,2.94776,2.94348,11241019.80000
1880,3.11760,3.11250,11241012.60000
1890,3.35188,3.34733,11241006.00000
1900,3.53094,3.52634,11241003.00000
1910,3.60595,3.60160,11240994.00000
1920,3.85778,3.85358,11240985.60000
1930,4.04839,4.04365,11240971.20000
1940,4.24607,4.24108,11240961.00000
1950,4.42073,4.41642,11240949.00000
1960,4.50170,4.49747,11240934.60000
1970,4.71086,4.70630,11240930.40000
1980,4.92713,4.92260,11161169.70000
1990,4.97371,4.96918,10974408.00000
2000,5.32052,5.31570,10974408.00000
2010,5.62809,5.62348,10974408.00000
2020,6.18074,6.17547,10974408.00000
2030,6.10158,6.09694,10974408.00000
2040,6.22060,6.21604,10973341.80000
2050,6.36877,6.36397,10972275.60000
2060,6.81018,6.80575,10974408.00000
2070,7.00852,7.00372,10846963.80000
2080,6.43107,6.42609,10364410.50000
2090,5.56842,5.56384,10054158.00000
2100,6.01520,6.01038,10013727.00000
2110,6.61110,6.60634,10195232.40000
2120,7.23262,7.20819,10491190.80000
2130,7.84936,7.84429,10491226.80000
2140,8.29889,8.24795,10606616.40000
2150,8.04010,8.03531,10839546.30000
2160,7.13754,7.02670,10082360.10000
2170,6.14602,6.14133,7223112.00000
2180,6.19544,6.15698,6549874.20000
2190,6.63742,6.63254,6266152.50000
2200,4.15875,4.15446,5132634.90000
2210,1.94396,1.93982,3836330.40000
2220,0.80158,0.79762,3796645.80000
2230,0.27053,0.26652,2713873.80000
2240,0.10747,0.10353,1232427.90000
2250,0.02710,0.02316,384978.60000
2260,0.06207,0.05817,521978.40000
2270,0.32772,0.32382,2713873.80000
2280,0.21925,0.21534,1252506.00000
2290,0.13410,0.13024,1252506.00000
2300,0.02817,0.02420,130779.00000
2310,0.01004,0.00606,0.00000
2320,0.01036,0.00625,0.00000
2330,0.00995,0.00595,0.00000
2340,0.01004,0.00598,0.00000
2350,0.01044,0.00594,0.00000
2360,0.01003,0.00594,0.00000
2370,0.01002,0.00609,0.00000
2380,0.01018,0.00611,0.00000
2390,0.01064,0.00622,0.00000
