frame,total,geometry,lighting,index_count
0,0.89977,0.87346,0.01886,6388479.00000
10,0.95524,0.92876,0.01909,6388479.00000
20,0.95867,0.93206,0.01934,6388479.00000
30,0.97176,0.94475,0.01969,6388479.00000
40,0.96140,0.93385,0.02030,6388479.00000
50,1.05179,1.02221,0.02211,7620873.90000
60,1.22267,1.18989,0.02507,7933098.00000
70,1.23102,1.19670,0.02676,7933098.00000
80,1.21762,1.18383,0.02646,7933098.00000
90,1.22817,1.19527,0.02519,7933098.00000
100,1.31205,1.28174,0.02320,7778540.10000
110,1.14986,1.12002,0.02244,6388359.00000
120,1.09760,1.06736,0.02302,6388359.00000
130,1.12619,1.09636,0.02256,6328608.30000
140,1.14956,1.11945,0.02254,6278724.00000
150,1.15224,1.12210,0.02300,6278724.00000
160,1.08824,1.05836,0.02240,6344505.00000
170,1.07468,1.04562,0.02157,6548192.40000
180,1.06125,1.03155,0.02256,6654137.70000
190,1.15304,1.12278,0.02279,6649594.80000
200,1.21184,1.18156,0.02309,6279649.20000
210,1.17710,1.12959,0.02309,6153959.40000
220,1.17594,1.14576,0.02285,5654925.00000
230,1.24630,1.21916,0.01987,5715609.00000
240,1.20526,1.17558,0.02211,6556806.00000
250,1.15974,1.12871,0.02348,6632634.60000
260,1.21516,1.18683,0.02095,6632607.00000
270,1.22452,1.19578,0.02130,6632600.40000
280,1.23413,1.20395,0.02273,6632592.60000
290,1.17805,1.14821,0.02315,6632589.00000
300,1.13576,1.11048,0.01781,6086332.20000
310,1.12016,1.09575,0.01712,5774538.60000
320,1.21251,1.18720,0.01769,5711706.00000
330,1.19193,1.16620,0.01838,5522449.20000
340,1.24836,1.20445,0.01904,5438616.30000
350,1.14420,1.11105,0.01954,5419182.00000
360,1.16651,1.12646,0.01922,5369350.80000
370,1.09303,1.06414,0.02054,4967546.10000
380,0.99930,0.97170,0.01913,4898302.80000
390,0.89353,0.86769,0.01809,4809108.60000
400,0.92211,0.89692,0.01730,4843965.00000
410,0.93799,0.91353,0.01762,4857206.70000
420,1.04701,1.01422,0.02418,4924218.00000
430,1.04798,1.01889,0.02165,4921590.00000
440,0.91177,0.86705,0.01971,4919838.00000
450,0.84616,0.81904,0.01964,4918621.20000
460,0.82844,0.80144,0.01864,4915782.00000
470,0.84170,0.81541,0.01904,4915782.00000
480,0.87259,0.84661,0.01866,4724589.90000
490,0.69410,0.66848,0.01806,4350555.00000
500,0.82513,0.79949,0.01848,4561743.60000
510,0.76343,0.73754,0.01862,4649973.00000
520,0.76310,0.73718,0.01857,4649973.00000
530,0.77929,0.75301,0.01865,4649973.00000
540,0.80754,0.78137,0.01885,4649973.00000
550,0.85040,0.82404,0.01884,4889201.10000
560,0.86792,0.84208,0.01856,4808830.80000
570,0.85170,0.82684,0.01767,4297629.90000
580,0.88778,0.86385,0.01697,3585789.60000
590,0.89166,0.86683,0.01804,5050871.70000
600,1.29966,1.26979,0.02213,7428586.80000
