frame,total,visibility,gbuffer,lighting,index_count
0,1.40727,0.18710,1.19293,0.01675,6388479.00000
10,1.46506,0.18822,1.24938,0.01693,6388479.00000
20,1.53296,0.18930,1.31688,0.01728,6388479.00000
30,1.61535,0.18962,1.39026,0.01762,6388479.00000
40,1.69384,0.19251,1.47292,0.01794,6388479.00000
50,1.84046,0.22756,1.55939,0.01905,7620873.90000
60,2.03293,0.24118,1.73530,0.02350,7933098.00000
70,2.10775,0.24309,1.80784,0.02572,7933098.00000
80,2.12884,0.24200,1.80757,0.02670,7933098.00000
90,2.08313,0.24184,1.80735,0.02354,7933098.00000
100,2.11623,0.24007,1.80711,0.02650,7778540.10000
110,2.03969,0.19880,1.80707,0.02374,6388359.00000
120,2.04137,0.19978,1.80749,0.02362,6388359.00000
130,2.04378,0.19672,1.81348,0.02302,6328608.30000
140,2.04373,0.19696,1.81357,0.02322,6278724.00000
150,2.04206,0.19569,1.81346,0.02330,6278724.00000
160,2.04030,0.19405,1.81348,0.02268,6344505.00000
170,2.05090,0.20136,1.81333,0.02567,6548192.40000
180,2.05283,0.20469,1.81340,0.02448,6654137.70000
190,2.08944,0.20394,1.81349,0.02569,6649594.80000
200,2.03904,0.19216,1.81342,0.02208,6279649.20000
210,2.03872,0.18817,1.81776,0.02187,6153959.40000
220,2.04154,0.17792,1.83228,0.02124,5654925.00000
230,2.03974,0.17570,1.83190,0.02078,5715609.00000
240,2.06856,0.20405,1.83188,0.02092,6556806.00000
250,2.06412,0.20114,1.83174,0.02089,6632634.60000
260,2.07511,0.20269,1.81753,0.02075,6632607.00000
270,2.08204,0.20319,1.81320,0.02028,6632600.40000
280,2.08502,0.20451,1.84850,0.02138,6632592.60000
290,2.08718,0.20120,1.81346,0.02179,6632589.00000
300,2.07889,0.19356,1.81324,0.02037,6086332.20000
310,2.02684,0.18480,1.81232,0.01875,5774538.60000
320,2.02282,0.18202,1.81240,0.01838,5711706.00000
330,2.06025,0.18189,1.81234,0.02251,5522449.20000
340,2.01956,0.17710,1.81231,0.02028,5438616.30000
350,2.01692,0.17324,1.81225,0.02167,5419182.00000
360,2.05004,0.17086,1.81222,0.05650,5369350.80000
370,2.00596,0.15527,1.81233,0.02629,4967546.10000
380,1.99826,0.15067,1.81233,0.02559,4898302.80000
390,2.03088,0.15188,1.81235,0.02330,4809108.60000
400,1.99518,0.15180,1.81236,0.02055,4843965.00000
410,1.99978,0.15570,1.81258,0.02103,4857206.70000
420,2.00021,0.15217,1.81256,0.02538,4924218.00000
430,2.02612,0.15000,1.81245,0.02366,4921590.00000
440,1.99246,0.14931,1.81251,0.02084,4919838.00000
450,1.99142,0.14760,1.81287,0.02127,4918621.20000
460,1.99105,0.14689,1.81306,0.02114,4915782.00000
470,1.99063,0.14678,1.81243,0.02166,4915782.00000
480,1.98871,0.14465,1.81247,0.02152,4724589.90000
490,1.97378,0.13050,1.81272,0.02066,4350555.00000
500,1.97985,0.13669,1.81278,0.02078,4561743.60000
510,1.98374,0.14069,1.81262,0.02075,4649973.00000
520,1.98297,0.14045,1.81238,0.02043,4649973.00000
530,1.98211,0.13910,1.81289,0.02043,4649973.00000
540,1.98287,0.13985,1.81272,0.02028,4649973.00000
550,2.01988,0.14606,1.81260,0.02088,4889201.10000
560,1.99379,0.14957,1.81248,0.02138,4808830.80000
570,1.98906,0.14492,1.81236,0.02063,4297629.90000
580,1.96231,0.12075,1.81220,0.01958,3585789.60000
590,1.99752,0.15248,1.81260,0.02071,5050871.70000
600,2.06590,0.22222,1.81251,0.02117,7428586.80000
610,2.12316,0.27673,1.81246,0.02235,9154439.10000
620,2.14531,0.29715,1.81286,0.02338,9521362.20000
630,2.14392,0.29456,1.81290,0.02598,9517167.00000
640,2.14494,0.29349,1.81275,0.02779,9459631.80000
650,2.22669,0.29557,1.81248,0.03173,9421272.60000
660,2.18496,0.33019,1.81248,0.03173,10768835.40000
670,2.25565,0.33705,1.81262,0.03645,10858999.20000
680,2.23622,0.33886,1.81249,0.03355,10858885.50000
690,2.23638,0.33824,1.85626,0.03138,10855368.00000
700,2.17785,0.33931,1.77672,0.03052,10855368.00000
710,2.14789,0.34154,1.76594,0.03016,10855368.00000
720,2.16799,0.33960,1.75187,0.03180,10673067.00000
730,2.08846,0.33714,1.71338,0.02745,10593060.00000
740,2.05921,0.33108,1.69076,0.02646,10404744.00000
750,2.07358,0.32856,1.70734,0.02695,10279200.00000
760,2.13567,0.33300,1.75808,0.02992,10437937.50000
770,2.23303,0.34438,1.80801,0.03607,10766673.60000
780,2.20825,0.34989,1.81260,0.03540,10864798.80000
790,2.21832,0.32211,1.81256,0.03705,9787313.40000
800,2.17469,0.31792,1.81278,0.03375,9664446.60000
810,2.17172,0.31669,1.81248,0.03207,9667598.40000
820,2.20585,0.31669,1.81249,0.03438,9667593.00000
830,2.17164,0.31934,1.81240,0.02922,9667602.00000
840,2.17097,0.32169,1.81237,0.02682,9667602.60000
850,2.17531,0.32638,1.81241,0.02629,9667603.20000
860,2.17725,0.32800,1.81256,0.02622,9667607.40000
870,2.24050,0.35960,1.81247,0.02742,10385949.00000
880,2.20851,0.36494,1.81237,0.02102,10864839.00000
890,2.25240,0.36880,1.81242,0.02546,10864839.00000
900,2.21568,0.37050,1.81257,0.02187,10864835.40000
910,2.21504,0.36807,1.80928,0.02808,10864828.20000
920,2.16954,0.35922,1.76882,0.02940,10864825.20000
930,2.15701,0.35778,1.75626,0.03018,10864821.00000
940,2.17583,0.35712,1.77896,0.02930,10864821.00000
950,2.18847,0.35702,1.79221,0.02922,10864821.00000
960,2.20032,0.35465,1.80734,0.02858,10864818.00000
970,2.20158,0.35104,1.81279,0.02729,10864786.20000
980,2.18634,0.34292,1.80700,0.02535,10864773.00000
990,2.24486,0.34773,1.81250,0.02748,10864773.00000
1000,2.19246,0.34589,1.81262,0.02242,10625328.60000
1010,2.16173,0.31554,1.81242,0.02352,9667551.00000
1020,2.18653,0.31043,1.81242,0.02459,9667551.00000
1030,2.15126,0.30439,1.81246,0.02395,9667551.00000
1040,2.18941,0.30531,1.81259,0.02746,9667551.00000
1050,2.21105,0.31116,1.81268,0.02595,10146439.80000
1060,2.30005,0.33622,1.81276,0.02908,10864773.00000
1070,2.21216,0.34257,1.81242,0.02907,10864773.00000
1080,2.18896,0.32000,1.81238,0.02787,10025094.60000
1090,2.13685,0.29010,1.81248,0.02314,9329834.40000
1100,2.13507,0.28888,1.81240,0.02337,9156234.00000
1110,2.20039,0.28699,1.87703,0.02560,9156234.00000
1120,2.13208,0.28612,1.81244,0.02308,9156234.00000
1130,2.15207,0.28601,1.81245,0.02355,9153888.00000
1140,2.11799,0.27117,1.81241,0.02115,8888382.00000
1150,2.06430,0.21863,1.81221,0.02160,6681090.00000
1160,2.05842,0.21540,1.81238,0.02078,7146947.40000
1170,2.13182,0.28732,1.81228,0.02219,9101922.00000
1180,2.12254,0.27832,1.81226,0.02173,9097980.00000
1190,2.15854,0.27800,1.81246,0.02550,9099990.00000
1200,2.12589,0.28194,1.81230,0.02076,9103005.00000
1210,2.12192,0.27812,1.81247,0.02075,9103881.00000
1220,2.12093,0.27654,1.81248,0.02121,9103005.00000
1230,2.12026,0.27461,1.81263,0.02176,9103013.40000
