frame,total,visibility,gbuffer,lighting,index_count
0,0.29233,0.18799,0.07721,0.01712,6388479.00000
10,0.29454,0.18877,0.07890,0.01716,6388479.00000
20,0.30263,0.19378,0.08132,0.01764,6388479.00000
30,0.30148,0.19083,0.08315,0.01800,6388479.00000
40,0.30540,0.19188,0.08572,0.01830,6388479.00000
50,0.34274,0.22552,0.08854,0.01900,7620873.90000
60,0.36931,0.24100,0.09636,0.02206,7933098.00000
70,0.37722,0.24299,0.10029,0.02366,7933098.00000
80,0.37475,0.24117,0.10011,0.02344,7933098.00000
90,0.37457,0.24187,0.09957,0.02270,7933098.00000
100,0.36885,0.23922,0.09857,0.02096,7778540.10000
110,0.32764,0.19762,0.09883,0.02169,6388359.00000
120,0.32724,0.19748,0.09875,0.02153,6388359.00000
130,0.32647,0.19692,0.09888,0.02123,6328608.30000
140,0.32368,0.19439,0.09876,0.02108,6278724.00000
150,0.32258,0.19348,0.09868,0.02108,6278724.00000
160,0.32235,0.19282,0.09896,0.02089,6344505.00000
170,0.33044,0.19877,0.09926,0.02251,6548192.40000
180,0.33656,0.20372,0.09962,0.02309,6654137.70000
190,0.33351,0.20252,0.09932,0.02194,6649594.80000
200,0.31812,0.18964,0.09877,0.02013,6279649.20000
210,0.31485,0.18664,0.09873,0.01986,6153959.40000
220,0.30447,0.17599,0.09880,0.01976,5654925.00000
230,0.29970,0.17273,0.09832,0.01907,5715609.00000
240,0.32890,0.20178,0.09824,0.01919,6556806.00000
250,0.32599,0.19846,0.09826,0.01983,6632634.60000
260,0.32831,0.20164,0.09796,0.01920,6632607.00000
270,0.32769,0.20194,0.09764,0.01870,6632600.40000
280,0.32866,0.20174,0.09825,0.01917,6632592.60000
290,0.32582,0.19910,0.09802,0.01902,6632589.00000
300,0.31826,0.19108,0.09731,0.01846,6086332.20000
310,0.30686,0.18242,0.09697,0.01788,5774538.60000
320,0.30185,0.17837,0.09676,0.01734,5711706.00000
330,0.30263,0.17798,0.09735,0.01772,5522449.20000
340,0.30004,0.17413,0.09777,0.01842,5438616.30000
350,0.29722,0.17057,0.09772,0.01894,5419182.00000
360,0.29445,0.16773,0.09785,0.01905,5369350.80000
370,0.28637,0.15518,0.09916,0.02233,4967546.10000
380,0.28129,0.15122,0.09867,0.02168,4898302.80000
390,0.27878,0.15106,0.09792,0.01972,4809108.60000
400,0.27459,0.14913,0.09762,0.01821,4843965.00000
410,0.28269,0.15346,0.09827,0.01907,4857206.70000
420,0.28366,0.15169,0.09913,0.02285,4924218.00000
430,0.28103,0.14948,0.09909,0.02257,4921590.00000
440,0.27706,0.14903,0.09832,0.02015,4919838.00000
450,0.27432,0.14631,0.09790,0.02029,4918621.20000
460,0.27254,0.14522,0.09766,0.01995,4915782.00000
470,0.27225,0.14527,0.09758,0.02003,4915782.00000
480,0.26948,0.14248,0.09765,0.01982,4724589.90000
490,0.25636,0.12961,0.09734,0.01974,4350555.00000
500,0.26216,0.13536,0.09746,0.01982,4561743.60000
510,0.26623,0.13922,0.09761,0.02000,4649973.00000
520,0.26689,0.13976,0.09787,0.01977,4649973.00000
530,0.26562,0.13876,0.09780,0.01958,4649973.00000
540,0.26617,0.13919,0.09786,0.01944,4649973.00000
550,0.27205,0.14498,0.09778,0.01989,4889201.10000
560,0.27615,0.14819,0.09766,0.01924,4808830.80000
570,0.26743,0.14199,0.09742,0.01850,4297629.90000
580,0.24426,0.11902,0.09719,0.01856,3585789.60000
590,0.27714,0.15036,0.09799,0.01911,5050871.70000
600,0.34886,0.22032,0.09847,0.02039,7428586.80000
610,0.40788,0.27550,0.10054,0.02185,9154439.10000
620,0.43194,0.29604,0.10255,0.02304,9521362.20000
630,0.43340,0.29444,0.10345,0.02540,9517167.00000
640,0.43415,0.29272,0.10329,0.02777,9459631.80000
650,0.43640,0.29304,0.10395,0.02907,9421272.60000
660,0.47586,0.32998,0.10471,0.03072,10768835.40000
670,0.48326,0.33586,0.10524,0.03172,10858999.20000
680,0.48350,0.33724,0.10522,0.03055,10858885.50000
690,0.48106,0.33752,0.10325,0.02936,10855368.00000
700,0.47999,0.33815,0.10266,0.02878,10855368.00000
710,0.48063,0.33900,0.10228,0.02854,10855368.00000
720,0.47775,0.33791,0.10121,0.02798,10673067.00000
730,0.47072,0.33474,0.09904,0.02664,10593060.00000
740,0.46346,0.32996,0.09728,0.02582,10404744.00000
750,0.46145,0.32670,0.09849,0.02614,10279200.00000
760,0.47096,0.33145,0.10138,0.02811,10437937.50000
770,0.49408,0.34465,0.10624,0.03239,10766673.60000
780,0.49826,0.34802,0.10690,0.03307,10864798.80000
790,0.46853,0.31902,0.10688,0.03238,9787313.40000
800,0.46340,0.31594,0.10578,0.03152,9664446.60000
810,0.46064,0.31547,0.10464,0.03038,9667598.40000
820,0.45908,0.31410,0.10452,0.03073,9667593.00000
830,0.45829,0.31653,0.10342,0.02824,9667602.00000
840,0.45820,0.31946,0.10273,0.02606,9667602.60000
850,0.46271,0.32470,0.10254,0.02570,9667603.20000
860,0.46398,0.32712,0.10199,0.02508,9667607.40000
870,0.47236,0.33948,0.10071,0.02354,10385949.00000
880,0.49200,0.36422,0.09704,0.02078,10864839.00000
890,0.49473,0.36684,0.09729,0.02067,10864839.00000
900,0.49992,0.36970,0.09763,0.02213,10864835.40000
910,0.50320,0.36630,0.10098,0.02632,10864828.20000
920,0.49599,0.35754,0.10014,0.02846,10864825.20000
930,0.49505,0.35642,0.09994,0.02882,10864821.00000
940,0.49528,0.35578,0.10082,0.02882,10864821.00000
950,0.49596,0.35567,0.10130,0.02866,10864821.00000
960,0.49367,0.35405,0.10190,0.02750,10864818.00000
970,0.48746,0.35036,0.10202,0.02473,10864786.20000
980,0.47670,0.34236,0.10106,0.02303,10864773.00000
990,0.47904,0.34641,0.10101,0.02203,10864773.00000
1000,0.47513,0.34397,0.10047,0.02054,10625328.60000
1010,0.44540,0.31377,0.10034,0.02139,9667551.00000
1020,0.44194,0.30871,0.10110,0.02210,9667551.00000
1030,0.43662,0.30318,0.10122,0.02218,9667551.00000
1040,0.43719,0.30348,0.10090,0.02242,9667551.00000
1050,0.44353,0.30862,0.10177,0.02272,10146439.80000
1060,0.47190,0.33566,0.10229,0.02341,10864773.00000
1070,0.48016,0.34096,0.10315,0.02542,10864773.00000
1080,0.45598,0.31817,0.10266,0.02467,10025094.60000
1090,0.42087,0.28908,0.10039,0.02158,9329834.40000
1100,0.41965,0.28681,0.10041,0.02203,9156234.00000
1110,0.41696,0.28508,0.10024,0.02148,9156234.00000
1120,0.41694,0.28542,0.09979,0.02144,9156234.00000
1130,0.41535,0.28482,0.09938,0.02097,9153888.00000
1140,0.39966,0.27047,0.09881,0.02011,8888382.00000
1150,0.34371,0.21584,0.09878,0.01965,6681090.00000
1160,0.34195,0.21356,0.09906,0.01936,7146947.40000
1170,0.41416,0.28459,0.09936,0.02015,9101922.00000
1180,0.40790,0.27766,0.09949,0.02054,9097980.00000
1190,0.40657,0.27632,0.09954,0.02036,9099990.00000
1200,0.40901,0.27938,0.09944,0.01993,9103005.00000
1210,0.40807,0.27814,0.09964,0.02009,9103881.00000
1220,0.40492,0.27456,0.09957,0.02057,9103005.00000
1230,0.40212,0.27258,0.09929,0.02016,9103013.40000
1240,0.40852,0.27975,0.09852,0.02000,9103039.20000
1250,0.40851,0.27891,0.09882,0.02073,9100531.50000
1260,0.39890,0.27001,0.09908,0.01976,9094303.20000
1270,0.39724,0.26884,0.09875,0.01935,9091825.20000
1280,0.39318,0.26566,0.09795,0.01922,8847516.90000
1290,0.38643,0.26067,0.09699,0.01894,8728518.00000
1300,0.37555,0.24996,0.09728,0.01793,8236771.20000
1310,0.30531,0.18148,0.09701,0.01732,6191688.00000
1320,0.32842,0.20378,0.09690,0.01785,6862126.50000
1330,0.30752,0.18302,0.09697,0.01758,5573805.00000
1340,0.31486,0.19174,0.09632,0.01705,6060954.00000
1350,0.35080,0.22669,0.09673,0.01782,6881545.80000
1360,0.42941,0.30254,0.09814,0.01894,9634320.90000
1370,0.47419,0.34454,0.09944,0.01988,10864779.00000
1380,0.47376,0.34318,0.09992,0.02057,10864773.60000
1390,0.47552,0.34223,0.10088,0.02226,10864773.00000
1400,0.47821,0.34248,0.10111,0.02433,10864774.80000
1410,0.44646,0.32474,0.08995,0.02158,10566703.20000
1420,0.43300,0.32113,0.08140,0.01954,10592118.60000
1430,0.46593,0.34061,0.09138,0.02344,10864791.00000
1440,0.46768,0.34317,0.09073,0.02364,10864798.20000
1450,0.47240,0.34588,0.09101,0.02432,10864803.00000
1460,0.47722,0.34832,0.09337,0.02542,10864803.00000
1470,0.48148,0.35020,0.09397,0.02631,10864803.00000
1480,0.48456,0.35229,0.09524,0.02673,10864807.80000
1490,0.48690,0.35403,0.09556,0.02712,10864813.20000
1500,0.49164,0.35913,0.09544,0.02702,10864818.60000
1510,0.48984,0.36016,0.09430,0.02541,10864824.00000
1520,0.49044,0.36370,0.09240,0.02404,10864827.00000
1530,0.47874,0.35926,0.08747,0.02190,10864822.20000
1540,0.47234,0.35820,0.08296,0.02084,10864824.00000
1550,0.47266,0.35954,0.08244,0.02063,10864827.00000
1560,0.47602,0.36232,0.08288,0.02028,10864828.20000
1570,0.47536,0.36208,0.08318,0.02006,10869039.60000
1580,0.47857,0.36390,0.08446,0.02013,10951032.60000
1590,0.48171,0.36527,0.08609,0.02048,10974487.80000
1600,0.48072,0.36467,0.08629,0.01996,10974497.40000
1610,0.47606,0.36268,0.08380,0.01951,10974504.00000
1620,0.47074,0.36018,0.08140,0.01923,10974501.00000
1630,0.46714,0.35958,0.07898,0.01887,10974495.00000
1640,0.46356,0.35794,0.07760,0.01843,10974492.00000
1650,0.46368,0.35817,0.07752,0.01828,10974492.00000
1660,0.46223,0.35779,0.07624,0.01834,10974493.80000
1670,0.46094,0.35774,0.07529,0.01822,10974916.20000
1680,0.46357,0.36112,0.07453,0.01824,11108102.10000
1690,0.46514,0.36458,0.07256,0.01801,11241013.20000
1700,0.46212,0.36397,0.07032,0.01776,11241018.60000
1710,0.45950,0.36329,0.06849,0.01785,11241024.00000
1720,0.45618,0.36239,0.06628,0.01768,11241025.80000
1730,0.45358,0.36171,0.06470,0.01752,11241037.20000
1740,0.44837,0.35940,0.06207,0.01726,11241052.20000
1750,0.44520,0.35823,0.06023,0.01688,11241054.00000
1760,0.44494,0.35878,0.05956,0.01678,11241054.00000
1770,0.44447,0.35901,0.05919,0.01650,11241054.00000
1780,0.44325,0.35862,0.05856,0.01634,11241054.00000
1790,0.44199,0.35852,0.05748,0.01627,11241054.00000
1800,0.44071,0.35811,0.05644,0.01620,11241054.00000
1810,0.43945,0.35777,0.05583,0.01619,11241049.80000
1820,0.43980,0.35770,0.05597,0.01631,11241039.60000
1830,0.44036,0.35731,0.05685,0.01636,11241032.40000
1840,0.44166,0.35754,0.05765,0.01674,11241024.00000
1850,0.44850,0.36266,0.05905,0.01685,11241018.00000
1860,0.44721,0.35964,0.06066,0.01697,11241019.80000
1870,0.45014,0.36059,0.06279,0.01685,11241019.80000
1880,0.45454,0.36296,0.06446,0.01731,11241012.60000
1890,0.45635,0.36310,0.06597,0.01727,11241006.00000
1900,0.46034,0.36538,0.06759,0.01744,11241003.00000
1910,0.46228,0.36588,0.06929,0.01760,11240994.00000
1920,0.46478,0.36609,0.07139,0.01777,11240985.60000
1930,0.46932,0.36778,0.07378,0.01799,11240971.20000
1940,0.47346,0.36901,0.07616,0.01817,11240961.00000
1950,0.47590,0.36930,0.07855,0.01830,11240949.00000
1960,0.47984,0.37106,0.08099,0.01848,11240934.60000
1970,0.48199,0.37058,0.08328,0.01842,11240930.40000
1980,0.48413,0.36919,0.08579,0.01920,11161169.70000
1990,0.47310,0.36104,0.08340,0.01890,10974408.00000
2000,0.46907,0.35928,0.08100,0.01868,10974408.00000
2010,0.47276,0.36172,0.08240,0.01876,10974408.00000
2020,0.47559,0.36207,0.08454,0.01896,10974408.00000
2030,0.47261,0.35925,0.08434,0.01888,10974408.00000
2040,0.46506,0.35486,0.08198,0.01843,10973341.80000
2050,0.46393,0.35277,0.08278,0.01855,10972275.60000
2060,0.47543,0.35712,0.08842,0.02010,10974408.00000
2070,0.47514,0.35313,0.09152,0.02043,10846963.80000
2080,0.44167,0.32651,0.08586,0.01900,10364410.50000
2090,0.41305,0.30408,0.08122,0.01792,10054158.00000
2100,0.40990,0.30045,0.08182,0.01765,10013727.00000
2110,0.42732,0.31001,0.08838,0.01895,10195232.40000
2120,0.46222,0.33204,0.09842,0.02216,10491190.80000
2130,0.46900,0.33611,0.09952,0.02326,10491226.80000
2140,0.47465,0.34100,0.09925,0.02429,10606616.40000
2150,0.47675,0.34390,0.09836,0.02420,10839546.30000
2160,0.45023,0.33031,0.08988,0.02018,10082360.10000
2170,0.33426,0.22824,0.07844,0.01781,7223112.00000
2180,0.32416,0.21546,0.08070,0.01802,6549874.20000
2190,0.31682,0.20679,0.08187,0.01806,6266152.50000
2200,0.26206,0.16511,0.06956,0.01783,5132634.90000
2210,0.17896,0.10276,0.05175,0.01494,3836330.40000
2220,0.15876,0.08900,0.04466,0.01419,3796645.80000
2230,0.13574,0.07007,0.04146,0.01417,2713873.80000
2240,0.09346,0.02926,0.04012,0.01420,1232427.90000
2250,0.07711,0.01320,0.04009,0.01420,384978.60000
2260,0.07467,0.01068,0.04021,0.01425,521978.40000
2270,0.12824,0.06378,0.04029,0.01420,2713873.80000
2280,0.09465,0.03030,0.04032,0.01419,1252506.00000
2290,0.09414,0.02988,0.04020,0.01421,1252506.00000
2300,0.07160,0.00746,0.04014,0.01421,130779.00000
2310,0.06812,0.00384,0.04013,0.01425,0.00000
2320,0.06830,0.00384,0.04012,0.01422,0.00000
2330,0.06803,0.00389,0.04014,0.01422,0.00000
