config,expected_runs,successful_runs,salvaged_runs,failed_runs,skipped_runs,status
00_renderer_fairness_smoke.json,4,4,0,0,0,completed
01_synth_decoupling_smoke.json,6,6,0,0,0,completed
02_synth_material_count_same_class_dense.json,78,78,0,0,0,completed
03_synth_class_count_fixed_materials_dense.json,78,78,0,0,0,completed
04_synth_locality_dense.json,78,78,0,0,0,completed
05_synth_diversity_dense.json,156,156,0,0,0,completed
06_synth_locality_diversity_phase_dense.json,324,324,0,0,0,completed
07_synth_material_class_matrix.json,180,180,0,0,0,completed
08_synth_workload_scaling_dense.json,108,108,0,0,0,completed
09_synth_resolution_scaling_dense.json,42,42,0,0,0,completed
10_synth_seed_robustness_dense.json,40,40,0,0,0,completed
11_synth_linear_gbuffer_control.json,48,48,0,0,0,completed
12_real_class_count_dense.json,42,42,0,0,0,completed
13_real_diversity_dense.json,78,78,0,0,0,completed
14_real_full_camera_linear_control.json,12,12,0,0,0,completed
15_real_texture_vfc_ablation.json,24,24,0,0,0,completed
16_real_software_raster_reference.json,3,3,0,0,0,completed
