param_geometry_div,param_material_assign_locality,DeferredPrepass,VisBuf,deferred_over_visbuf,visbuf_percent_faster
16,0.0,0.196365,0.362985,0.5409727674697302,-45.90272325302698
16,0.5,0.196215,0.362265,0.5416338867955778,-45.83661132044222
16,1.0,0.204125,0.36268999999999996,0.5628084590145855,-43.719154098541445
24,0.0,0.20938,0.365645,0.5726319244075538,-42.73680755924462
24,0.5,0.20749,0.36473,0.5688865736298083,-43.11134263701917
24,1.0,0.199345,0.362325,0.5501828468916028,-44.98171531083972
32,0.0,0.21673,0.37034,0.5852189879570124,-41.47810120429875
32,0.5,0.21719,0.37070000000000003,0.5858915565147018,-41.41084434852982
32,1.0,0.21576,0.36788,0.5864955963901273,-41.35044036098727
48,0.0,0.22116999999999998,0.375965,0.5882728445466998,-41.17271554533002
48,0.5,0.22012500000000002,0.373785,0.588908062121273,-41.1091937878727
48,1.0,0.20963,0.365935,0.5728613005041879,-42.71386994958121
64,0.0,0.23304,0.383695,0.6073574062732118,-39.26425937267882
64,0.5,0.22945500000000002,0.379425,0.6047440205574225,-39.525597944257754
64,1.0,0.222615,0.37256,0.5975279149667168,-40.247208503328324
96,0.0,0.26003,0.397865,0.6535633946187777,-34.643660538122234
96,0.5,0.25112,0.38679,0.6492411903099873,-35.075880969001275
96,1.0,0.232475,0.37296,0.623324217074217,-37.6675782925783
128,0.0,0.291825,0.42214,0.691299095086938,-30.8700904913062
128,0.5,0.2794,0.406095,0.6880163508538643,-31.198364914613574
128,1.0,0.25261,0.39175499999999996,0.6448162754782965,-35.518372452170354
192,0.0,0.373675,0.47712,0.7831887156270959,-21.681128437290408
192,0.5,0.332145,0.4363,0.7612766445106578,-23.87233554893422
192,1.0,0.27749999999999997,0.38566500000000004,0.719536385204776,-28.046361479522396
256,0.0,0.49433499999999997,0.539695,0.9159525287430863,-8.404747125691369
256,0.5,0.400355,0.49419,0.8101236366579656,-18.98763633420344
256,1.0,0.30358,0.40481500000000004,0.7499228042439139,-25.00771957560861
