param_geometry_div,param_material_assign_locality,renderer,mean,std,count,sem
16,0.0,DeferredPrepass,0.196365,0.00028991378028648987,2,0.0002050000000000038
16,0.0,VisBuf,0.362985,0.0015344217151748117,2,0.0010850000000000024
16,0.5,DeferredPrepass,0.196215,0.0003181980515339506,2,0.00022500000000000298
16,0.5,VisBuf,0.362265,0.0002899137802864997,2,0.00020500000000001073
16,1.0,DeferredPrepass,0.204125,0.00040305086527634267,2,0.00028500000000000747
16,1.0,VisBuf,0.36268999999999996,0.00018384776310850957,2,0.00013000000000000508
24,0.0,DeferredPrepass,0.20938,1.4142135623735281e-05,2,1.0000000000003062e-05
24,0.0,VisBuf,0.365645,0.00033234018715765643,2,0.0002349999999999852
24,0.5,DeferredPrepass,0.20749,0.00018384776310851939,2,0.00013000000000001202
24,0.5,VisBuf,0.36473,0.00076367532368145,2,0.0005399999999999849
24,1.0,DeferredPrepass,0.199345,0.0003040559159102055,2,0.00021499999999999295
24,1.0,VisBuf,0.362325,0.0010677312395916947,2,0.0007550000000000056
32,0.0,DeferredPrepass,0.21673,0.00031112698372207803,2,0.00021999999999999795
32,0.0,VisBuf,0.37034,0.00015556349186103901,2,0.00010999999999999897
32,0.5,DeferredPrepass,0.21719,0.00014142135623732336,2,0.00010000000000000979
32,0.5,VisBuf,0.37070000000000003,0.0005374011537018229,2,0.0003800000000000331
32,1.0,DeferredPrepass,0.21576,5.656854249491168e-05,2,3.9999999999991425e-05
32,1.0,VisBuf,0.36788,9.899494936607827e-05,2,6.999999999997286e-05
48,0.0,DeferredPrepass,0.22116999999999998,0.0003394112549695388,2,0.00023999999999999713
48,0.0,VisBuf,0.375965,0.00014849242404914686,2,0.00010499999999998011
48,0.5,DeferredPrepass,0.22012500000000002,0.0004737615433949798,2,0.00033499999999999497
48,0.5,VisBuf,0.373785,3.535533905932348e-05,2,2.4999999999997243e-05
48,1.0,DeferredPrepass,0.20963,0.00031112698372207803,2,0.00021999999999999795
48,1.0,VisBuf,0.365935,0.0010677312395916947,2,0.0007550000000000056
64,0.0,DeferredPrepass,0.23304,0.00015556349186103901,2,0.00010999999999999897
64,0.0,VisBuf,0.383695,0.00012020815280171555,2,8.500000000000174e-05
64,0.5,DeferredPrepass,0.22945500000000002,0.000572756492761117,2,0.0004050000000000095
64,0.5,VisBuf,0.379425,0.0002050609665441076,2,0.00014500000000000624
64,1.0,DeferredPrepass,0.222615,7.071067811872547e-06,2,5.000000000005e-06
64,1.0,VisBuf,0.37256,8.485281374239205e-05,2,6.000000000000449e-05
96,0.0,DeferredPrepass,0.26003,0.00032526911934582315,2,0.00023000000000000798
96,0.0,VisBuf,0.397865,0.00907218000262339,2,0.006414999999999989
96,0.5,DeferredPrepass,0.25112,0.0006646803743153717,2,0.000470000000000012
96,0.5,VisBuf,0.38679,0.0005515432893255091,2,0.0003900000000000014
96,1.0,DeferredPrepass,0.232475,2.121320343560783e-05,2,1.5000000000008062e-05
96,1.0,VisBuf,0.37296,0.0007071067811865482,2,0.0005000000000000004
128,0.0,DeferredPrepass,0.291825,2.121320343557839e-05,2,1.4999999999987246e-05
128,0.0,VisBuf,0.42214,0.010988439379638948,2,0.007769999999999999
128,0.5,DeferredPrepass,0.2794,0.0005515432893255091,2,0.0003900000000000014
128,0.5,VisBuf,0.406095,0.004970960671741415,2,0.00351499999999999
128,1.0,DeferredPrepass,0.25261,0.0007778174593051951,2,0.0005499999999999949
128,1.0,VisBuf,0.39175499999999996,0.002368807716974968,2,0.0016750000000000237
192,0.0,DeferredPrepass,0.373675,0.0004030508652763623,2,0.00028500000000002135
192,0.0,VisBuf,0.47712,0.0008202438661764108,2,0.0005800000000000111
192,0.5,DeferredPrepass,0.332145,0.0004879036790187151,2,0.0003449999999999981
192,0.5,VisBuf,0.4363,0.016362450916656685,2,0.011569999999999981
192,1.0,DeferredPrepass,0.27749999999999997,0.00024041630560341144,2,0.00016999999999998958
192,1.0,VisBuf,0.38566500000000004,0.004603265145524377,2,0.0032549999999999663
256,0.0,DeferredPrepass,0.49433499999999997,0.02212537118332704,2,0.015644999999999975
256,0.0,VisBuf,0.539695,0.024586102781856235,2,0.017384999999999984
256,0.5,DeferredPrepass,0.400355,0.007261986642785844,2,0.005135000000000001
256,0.5,VisBuf,0.49419,0.006972072862499403,2,0.004930000000000031
256,1.0,DeferredPrepass,0.30358,0.0017960512242138212,2,0.0012699999999999931
256,1.0,VisBuf,0.40481500000000004,0.007162991693419766,2,0.005065000000000028
