megapixels,param_material_assign_locality,renderer,mean,std,count,sem
0.5184,0.0,DeferredPrepass,0.13347,,1,0.0
0.5184,0.0,VisBuf,0.18818,,1,0.0
0.5184,0.5,DeferredPrepass,0.11913,,1,0.0
0.5184,0.5,VisBuf,0.18101,,1,0.0
0.5184,1.0,DeferredPrepass,0.09875,,1,0.0
0.5184,1.0,VisBuf,0.17132,,1,0.0
0.9216,0.0,DeferredPrepass,0.17589,,1,0.0
0.9216,0.0,VisBuf,0.24056,,1,0.0
0.9216,0.5,DeferredPrepass,0.1622,,1,0.0
0.9216,0.5,VisBuf,0.2335,,1,0.0
0.9216,1.0,DeferredPrepass,0.13966,,1,0.0
0.9216,1.0,VisBuf,0.22236,,1,0.0
1.44,0.0,DeferredPrepass,0.22999,,1,0.0
1.44,0.0,VisBuf,0.31355,,1,0.0
1.44,0.5,DeferredPrepass,0.21665,,1,0.0
1.44,0.5,VisBuf,0.30789,,1,0.0
1.44,1.0,DeferredPrepass,0.19023,,1,0.0
1.44,1.0,VisBuf,0.30112,,1,0.0
2.0736,0.0,DeferredPrepass,0.29255,,1,0.0
2.0736,0.0,VisBuf,0.4275,,1,0.0
2.0736,0.5,DeferredPrepass,0.27909,,1,0.0
2.0736,0.5,VisBuf,0.40645,,1,0.0
2.0736,1.0,DeferredPrepass,0.25244,,1,0.0
2.0736,1.0,VisBuf,0.38038,,1,0.0
3.6864,0.0,DeferredPrepass,0.44732,,1,0.0
3.6864,0.0,VisBuf,0.64367,,1,0.0
3.6864,0.5,DeferredPrepass,0.43315,,1,0.0
3.6864,0.5,VisBuf,0.62206,,1,0.0
3.6864,1.0,DeferredPrepass,0.40493,,1,0.0
3.6864,1.0,VisBuf,0.59742,,1,0.0
5.76,0.0,DeferredPrepass,0.64594,,1,0.0
5.76,0.0,VisBuf,0.92937,,1,0.0
5.76,0.5,DeferredPrepass,0.62999,,1,0.0
5.76,0.5,VisBuf,0.92713,,1,0.0
5.76,1.0,DeferredPrepass,0.59943,,1,0.0
5.76,1.0,VisBuf,0.8791,,1,0.0
8.2944,0.0,DeferredPrepass,0.87608,,1,0.0
8.2944,0.0,VisBuf,1.29032,,1,0.0
8.2944,0.5,DeferredPrepass,0.85883,,1,0.0
8.2944,0.5,VisBuf,1.27062,,1,0.0
8.2944,1.0,DeferredPrepass,0.82249,,1,0.0
8.2944,1.0,VisBuf,1.23173,,1,0.0
