param_seed,DeferredPrepass,VisBuf,deferred_over_visbuf,visbuf_percent_faster
0,0.27135,0.40433,0.6711102317413993,-32.88897682586007
1,0.27216,0.3923,0.6937547795054806,-30.62452204945194
2,0.27276,0.38405,0.7102200234344487,-28.977997656555132
3,0.26941,0.40621,0.6632283794096648,-33.67716205903351
4,0.27262,0.40837,0.6675808702891984,-33.241912971080154
5,0.27198,0.39173,0.6943047507211599,-30.569524927884007
6,0.27196,0.39177,0.6941828113433902,-30.581718865660978
7,0.27158,0.39453,0.6883633690720604,-31.163663092793957
8,0.27171,0.39904,0.6809091820368885,-31.909081796311145
9,0.2712,0.39216,0.6915544675642594,-30.844553243574058
10,0.27179,0.38468,0.7065353020692523,-29.34646979307477
11,0.27213,0.40103,0.6785776625190135,-32.14223374809865
12,0.27181,0.39389,0.6900657543984361,-30.99342456015639
13,0.27206,0.39568,0.68757581884351,-31.242418115648995
14,0.27204,0.39193,0.6941035388972521,-30.589646110274792
15,0.27239,0.39411,0.6911522163862881,-30.88477836137119
16,0.27239,0.39113,0.6964180707181756,-30.358192928182437
17,0.27164,0.39111,0.6945360640229091,-30.546393597709088
18,0.26872,0.39153,0.6863331034658903,-31.366689653410972
19,0.27212,0.39322,0.6920299069223335,-30.797009307766654
