scene,param_material_assign_diversity,DeferredPrepass,VisBuf,deferred_over_visbuf,visbuf_percent_faster
Bistro,0.0,0.51729,0.72346,0.715022254167473,-28.4977745832527
Bistro,0.05,0.5286,0.6863,0.7702171062217689,-22.978289377823113
Bistro,0.1,0.55443,0.73376,0.7556012865242041,-24.43987134757959
Bistro,0.2,0.53736,0.75017,0.7163176346694748,-28.368236533052517
Bistro,0.3,0.53573,0.71607,0.7481531135224211,-25.18468864775789
Bistro,0.4,0.54724,0.75884,0.7211533393073638,-27.88466606926362
Bistro,0.5,0.57314,0.73993,0.7745867852364413,-22.54132147635587
Bistro,0.6,0.51329,0.74321,0.6906392540466355,-30.93607459533645
Bistro,0.7,0.57212,0.77533,0.7379051500651336,-26.209484993486644
Bistro,0.8,0.52498,0.72036,0.7287745016380699,-27.12254983619301
Bistro,0.9,0.57334,0.72436,0.7915125075929096,-20.84874924070904
Bistro,0.95,0.55101,0.76312,0.7220489569137226,-27.79510430862774
Bistro,1.0,0.5719,0.73503,0.7780634804021604,-22.193651959783956
Sponza,0.0,1.21115,1.52945,0.7918859720814672,-20.811402791853283
Sponza,0.05,1.20471,1.55505,0.7747082087392688,-22.529179126073117
Sponza,0.1,1.15634,1.54703,0.7474580324880578,-25.254196751194225
Sponza,0.2,1.16441,1.44649,0.8049900103007971,-19.500998969920293
Sponza,0.3,1.24008,1.32625,0.9350273327049954,-6.497266729500462
Sponza,0.4,1.19006,1.2588,0.9453924372418175,-5.460756275818246
Sponza,0.5,1.18225,1.35588,0.871942944803375,-12.805705519662503
Sponza,0.6,1.21181,1.23289,0.9829019620566312,-1.7098037943368838
Sponza,0.7,1.16278,1.27779,0.9099930348492319,-9.000696515076811
Sponza,0.8,1.18078,1.28551,0.9185303887173184,-8.14696112826816
Sponza,0.9,1.17332,1.2278,0.95562795243525,-4.4372047564749995
Sponza,0.95,1.16074,1.21175,0.9579038580565298,-4.209614194347022
Sponza,1.0,1.13996,1.26749,0.8993838215686121,-10.061617843138793
Sponza Ivy,0.0,1.29134,1.6466,0.7842463257621766,-21.575367423782343
Sponza Ivy,0.05,1.30643,1.67908,0.7780629868737642,-22.19370131262358
Sponza Ivy,0.1,1.35657,1.68703,0.8041172948910216,-19.588270510897843
Sponza Ivy,0.2,1.29567,1.66596,0.7777317582655046,-22.226824173449543
Sponza Ivy,0.3,1.27584,1.48381,0.859840545622418,-14.015945437758203
Sponza Ivy,0.4,1.29318,1.46317,0.883820745367934,-11.617925463206602
Sponza Ivy,0.5,1.29511,1.44646,0.8953652365084412,-10.463476349155876
Sponza Ivy,0.6,1.34151,1.46895,0.9132441539875421,-8.67558460124579
Sponza Ivy,0.7,1.29049,1.39932,0.9222265100191521,-7.777348998084788
Sponza Ivy,0.8,1.27641,1.39695,0.9137120154622571,-8.628798453774289
Sponza Ivy,0.9,1.29969,1.45546,0.8929754167067456,-10.702458329325438
Sponza Ivy,0.95,1.36249,1.37514,0.9908009366319065,-0.9199063368093507
Sponza Ivy,1.0,1.29379,1.401,0.9234760885082084,-7.652391149179161
