frame,total,depth_prepass,geometry,lighting,tonemap,index_count,renderer,scene,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer
0,0.64711,0.16856,0.31728,0.10006,0.04651,3553381.35,DeferredPrepass,Bistro,,,,,
60,0.71807,0.18314,0.35079,0.11449,0.05464,3662944.3,DeferredPrepass,Bistro,,,,,
120,0.63162,0.14292,0.28099,0.12737,0.06462,2176008.0,DeferredPrepass,Bistro,,,,,
180,0.54985,0.1021,0.23889,0.12871,0.06408,1760027.75,DeferredPrepass,Bistro,,,,,
240,0.64055,0.14712,0.30037,0.11815,0.05714,2911562.3,DeferredPrepass,Bistro,,,,,
300,0.54602,0.14429,0.25075,0.09785,0.03925,3211259.3,DeferredPrepass,Bistro,,,,,
360,0.56522,0.15333,0.25924,0.0995,0.03914,3197534.35,DeferredPrepass,Bistro,,,,,
420,0.49619,0.11357,0.23086,0.09861,0.03908,2080022.75,DeferredPrepass,Bistro,,,,,
480,0.5022,0.11947,0.23165,0.09819,0.0389,2143202.1,DeferredPrepass,Bistro,,,,,
540,0.51415,0.13097,0.23464,0.09565,0.03887,2652802.15,DeferredPrepass,Bistro,,,,,
600,0.53023,0.14427,0.23802,0.09628,0.03759,2718203.4,DeferredPrepass,Bistro,,,,,
660,0.41701,0.07863,0.19235,0.09349,0.03873,1551084.95,DeferredPrepass,Bistro,,,,,
720,0.45107,0.10224,0.20118,0.09491,0.03868,2455791.85,DeferredPrepass,Bistro,,,,,
780,0.43457,0.1009,0.1844,0.09654,0.03861,2049572.45,DeferredPrepass,Bistro,,,,,
840,0.33488,0.04894,0.1376,0.09572,0.03876,904159.35,DeferredPrepass,Bistro,,,,,
900,0.46131,0.11538,0.20307,0.09262,0.0365,2916661.7,DeferredPrepass,Bistro,,,,,
960,0.56575,0.15869,0.25808,0.09674,0.03823,3578981.25,DeferredPrepass,Bistro,,,,,
1020,0.52621,0.13241,0.24356,0.09722,0.0388,2767377.4,DeferredPrepass,Bistro,,,,,
1080,0.54661,0.13721,0.25719,0.09923,0.03868,2271770.15,DeferredPrepass,Bistro,,,,,
1140,0.59874,0.17601,0.26998,0.09958,0.03899,2903832.2,DeferredPrepass,Bistro,,,,,
1200,0.54918,0.14911,0.24909,0.09867,0.03831,2424988.15,DeferredPrepass,Bistro,,,,,
1260,0.5013,0.12908,0.22753,0.09242,0.03795,2026572.1,DeferredPrepass,Bistro,,,,,
1320,0.52605,0.13667,0.23816,0.09915,0.03795,2301510.5,DeferredPrepass,Bistro,,,,,
1380,0.53698,0.13895,0.24787,0.09681,0.03848,2404923.35,DeferredPrepass,Bistro,,,,,
1440,0.53952,0.13864,0.25264,0.0955,0.03904,2983851.65,DeferredPrepass,Bistro,,,,,
1500,0.73035,0.21009,0.36804,0.09638,0.03883,5965339.5,DeferredPrepass,Bistro,,,,,
1560,0.74623,0.22683,0.3676,0.0964,0.03832,6425388.5,DeferredPrepass,Bistro,,,,,
1620,0.75985,0.22747,0.37975,0.09734,0.03847,6351675.3,DeferredPrepass,Bistro,,,,,
1680,0.59902,0.15883,0.2916,0.096,0.03862,3853289.1,DeferredPrepass,Bistro,,,,,
1740,0.46589,0.1034,0.21389,0.09617,0.03875,1807302.25,DeferredPrepass,Bistro,,,,,
1800,0.47071,0.107,0.21448,0.09654,0.03887,1503980.35,DeferredPrepass,Bistro,,,,,
1860,0.47433,0.1077,0.2167,0.09727,0.03886,1304820.9,DeferredPrepass,Bistro,,,,,
1920,0.46824,0.10088,0.21773,0.09688,0.03887,1271388.55,DeferredPrepass,Bistro,,,,,
1980,0.45477,0.08962,0.2169,0.09517,0.03901,1145896.95,DeferredPrepass,Bistro,,,,,
2040,0.44099,0.08125,0.21212,0.09471,0.03909,833803.5,DeferredPrepass,Bistro,,,,,
2100,0.42412,0.0746,0.20207,0.09482,0.03886,724541.55,DeferredPrepass,Bistro,,,,,
2160,0.40681,0.06388,0.19421,0.09578,0.03919,651558.7,DeferredPrepass,Bistro,,,,,
2220,0.39821,0.05511,0.19471,0.09529,0.03919,606690.35,DeferredPrepass,Bistro,,,,,
