frame,total,depth_prepass,geometry,lighting,tonemap,index_count,renderer,scene,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer
0,1.69579,0.32181,1.22497,0.09085,0.03425,18152448.1,DeferredPrepass,Sponza Ivy,,,,,
60,1.92443,0.3312,1.44418,0.09433,0.03813,18586967.45,DeferredPrepass,Sponza Ivy,,,,,
120,1.7207,0.25601,1.313,0.09512,0.03807,13912915.15,DeferredPrepass,Sponza Ivy,,,,,
180,1.1581,0.05163,0.95267,0.09895,0.03812,1334104.85,DeferredPrepass,Sponza Ivy,,,,,
240,0.97906,0.0502,0.77835,0.09911,0.03766,1563999.05,DeferredPrepass,Sponza Ivy,,,,,
300,0.83407,0.04206,0.64341,0.09702,0.03756,942806.45,DeferredPrepass,Sponza Ivy,,,,,
360,1.22642,0.03723,1.03588,0.09898,0.03793,651664.2,DeferredPrepass,Sponza Ivy,,,,,
420,1.26912,0.03126,1.08622,0.0985,0.03791,531526.6,DeferredPrepass,Sponza Ivy,,,,,
480,1.07291,0.02136,0.90542,0.09105,0.03798,335265.25,DeferredPrepass,Sponza Ivy,,,,,
540,0.9778,0.0253,0.80638,0.08956,0.03793,394504.35,DeferredPrepass,Sponza Ivy,,,,,
600,2.08965,0.37568,1.55965,0.08742,0.03848,18946657.5,DeferredPrepass,Sponza Ivy,,,,,
660,2.32067,0.60232,1.5463,0.0883,0.03881,22204983.5,DeferredPrepass,Sponza Ivy,,,,,
720,2.18067,0.65349,1.36725,0.08633,0.03768,22048389.25,DeferredPrepass,Sponza Ivy,,,,,
780,2.16028,0.50985,1.49716,0.08633,0.03857,22030151.1,DeferredPrepass,Sponza Ivy,,,,,
840,1.8492,0.57024,1.13261,0.08663,0.03866,22933227.5,DeferredPrepass,Sponza Ivy,,,,,
900,2.24692,0.67761,1.41957,0.0891,0.04221,23109201.2,DeferredPrepass,Sponza Ivy,,,,,
960,1.82935,0.51591,1.15617,0.09122,0.03926,21561609.35,DeferredPrepass,Sponza Ivy,,,,,
1020,1.66421,0.41388,1.1029,0.08575,0.03759,20587357.35,DeferredPrepass,Sponza Ivy,,,,,
1080,1.55528,0.35989,1.05592,0.08665,0.03767,19340923.1,DeferredPrepass,Sponza Ivy,,,,,
1140,1.28798,0.22208,0.91811,0.08524,0.03756,11587346.2,DeferredPrepass,Sponza Ivy,,,,,
1200,1.51596,0.3232,1.04767,0.08528,0.03736,18118567.5,DeferredPrepass,Sponza Ivy,,,,,
1260,1.09541,0.29943,0.65733,0.08617,0.03791,16796927.25,DeferredPrepass,Sponza Ivy,,,,,
1320,1.09917,0.32063,0.63635,0.08484,0.03737,17025278.05,DeferredPrepass,Sponza Ivy,,,,,
1380,1.96543,0.52653,1.2935,0.08625,0.03873,20513194.45,DeferredPrepass,Sponza Ivy,,,,,
1440,2.66718,0.73838,1.78247,0.08723,0.03788,22738668.9,DeferredPrepass,Sponza Ivy,,,,,
1500,2.81275,0.81387,1.83905,0.0854,0.03694,24340029.45,DeferredPrepass,Sponza Ivy,,,,,
1560,2.67468,0.84738,1.66607,0.08502,0.03572,25480750.3,DeferredPrepass,Sponza Ivy,,,,,
1620,2.71787,0.86989,1.69468,0.0833,0.03458,25990293.4,DeferredPrepass,Sponza Ivy,,,,,
1680,2.88414,0.86678,1.87622,0.08166,0.03389,26398667.95,DeferredPrepass,Sponza Ivy,,,,,
1740,2.66569,0.8441,1.67222,0.08039,0.03142,26393518.4,DeferredPrepass,Sponza Ivy,,,,,
1800,2.66732,0.90307,1.6135,0.07994,0.02954,26437710.3,DeferredPrepass,Sponza Ivy,,,,,
1860,2.79603,0.89764,1.76396,0.08106,0.03121,26437681.0,DeferredPrepass,Sponza Ivy,,,,,
1920,2.92,0.88063,1.895,0.08158,0.03454,26437617.4,DeferredPrepass,Sponza Ivy,,,,,
1980,2.70362,0.82555,1.73274,0.08548,0.03523,25454451.5,DeferredPrepass,Sponza Ivy,,,,,
2040,2.08937,0.52182,1.42613,0.08567,0.03582,22314910.7,DeferredPrepass,Sponza Ivy,,,,,
2100,1.59681,0.32812,1.11539,0.08804,0.04089,16667258.7,DeferredPrepass,Sponza Ivy,,,,,
2160,0.61781,0.09067,0.38468,0.09024,0.03454,3680024.7,DeferredPrepass,Sponza Ivy,,,,,
2220,0.17017,0.00967,0.03422,0.08563,0.02722,250198.2,DeferredPrepass,Sponza Ivy,,,,,
2280,0.14905,0.00577,0.01912,0.08533,0.02561,81778.25,DeferredPrepass,Sponza Ivy,,,,,
2340,0.13149,0.00335,0.00662,0.08524,0.02296,0.0,DeferredPrepass,Sponza Ivy,,,,,
2400,0.13151,0.00341,0.00662,0.08522,0.02293,0.0,DeferredPrepass,Sponza Ivy,,,,,
2460,0.1315,0.00338,0.00662,0.08518,0.0229,0.0,DeferredPrepass,Sponza Ivy,,,,,
0,2.10305,,,0.09501,0.03468,18152448.1,VisBuf,Sponza Ivy,0.50425,0.03053,0.00215,0.03687,1.36428
60,2.54079,,,0.0982,0.03837,18586967.45,VisBuf,Sponza Ivy,0.52898,0.03363,0.00217,0.04063,1.76483
120,1.98861,,,0.09754,0.03805,13912915.15,VisBuf,Sponza Ivy,0.4061,0.03276,0.00221,0.04017,1.34259
180,1.77167,,,0.09885,0.03779,1334104.85,VisBuf,Sponza Ivy,0.08889,0.02758,0.00222,0.03962,1.44731
240,1.46871,,,0.09884,0.03765,1563999.05,VisBuf,Sponza Ivy,0.09795,0.02736,0.00221,0.03965,1.13836
300,1.05305,,,0.09409,0.0375,942806.45,VisBuf,Sponza Ivy,0.08971,0.02706,0.00272,0.03926,0.73606
360,1.56169,,,0.08945,0.03832,651664.2,VisBuf,Sponza Ivy,0.07499,0.02724,0.00255,0.0394,1.2658
420,1.85949,,,0.09152,0.0382,531526.6,VisBuf,Sponza Ivy,0.06781,0.02733,0.00268,0.0393,1.56436
480,1.35153,,,0.09164,0.03769,335265.25,VisBuf,Sponza Ivy,0.06,0.02729,0.0027,0.03896,1.06689
540,1.24327,,,0.0908,0.03803,394504.35,VisBuf,Sponza Ivy,0.06391,0.02715,0.0026,0.03919,0.95461
600,3.10196,,,0.0901,0.03897,18946657.5,VisBuf,Sponza Ivy,0.60126,0.03322,0.00292,0.04085,2.26756
660,3.49596,,,0.08805,0.0399,22204983.5,VisBuf,Sponza Ivy,0.78658,0.03448,0.00313,0.04206,2.47304
720,3.01438,,,0.08612,0.03869,22048389.25,VisBuf,Sponza Ivy,0.80764,0.03414,0.00289,0.04154,1.97368
