run-id,run-name,output-filepath,renderer-variant,visibility-debug-mode,donut-linear-gbuffer,variable,to-use-scene,to-load-texture,use-vfc,scene-variant,scene-importer,scene-path,warmup-frames,measure-frames,auto-terminate,vsync,camera-mode,camera-filepath,camera-keyframe-interval,to-set-start-frame,key-frame,profile-window-frames,capture-frames,capture-output-dir,capture-stride,capture-fps,window-width,window-height,seed,material-assign-strategy,material-assign-max-open,material-assign-locality,material-assign-diversity,camera-pos-x,camera-pos-y,camera-pos-z,camera-lookat-x,camera-lookat-y,camera-lookat-z,camera-near-z,camera-far-z,camera-fov,object-count,material-count,geometry-count,overdraw-count,to-remain-only-in-camera,z-min,z-max,xy-minmax,radius,geometry-div,gbuffer-cnt,texture-count,texture-size,texture-sampling-count,alu-calc-count,pass_name_0,pass_0_time_avg_ms,pass_name_1,pass_1_time_avg_ms,pass_name_2,pass_2_time_avg_ms,pass_name_3,pass_3_time_avg_ms,pass_name_4,pass_4_time_avg_ms,pass_name_5,pass_5_time_avg_ms,pass_name_6,pass_6_time_avg_ms,pass_name_7,pass_7_time_avg_ms,pass_name_8,pass_8_time_avg_ms,pass_name_9,pass_9_time_avg_ms,pass_name_10,pass_10_time_avg_ms,pass_name_11,pass_11_time_avg_ms,pass_name_12,pass_12_time_avg_ms,pass_name_13,pass_13_time_avg_ms,pass_name_14,pass_14_time_avg_ms,pass_name_15,pass_15_time_avg_ms,pass_name_16,pass_16_time_avg_ms,pass_name_17,pass_17_time_avg_ms,pass_name_18,pass_18_time_avg_ms,pass_name_19,pass_19_time_avg_ms,pass_name_20,pass_20_time_avg_ms,pass_name_21,pass_21_time_avg_ms,pass_name_22,pass_22_time_avg_ms,pass_name_23,pass_23_time_avg_ms,pass_name_24,pass_24_time_avg_ms,pass_name_25,pass_25_time_avg_ms,pass_name_26,pass_26_time_avg_ms,pass_name_27,pass_27_time_avg_ms,pass_name_28,pass_28_time_avg_ms,pass_name_29,pass_29_time_avg_ms,pass_name_30,pass_30_time_avg_ms,pass_name_31,pass_31_time_avg_ms,renderer_name,run_current_time,camera-mode-name,total_time_min_ms,total_time_median_ms,total_time_max_ms,total_time_avg_ms,total_time_p01_ms,total_time_p10_ms,total_time_p90_ms,total_time_p99_ms,variable-geometry-count,variable-overdraw-count,variable-waste-quad-count,variable-alu-op-count,param_renderer_variant,param_visibility_debug_mode,param_donut_linear_gbuffer,param_variable,param_to_use_scene,param_to_load_texture,param_use_vfc,param_scene_variant,param_scene_importer,param_scene_path,param_warmup_frames,param_measure_frames,param_vsync,param_camera_mode,param_camera_filepath,param_camera_keyframe_interval,param_to_set_start_frame,param_key_frame,param_profile_window_frames,param_capture_frames,param_capture_stride,param_capture_fps,param_window_width,param_window_height,param_seed,param_material_assign_strategy,param_material_assign_max_open,param_material_assign_locality,param_material_assign_diversity,param_geometry_div,param_camera_pos_x,param_camera_pos_y,param_camera_pos_z,param_camera_lookat_x,param_camera_lookat_y,param_camera_lookat_z,param_camera_near_z,param_camera_far_z,param_camera_fov,param_object_count,param_material_count,param_geometry_count,param_overdraw_count,param_to_remain_only_in_camera,param_z_min,param_z_max,param_xy_minmax,param_radius,param_gbuffer_cnt,param_texture_count,param_texture_size,param_texture_sampling_count,param_alu_calc_count,runner_experiment,runner_repeat,runner_run_index,runner_result_row,runner_status,runner_return_code,runner_error,runner_stderr,runner_skip_reason,runner_missing_assets
0,06_synth_locality_diversity_phase_dense,${RUN_TEMP}\run_00000.csv,8,2,0,0,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,64,0,0,0,0,-3,0,0,0,0.1,1000,0.785,1,255,1,0,0,-1,1,1,0.5,128,1,1,256,1,100,total,0.24407,depth_prepass,0.02303,geometry,0.09394,lighting,0.08549,tonemap,0.02862,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutDeferredPrepass,2026-07-30T01:18:08,free,0.24141,0.24394,0.25251,0.24407,0.24198,0.24278,0.24538,0.24918,16641,0,128,100,8,2,0,0,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,64,0.0,0.0,128,0.0,0.0,-3.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,255,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,06_synth_locality_diversity_phase_dense,0,0,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_01-18-09.txt",,
1,06_synth_locality_diversity_phase_dense,${RUN_TEMP}\run_00001.csv,9,2,0,1,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,64,0,0,0,0,-3,0,0,0,0.1,1000,0.785,1,255,1,0,0,-1,1,1,0.5,128,1,1,256,1,100,total,0.33807,visibility,0.03257,visutil_histogram,0.02268,visutil_prefix,0.00206,visutil_flatten,0.03054,gbuffer,0.09963,lighting,0.08917,tonemap,0.03005,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-30T01:18:09,free,0.33312,0.33802,0.34806,0.33807,0.33504,0.33587,0.34026,0.34451,16641,0,128,100,9,2,0,1,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,64,0.0,0.0,128,0.0,0.0,-3.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,255,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,06_synth_locality_diversity_phase_dense,0,1,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_01-18-13.txt",,
2,06_synth_locality_diversity_phase_dense,${RUN_TEMP}\run_00002.csv,8,2,0,2,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,1,0,64,0,0,0,0,-3,0,0,0,0.1,1000,0.785,1,255,1,0,0,-1,1,1,0.5,128,1,1,256,1,100,total,0.24353,depth_prepass,0.02295,geometry,0.09402,lighting,0.08567,tonemap,0.02800,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutDeferredPrepass,2026-07-30T01:18:13,free,0.24125,0.24339,0.25648,0.24353,0.24154,0.24224,0.24496,0.24854,16641,0,128,100,8,2,0,2,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,1,0,64,0.0,0.0,128,0.0,0.0,-3.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,255,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,06_synth_locality_diversity_phase_dense,0,2,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_01-18-14.txt",,
3,06_synth_locality_diversity_phase_dense,${RUN_TEMP}\run_00003.csv,9,2,0,3,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,1,0,64,0,0,0,0,-3,0,0,0,0.1,1000,0.785,1,255,1,0,0,-1,1,1,0.5,128,1,1,256,1,100,total,0.33816,visibility,0.03260,visutil_histogram,0.02284,visutil_prefix,0.00205,visutil_flatten,0.03050,gbuffer,0.09962,lighting,0.08918,tonemap,0.03015,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-30T01:18:14,free,0.33354,0.33805,0.34848,0.33816,0.33517,0.33590,0.34029,0.34406,16641,0,128,100,9,2,0,3,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,1,0,64,0.0,0.0,128,0.0,0.0,-3.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,255,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,06_synth_locality_diversity_phase_dense,0,3,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_01-18-17.txt",,
4,06_synth_locality_diversity_phase_dense,${RUN_TEMP}\run_00004.csv,8,2,0,4,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,64,0,0.125,0,0,-3,0,0,0,0.1,1000,0.785,1,255,1,0,0,-1,1,1,0.5,128,1,1,256,1,100,total,0.26953,depth_prepass,0.02231,geometry,0.11970,lighting,0.08577,tonemap,0.02889,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutDeferredPrepass,2026-07-30T01:18:17,free,0.26054,0.26973,0.28102,0.26953,0.26128,0.26765,0.27120,0.27670,16641,0,128,100,8,2,0,4,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,64,0.0,0.125,128,0.0,0.0,-3.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,255,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,06_synth_locality_diversity_phase_dense,0,4,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_01-18-19.txt",,
5,06_synth_locality_diversity_phase_dense,${RUN_TEMP}\run_00005.csv,9,2,0,5,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,64,0,0.125,0,0,-3,0,0,0,0.1,1000,0.785,1,255,1,0,0,-1,1,1,0.5,128,1,1,256,1,100,total,0.39157,visibility,0.03516,visutil_histogram,0.02592,visutil_prefix,0.00207,visutil_flatten,0.03357,gbuffer,0.14322,lighting,0.08798,tonemap,0.03111,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-30T01:18:19,free,0.37482,0.38854,0.42995,0.39157,0.37683,0.38096,0.40813,0.42525,16641,0,128,100,9,2,0,5,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,64,0.0,0.125,128,0.0,0.0,-3.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,255,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,06_synth_locality_diversity_phase_dense,0,5,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_01-18-24.txt",,
6,06_synth_locality_diversity_phase_dense,${RUN_TEMP}\run_00006.csv,8,2,0,6,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,1,0,64,0,0.125,0,0,-3,0,0,0,0.1,1000,0.785,1,255,1,0,0,-1,1,1,0.5,128,1,1,256,1,100,total,0.26835,depth_prepass,0.02259,geometry,0.11896,lighting,0.08552,tonemap,0.02844,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutDeferredPrepass,2026-07-30T01:18:24,free,0.26157,0.26851,0.27546,0.26835,0.26259,0.26646,0.27014,0.27421,16641,0,128,100,8,2,0,6,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,1,0,64,0.0,0.125,128,0.0,0.0,-3.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,255,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,06_synth_locality_diversity_phase_dense,0,6,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_01-18-26.txt",,
7,06_synth_locality_diversity_phase_dense,${RUN_TEMP}\run_00007.csv,9,2,0,7,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,1,0,64,0,0.125,0,0,-3,0,0,0,0.1,1000,0.785,1,255,1,0,0,-1,1,1,0.5,128,1,1,256,1,100,total,0.39416,visibility,0.03503,visutil_histogram,0.02585,visutil_prefix,0.00209,visutil_flatten,0.03353,gbuffer,0.14397,lighting,0.08824,tonemap,0.03270,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-30T01:18:26,free,0.37469,0.39024,0.43827,0.39416,0.37808,0.38221,0.41530,0.42950,16641,0,128,100,9,2,0,7,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,1,0,64,0.0,0.125,128,0.0,0.0,-3.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,255,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,06_synth_locality_diversity_phase_dense,0,7,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_01-18-30.txt",,
8,06_synth_locality_diversity_phase_dense,${RUN_TEMP}\run_00008.csv,8,2,0,8,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,64,0,0.25,0,0,-3,0,0,0,0.1,1000,0.785,1,255,1,0,0,-1,1,1,0.5,128,1,1,256,1,100,total,0.27319,depth_prepass,0.02311,geometry,0.12216,lighting,0.08569,tonemap,0.02930,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutDeferredPrepass,2026-07-30T01:18:30,free,0.26934,0.27315,0.28141,0.27319,0.27040,0.27168,0.27446,0.27930,16641,0,128,100,8,2,0,8,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,64,0.0,0.25,128,0.0,0.0,-3.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,255,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,06_synth_locality_diversity_phase_dense,0,8,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_01-18-32.txt",,
9,06_synth_locality_diversity_phase_dense,${RUN_TEMP}\run_00009.csv,9,2,0,9,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,64,0,0.25,0,0,-3,0,0,0,0.1,1000,0.785,1,255,1,0,0,-1,1,1,0.5,128,1,1,256,1,100,total,0.39218,visibility,0.03743,visutil_histogram,0.02641,visutil_prefix,0.00207,visutil_flatten,0.03484,gbuffer,0.14185,lighting,0.08838,tonemap,0.02954,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-30T01:18:32,free,0.37885,0.39088,0.52822,0.39218,0.38186,0.38522,0.40054,0.40608,16641,0,128,100,9,2,0,9,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,64,0.0,0.25,128,0.0,0.0,-3.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,255,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,06_synth_locality_diversity_phase_dense,0,9,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_01-18-35.txt",,
