run-id,run-name,output-filepath,renderer-variant,visibility-debug-mode,donut-linear-gbuffer,variable,to-use-scene,to-load-texture,use-vfc,scene-variant,scene-importer,scene-path,warmup-frames,measure-frames,auto-terminate,vsync,camera-mode,camera-filepath,camera-keyframe-interval,to-set-start-frame,key-frame,profile-window-frames,capture-frames,capture-output-dir,capture-stride,capture-fps,window-width,window-height,seed,material-assign-strategy,material-assign-max-open,material-assign-locality,material-assign-diversity,camera-pos-x,camera-pos-y,camera-pos-z,camera-lookat-x,camera-lookat-y,camera-lookat-z,camera-near-z,camera-far-z,camera-fov,object-count,material-count,geometry-count,overdraw-count,to-remain-only-in-camera,z-min,z-max,xy-minmax,radius,geometry-div,gbuffer-cnt,texture-count,texture-size,texture-sampling-count,alu-calc-count,pass_name_0,pass_0_time_avg_ms,pass_name_1,pass_1_time_avg_ms,pass_name_2,pass_2_time_avg_ms,pass_name_3,pass_3_time_avg_ms,pass_name_4,pass_4_time_avg_ms,pass_name_5,pass_5_time_avg_ms,pass_name_6,pass_6_time_avg_ms,pass_name_7,pass_7_time_avg_ms,pass_name_8,pass_8_time_avg_ms,pass_name_9,pass_9_time_avg_ms,pass_name_10,pass_10_time_avg_ms,pass_name_11,pass_11_time_avg_ms,pass_name_12,pass_12_time_avg_ms,pass_name_13,pass_13_time_avg_ms,pass_name_14,pass_14_time_avg_ms,pass_name_15,pass_15_time_avg_ms,pass_name_16,pass_16_time_avg_ms,pass_name_17,pass_17_time_avg_ms,pass_name_18,pass_18_time_avg_ms,pass_name_19,pass_19_time_avg_ms,pass_name_20,pass_20_time_avg_ms,pass_name_21,pass_21_time_avg_ms,pass_name_22,pass_22_time_avg_ms,pass_name_23,pass_23_time_avg_ms,pass_name_24,pass_24_time_avg_ms,pass_name_25,pass_25_time_avg_ms,pass_name_26,pass_26_time_avg_ms,pass_name_27,pass_27_time_avg_ms,pass_name_28,pass_28_time_avg_ms,pass_name_29,pass_29_time_avg_ms,pass_name_30,pass_30_time_avg_ms,pass_name_31,pass_31_time_avg_ms,renderer_name,run_current_time,camera-mode-name,total_time_min_ms,total_time_median_ms,total_time_max_ms,total_time_avg_ms,total_time_p01_ms,total_time_p10_ms,total_time_p90_ms,total_time_p99_ms,variable-geometry-count,variable-overdraw-count,variable-waste-quad-count,variable-alu-op-count,param_renderer_variant,param_visibility_debug_mode,param_donut_linear_gbuffer,param_variable,param_to_use_scene,param_to_load_texture,param_use_vfc,param_scene_variant,param_scene_importer,param_scene_path,param_warmup_frames,param_measure_frames,param_vsync,param_camera_mode,param_camera_filepath,param_camera_keyframe_interval,param_to_set_start_frame,param_key_frame,param_profile_window_frames,param_capture_frames,param_capture_stride,param_capture_fps,param_window_width,param_window_height,param_seed,param_material_assign_strategy,param_material_assign_max_open,param_material_assign_locality,param_material_assign_diversity,param_geometry_div,param_camera_pos_x,param_camera_pos_y,param_camera_pos_z,param_camera_lookat_x,param_camera_lookat_y,param_camera_lookat_z,param_camera_near_z,param_camera_far_z,param_camera_fov,param_object_count,param_material_count,param_geometry_count,param_overdraw_count,param_to_remain_only_in_camera,param_z_min,param_z_max,param_xy_minmax,param_radius,param_gbuffer_cnt,param_texture_count,param_texture_size,param_texture_sampling_count,param_alu_calc_count,runner_experiment,runner_repeat,runner_run_index,runner_result_row,runner_status,runner_return_code,runner_error,runner_stderr,runner_skip_reason,runner_missing_assets
0,08_synth_workload_scaling_dense,${RUN_TEMP}\run_00000.csv,8,2,0,0,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,64,0,1,0,0,-3,0,0,0,0.1,1000,0.785,1,255,1,0,0,-1,1,1,0.5,16,1,1,256,1,100,total,0.19657,depth_prepass,0.00609,geometry,0.06527,lighting,0.08513,tonemap,0.02738,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutDeferredPrepass,2026-07-30T01:39:26,free,0.18723,0.19690,0.20374,0.19657,0.18832,0.19494,0.19862,0.20141,289,0,16,100,8,2,0,0,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,64,0.0,1.0,16,0.0,0.0,-3.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,255,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,08_synth_workload_scaling_dense,0,0,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_01-39-27.txt",,
1,08_synth_workload_scaling_dense,${RUN_TEMP}\run_00001.csv,9,2,0,1,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,64,0,1,0,0,-3,0,0,0,0.1,1000,0.785,1,255,1,0,0,-1,1,1,0.5,16,1,1,256,1,100,total,0.36407,visibility,0.02016,visutil_histogram,0.02648,visutil_prefix,0.00206,visutil_flatten,0.03370,gbuffer,0.13090,lighting,0.08692,tonemap,0.03130,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-30T01:39:27,free,0.35200,0.36112,0.56515,0.36407,0.35587,0.35821,0.38298,0.39046,289,0,16,100,9,2,0,1,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,64,0.0,1.0,16,0.0,0.0,-3.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,255,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,08_synth_workload_scaling_dense,0,1,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_01-39-31.txt",,
2,08_synth_workload_scaling_dense,${RUN_TEMP}\run_00002.csv,8,2,0,2,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,1,0,64,0,1,0,0,-3,0,0,0,0.1,1000,0.785,1,255,1,0,0,-1,1,1,0.5,16,1,1,256,1,100,total,0.19616,depth_prepass,0.00601,geometry,0.06485,lighting,0.08508,tonemap,0.02743,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutDeferredPrepass,2026-07-30T01:39:31,free,0.18467,0.19645,0.20336,0.19616,0.18634,0.19469,0.19811,0.20262,289,0,16,100,8,2,0,2,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,1,0,64,0.0,1.0,16,0.0,0.0,-3.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,255,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,08_synth_workload_scaling_dense,0,2,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_01-39-32.txt",,
3,08_synth_workload_scaling_dense,${RUN_TEMP}\run_00003.csv,9,2,0,3,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,1,0,64,0,1,0,0,-3,0,0,0,0.1,1000,0.785,1,255,1,0,0,-1,1,1,0.5,16,1,1,256,1,100,total,0.36190,visibility,0.02012,visutil_histogram,0.02622,visutil_prefix,0.00204,visutil_flatten,0.03368,gbuffer,0.13071,lighting,0.08671,tonemap,0.02991,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-30T01:39:32,free,0.35530,0.36205,0.37101,0.36190,0.35725,0.35914,0.36461,0.36909,289,0,16,100,9,2,0,3,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,1,0,64,0.0,1.0,16,0.0,0.0,-3.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,255,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,08_synth_workload_scaling_dense,0,3,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_01-39-35.txt",,
4,08_synth_workload_scaling_dense,${RUN_TEMP}\run_00004.csv,8,2,0,4,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,64,0.5,1,0,0,-3,0,0,0,0.1,1000,0.785,1,255,1,0,0,-1,1,1,0.5,16,1,1,256,1,100,total,0.19644,depth_prepass,0.00579,geometry,0.06592,lighting,0.08497,tonemap,0.02706,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutDeferredPrepass,2026-07-30T01:39:35,free,0.18342,0.19690,0.20394,0.19644,0.18474,0.19520,0.19853,0.20160,289,0,16,100,8,2,0,4,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,64,0.5,1.0,16,0.0,0.0,-3.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,255,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,08_synth_workload_scaling_dense,0,4,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_01-39-36.txt",,
5,08_synth_workload_scaling_dense,${RUN_TEMP}\run_00005.csv,9,2,0,5,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,64,0.5,1,0,0,-3,0,0,0,0.1,1000,0.785,1,255,1,0,0,-1,1,1,0.5,16,1,1,256,1,100,total,0.36247,visibility,0.02012,visutil_histogram,0.02635,visutil_prefix,0.00205,visutil_flatten,0.03370,gbuffer,0.13107,lighting,0.08689,tonemap,0.02989,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-30T01:39:36,free,0.35434,0.36227,0.47930,0.36247,0.35754,0.35978,0.36483,0.37053,289,0,16,100,9,2,0,5,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,64,0.5,1.0,16,0.0,0.0,-3.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,255,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,08_synth_workload_scaling_dense,0,5,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_01-39-39.txt",,
6,08_synth_workload_scaling_dense,${RUN_TEMP}\run_00006.csv,8,2,0,6,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,1,0,64,0.5,1,0,0,-3,0,0,0,0.1,1000,0.785,1,255,1,0,0,-1,1,1,0.5,16,1,1,256,1,100,total,0.19599,depth_prepass,0.00580,geometry,0.06543,lighting,0.08495,tonemap,0.02713,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutDeferredPrepass,2026-07-30T01:39:39,free,0.18330,0.19638,0.22470,0.19599,0.18493,0.19485,0.19779,0.20170,289,0,16,100,8,2,0,6,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,1,0,64,0.5,1.0,16,0.0,0.0,-3.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,255,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,08_synth_workload_scaling_dense,0,6,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_01-39-40.txt",,
7,08_synth_workload_scaling_dense,${RUN_TEMP}\run_00007.csv,9,2,0,7,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,1,0,64,0.5,1,0,0,-3,0,0,0,0.1,1000,0.785,1,255,1,0,0,-1,1,1,0.5,16,1,1,256,1,100,total,0.36206,visibility,0.02013,visutil_histogram,0.02626,visutil_prefix,0.00204,visutil_flatten,0.03369,gbuffer,0.13085,lighting,0.08668,tonemap,0.02994,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-30T01:39:40,free,0.35546,0.36214,0.37613,0.36206,0.35706,0.35946,0.36474,0.37085,289,0,16,100,9,2,0,7,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,1,0,64,0.5,1.0,16,0.0,0.0,-3.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,255,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,08_synth_workload_scaling_dense,0,7,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_01-39-43.txt",,
8,08_synth_workload_scaling_dense,${RUN_TEMP}\run_00008.csv,8,2,0,8,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,64,1,1,0,0,-3,0,0,0,0.1,1000,0.785,1,255,1,0,0,-1,1,1,0.5,16,1,1,256,1,100,total,0.20441,depth_prepass,0.00624,geometry,0.07314,lighting,0.08501,tonemap,0.02716,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutDeferredPrepass,2026-07-30T01:39:43,free,0.18781,0.20560,0.21245,0.20441,0.18979,0.19904,0.20707,0.21021,289,0,16,100,8,2,0,8,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,64,1.0,1.0,16,0.0,0.0,-3.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,255,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,08_synth_workload_scaling_dense,0,8,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_01-39-44.txt",,
9,08_synth_workload_scaling_dense,${RUN_TEMP}\run_00009.csv,9,2,0,9,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,64,1,1,0,0,-3,0,0,0,0.1,1000,0.785,1,255,1,0,0,-1,1,1,0.5,16,1,1,256,1,100,total,0.36256,visibility,0.02013,visutil_histogram,0.02699,visutil_prefix,0.00204,visutil_flatten,0.03393,gbuffer,0.13133,lighting,0.08664,tonemap,0.02986,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-30T01:39:44,free,0.35507,0.36240,0.37350,0.36256,0.35738,0.35984,0.36515,0.37059,289,0,16,100,9,2,0,9,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,64,1.0,1.0,16,0.0,0.0,-3.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,255,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,08_synth_workload_scaling_dense,0,9,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_01-39-47.txt",,
