frame,total,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer,lighting,tonemap,index_count
0,1.13227,0.12713,0.02746,0.00215,0.03815,0.77539,0.09177,0.03515,2955774.10000
60,1.39369,0.15264,0.02949,0.00216,0.04213,0.99721,0.09698,0.03897,3390293.45000
120,1.32061,0.09586,0.02830,0.00216,0.04122,0.98521,0.09605,0.03890,1763572.05000
180,1.25569,0.08906,0.02768,0.00217,0.04084,0.92793,0.09673,0.03823,1334104.85000
240,1.15840,0.09771,0.02771,0.00256,0.04033,0.82925,0.09269,0.03793,1563999.05000
300,0.98997,0.08969,0.02738,0.00266,0.03956,0.68011,0.08849,0.03766,942806.45000
360,1.26767,0.07526,0.02784,0.00262,0.04021,0.96756,0.09027,0.03834,651664.20000
420,1.39293,0.06786,0.02788,0.00283,0.04013,1.09550,0.09330,0.03842,531526.60000
480,1.17287,0.06006,0.02755,0.00274,0.03960,0.88845,0.09144,0.03768,335265.25000
540,1.07723,0.06387,0.02744,0.00267,0.03967,0.78971,0.08896,0.03836,394504.35000
