frame,total,depth_prepass,geometry,lighting,tonemap,index_count
0,0.64735,0.16862,0.32024,0.09933,0.04469,3553381.35000
60,0.71997,0.18431,0.35248,0.11444,0.05392,3662944.30000
120,0.47058,0.10765,0.21479,0.09554,0.03899,2176008.00000
180,0.40554,0.06964,0.18738,0.09578,0.03866,1760027.75000
240,0.50202,0.11785,0.23465,0.09640,0.03900,2911562.30000
300,0.54944,0.14471,0.25337,0.09822,0.03902,3211259.30000
360,0.56844,0.15361,0.26212,0.09977,0.03875,3197534.35000
420,0.49917,0.11390,0.23350,0.09892,0.03875,2080022.75000
480,0.50457,0.11956,0.23355,0.09851,0.03875,2143202.10000
540,0.51391,0.13064,0.23520,0.09547,0.03863,2652802.15000
