frame,total,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer,lighting,tonemap,index_count
0,1.17423,0.12721,0.02742,0.00217,0.03806,0.81690,0.09226,0.03476,2955774.10000
60,1.44483,0.15313,0.02953,0.00216,0.04214,1.04796,0.09678,0.03890,3390293.45000
120,1.34464,0.09628,0.02824,0.00217,0.04113,1.00912,0.09584,0.03889,1763572.05000
180,1.28380,0.08887,0.02777,0.00239,0.04064,0.95893,0.09622,0.03842,1334104.85000
240,1.15881,0.09795,0.02765,0.00270,0.04029,0.83594,0.08975,0.03822,1563999.05000
300,0.99743,0.08976,0.02742,0.00261,0.03959,0.68743,0.08694,0.03783,942806.45000
360,1.27084,0.07554,0.02788,0.00285,0.04023,0.97221,0.08741,0.03851,651664.20000
420,1.38894,0.06796,0.02783,0.00283,0.04031,1.09320,0.09046,0.03820,531526.60000
480,1.17304,0.06007,0.02758,0.00267,0.03965,0.88924,0.09006,0.03769,335265.25000
540,1.07450,0.06395,0.02743,0.00253,0.03973,0.78742,0.08895,0.03809,394504.35000
