frame,total,depth_prepass,geometry,lighting,tonemap,index_count
0,1.18826,0.06904,0.97543,0.09263,0.03473,2955774.10000
60,1.43461,0.08301,1.19825,0.09703,0.03834,3390293.45000
120,1.28391,0.05126,1.07774,0.09724,0.03834,1763572.05000
180,1.15816,0.05190,0.95121,0.09728,0.03813,1334104.85000
240,0.98581,0.05029,0.78868,0.09391,0.03784,1563999.05000
300,0.83181,0.04241,0.64461,0.09010,0.03767,942806.45000
360,1.17910,0.03741,0.99470,0.09069,0.03822,651664.20000
420,1.27152,0.03136,1.08856,0.09146,0.03808,531526.60000
480,1.06980,0.02140,0.90556,0.09094,0.03760,335265.25000
540,0.97351,0.02536,0.80523,0.09062,0.03818,394504.35000
