frame,total,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer,lighting,tonemap,index_count
0,1.75871,0.12741,0.02669,0.00216,0.03703,1.40211,0.09354,0.03491,2955774.10000
60,2.17473,0.15324,0.02865,0.00218,0.04086,1.77895,0.09714,0.03869,3390293.45000
120,1.69407,0.09652,0.02825,0.00305,0.04039,1.36479,0.09763,0.03797,1763572.05000
180,1.79718,0.08940,0.02756,0.00271,0.03986,1.47361,0.09800,0.03847,1334104.85000
240,1.49531,0.09820,0.02728,0.00264,0.03975,1.16631,0.09836,0.03877,1563999.05000
300,1.07699,0.08985,0.02720,0.00277,0.03941,0.75530,0.09745,0.03838,942806.45000
360,1.61966,0.07537,0.02746,0.00260,0.03960,1.31464,0.09320,0.03888,651664.20000
420,1.85379,0.06808,0.02745,0.00261,0.03960,1.55842,0.09189,0.03839,531526.60000
480,1.35804,0.06014,0.02743,0.00271,0.03916,1.07576,0.09065,0.03783,335265.25000
540,1.25892,0.06412,0.02722,0.00263,0.03940,0.97223,0.09033,0.03853,394504.35000
600,2.70111,0.20136,0.03055,0.00279,0.04081,2.27179,0.09020,0.03891,4763095.10000
660,2.98045,0.28070,0.03312,0.00289,0.04147,2.46872,0.09061,0.03900,7008309.50000
720,2.46756,0.28555,0.03154,0.00288,0.04095,1.95562,0.08910,0.03785,6851715.25000
780,2.74717,0.29049,0.03145,0.00299,0.04188,2.22807,0.09012,0.03881,6833477.10000
840,1.92447,0.35326,0.02957,0.00300,0.04076,1.33801,0.09249,0.03909,7736553.50000
900,2.26277,0.35973,0.02915,0.00293,0.04053,1.66549,0.09245,0.04312,7912527.20000
960,1.87976,0.29668,0.02949,0.00283,0.04114,1.35643,0.08988,0.03974,6364935.35000
1020,1.97633,0.24376,0.02968,0.00285,0.04129,1.50373,0.09024,0.03803,5390683.35000
1080,1.70556,0.19598,0.02892,0.00307,0.04088,1.27975,0.09018,0.03818,4144249.10000
1140,1.48653,0.13652,0.02808,0.00284,0.04084,1.12755,0.08891,0.03767,2469341.80000
1200,1.40078,0.14981,0.02829,0.00312,0.04078,1.02750,0.08960,0.03777,2921893.50000
1260,0.79361,0.11433,0.02763,0.00280,0.04009,0.45683,0.09001,0.03722,1600253.25000
1320,0.75636,0.13485,0.02748,0.00262,0.03994,0.39796,0.09043,0.03608,1828604.05000
1380,1.92645,0.25886,0.02810,0.00276,0.03960,1.43592,0.09015,0.03883,5316520.45000
1440,3.05821,0.33993,0.02868,0.00303,0.03896,2.48362,0.09335,0.03887,7541994.90000
1500,2.93666,0.39662,0.02801,0.00290,0.03788,2.32275,0.08648,0.03820,9143355.45000
1560,2.19063,0.42902,0.02842,0.00285,0.03655,1.53636,0.08894,0.03643,10284076.30000
1620,2.16422,0.43840,0.02858,0.00304,0.03574,1.50985,0.08417,0.03422,10793619.40000
1680,2.63089,0.44992,0.02807,0.00288,0.03407,1.97704,0.08249,0.03316,11201993.95000
1740,2.24105,0.44620,0.02618,0.00286,0.03146,1.59724,0.08096,0.02979,11196844.40000
1800,2.09050,0.45020,0.02560,0.00273,0.03125,1.44463,0.08094,0.02840,11241036.30000
1860,2.30117,0.45063,0.02663,0.00289,0.03290,1.64782,0.08221,0.03009,11241007.00000
1920,2.40993,0.45656,0.02832,0.00303,0.03535,1.74407,0.08383,0.03508,11240943.40000
1980,2.29244,0.42689,0.02796,0.00287,0.03640,1.64918,0.08626,0.03615,10257777.50000
2040,2.02978,0.31648,0.02718,0.00308,0.03713,1.49282,0.08539,0.03711,7118236.70000
2100,1.92679,0.23681,0.02777,0.00302,0.03924,1.45631,0.09315,0.04169,4779189.60000
2160,0.75625,0.12506,0.02459,0.00268,0.03459,0.41665,0.08940,0.03479,1653801.50000
2220,0.26811,0.01678,0.02045,0.00213,0.02562,0.05684,0.08601,0.02824,250198.20000
2280,0.23807,0.00923,0.02002,0.00208,0.02486,0.03838,0.08558,0.02572,81778.25000
2340,0.21771,0.00543,0.01978,0.00201,0.02445,0.02525,0.08559,0.02313,0.00000
2400,0.21734,0.00539,0.01977,0.00201,0.02445,0.02529,0.08554,0.02313,0.00000
2460,0.21794,0.00541,0.01979,0.00202,0.02446,0.02534,0.08560,0.02333,0.00000
