frame,total,depth_prepass,geometry,lighting,tonemap,index_count
0,1.66021,0.32125,1.19461,0.09010,0.03410,18152448.10000
60,1.90538,0.33075,1.42794,0.09382,0.03813,18586967.45000
120,1.70965,0.25610,1.29790,0.09467,0.03774,13912915.15000
180,1.14181,0.05167,0.93238,0.09813,0.03794,1334104.85000
240,0.97882,0.05036,0.77322,0.09847,0.03757,1563999.05000
300,0.82655,0.04210,0.63727,0.09605,0.03727,942806.45000
360,1.21479,0.03713,1.02273,0.09808,0.03778,651664.20000
420,1.24638,0.03126,1.06221,0.09834,0.03790,531526.60000
480,1.01972,0.02129,0.85112,0.09345,0.03755,335265.25000
540,0.95122,0.02528,0.78004,0.08901,0.03782,394504.35000
600,2.06078,0.37579,1.53031,0.08707,0.03822,18946657.50000
660,2.29919,0.60189,1.53317,0.08759,0.03849,22204983.50000
720,2.16918,0.65122,1.35723,0.08447,0.03742,22048389.25000
780,2.15080,0.50841,1.48933,0.08527,0.03816,22030151.10000
840,1.83938,0.56987,1.12180,0.09086,0.03832,22933227.50000
900,2.25312,0.67761,1.41561,0.08719,0.04201,23109201.20000
960,1.81692,0.51597,1.15165,0.08545,0.03908,21561609.35000
1020,1.66190,0.41583,1.10099,0.08478,0.03755,20587357.35000
1080,1.55640,0.35995,1.05322,0.08609,0.03739,19340923.10000
1140,1.26755,0.22201,0.90680,0.08524,0.03714,11587346.20000
1200,1.49327,0.32324,1.02782,0.08501,0.03715,18118567.50000
1260,1.09280,0.29987,0.64797,0.08486,0.03768,16796927.25000
1320,1.09190,0.32092,0.63447,0.08426,0.03724,17025278.05000
1380,1.96633,0.52654,1.28973,0.08491,0.03838,20513194.45000
1440,2.64867,0.73849,1.76412,0.08545,0.03747,22738668.90000
1500,2.79546,0.81340,1.83577,0.08499,0.03665,24340029.45000
1560,2.66035,0.84730,1.65605,0.08462,0.03553,25480750.30000
1620,2.68316,0.86958,1.67501,0.08340,0.03440,25990293.40000
1680,2.87725,0.86690,1.86136,0.08172,0.03369,26398667.95000
1740,2.65554,0.84436,1.65959,0.07968,0.03126,26393518.40000
1800,2.65834,0.90297,1.61986,0.07962,0.02927,26437710.30000
1860,2.78691,0.89784,1.75679,0.08106,0.03085,26437681.00000
1920,2.87604,0.88065,1.84648,0.08196,0.03475,26437617.40000
1980,2.67581,0.82532,1.71002,0.08373,0.03509,25454451.50000
2040,2.06889,0.52153,1.39863,0.08538,0.03560,22314910.70000
2100,1.59315,0.32871,1.11322,0.08663,0.04038,16667258.70000
2160,0.60969,0.09074,0.38178,0.08914,0.03445,3680024.70000
2220,0.16870,0.00965,0.03315,0.08541,0.02705,250198.20000
2280,0.14839,0.00575,0.01859,0.08516,0.02557,81778.25000
2340,0.13118,0.00337,0.00661,0.08504,0.02288,0.00000
2400,0.13105,0.00329,0.00665,0.08511,0.02293,0.00000
2460,0.13109,0.00334,0.00662,0.08506,0.02287,0.00000
