frame,total,depth_prepass,geometry,lighting,tonemap,index_count
0,1.33690,0.20950,0.98609,0.09049,0.03414,11241054.00000
60,1.59417,0.21201,1.23334,0.09663,0.03792,11241054.00000
120,1.58058,0.20890,1.22570,0.09357,0.03782,11241054.00000
180,1.44563,0.21374,1.08582,0.09457,0.03727,11241054.00000
240,1.28628,0.21205,0.92290,0.09510,0.03720,11241054.00000
300,1.15862,0.20999,0.80393,0.09363,0.03670,11241054.00000
360,1.46247,0.20967,1.10084,0.09527,0.03760,11241054.00000
420,1.58410,0.20937,1.22434,0.09553,0.03773,11241054.00000
480,1.40909,0.20844,1.05983,0.08753,0.03744,11241054.00000
540,1.31524,0.20859,0.96719,0.08748,0.03766,11241054.00000
