frame,total,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer,lighting,tonemap,index_count
0,1.15119,0.71912,0.03424,0.00228,0.03733,0.18527,0.09510,0.04197,18152448.10000
60,1.06293,0.60785,0.03507,0.00221,0.04094,0.21225,0.09479,0.03673,18586967.45000
120,0.82186,0.40642,0.03227,0.00217,0.04049,0.18469,0.09261,0.03098,13912915.15000
180,0.49810,0.08913,0.02719,0.00218,0.04017,0.18377,0.09264,0.03080,1334104.85000
240,0.50566,0.09823,0.02705,0.00218,0.04017,0.18323,0.09223,0.03070,1563999.05000
300,0.49242,0.09025,0.02684,0.00218,0.03979,0.17800,0.09224,0.03070,942806.45000
360,0.48209,0.07562,0.02706,0.00217,0.04000,0.18112,0.09287,0.03071,651664.20000
420,0.47347,0.06828,0.02720,0.00218,0.03993,0.18004,0.09343,0.03053,531526.60000
480,0.46430,0.06035,0.02705,0.00224,0.03949,0.18015,0.09307,0.03028,335265.25000
540,0.46791,0.06416,0.02689,0.00218,0.03976,0.17824,0.09308,0.03080,394504.35000
