frame,total,raster_stats,index_count
0,96.71210,96.70734,18152448.10000
60,98.77270,98.76796,18586967.45000
120,94.78115,94.77652,13912915.15000
180,183.28052,183.27619,1334104.85000
240,214.53059,214.52624,1563999.05000
300,238.60963,238.60525,942806.45000
360,170.65480,170.65046,651664.20000
420,94.13646,94.13213,531526.60000
480,55.32213,55.31783,335265.25000
540,155.08584,155.08150,394504.35000
600,169.27017,169.26560,18946657.50000
660,236.94819,236.94353,22204983.50000
720,265.10065,265.09605,22048389.25000
780,236.15299,236.14836,22030151.10000
840,499.83242,499.82524,22933227.50000
900,624.16258,624.15792,23109201.20000
960,639.05961,639.05493,21561609.35000
1020,383.96604,383.96145,20587357.35000
1080,294.09768,294.09311,19340923.10000
1140,429.50358,429.49911,11587346.20000
1200,383.87042,383.86586,18118567.50000
1260,351.03330,351.02875,16796927.25000
1320,341.04918,341.04468,17025278.05000
1380,501.09197,501.08737,20513194.45000
1440,690.32735,690.32267,22738668.90000
1500,633.06899,633.06435,24340029.45000
1560,381.07900,381.07183,25480750.30000
1620,300.75846,300.75367,25990293.40000
1680,234.34797,234.34318,26398667.95000
1740,185.75971,185.75490,26393518.40000
1800,178.84258,178.83783,26437710.30000
1860,240.87318,240.86839,26437681.00000
1920,359.29776,359.29298,26437617.40000
1980,516.91099,516.90629,25454451.50000
2040,548.05491,548.05032,22314910.70000
2100,793.92806,793.92355,16667258.70000
2160,806.74966,806.74532,3680024.70000
2220,58.52075,58.51657,250198.20000
2280,6.97700,6.97302,81778.25000
2340,0.02820,0.02439,0.00000
2400,0.02836,0.02453,0.00000
2460,0.02825,0.02445,0.00000
