frame,total,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer,lighting,tonemap,index_count
0,0.49793,0.12286,0.02746,0.00216,0.03773,0.15281,0.09049,0.02889,2842974.48000
50,0.58497,0.15957,0.02946,0.00216,0.04180,0.19866,0.08997,0.03082,3656259.24000
100,0.54515,0.11124,0.02838,0.00216,0.04117,0.20429,0.09015,0.03111,2180549.58000
150,0.53818,0.10136,0.02808,0.00216,0.04104,0.20507,0.09046,0.03117,1941672.24000
200,0.50855,0.08154,0.02739,0.00216,0.04059,0.19928,0.09087,0.03103,1019535.66000
250,0.52792,0.09855,0.02747,0.00216,0.04064,0.19927,0.09047,0.03101,1568301.00000
300,0.50448,0.08957,0.02684,0.00217,0.03984,0.19246,0.09048,0.03072,955470.54000
350,0.50482,0.08148,0.02755,0.00216,0.04065,0.19882,0.09060,0.03088,775589.04000
400,0.49968,0.07138,0.02740,0.00217,0.04059,0.20030,0.09095,0.03105,597380.28000
450,0.47788,0.06118,0.02726,0.00217,0.03999,0.19335,0.09130,0.03023,354781.56000
500,0.47876,0.06151,0.02727,0.00218,0.04014,0.18641,0.09239,0.03037,338163.78000
550,0.48158,0.06486,0.02709,0.00216,0.04008,0.19287,0.09095,0.03079,405535.02000
600,0.63677,0.19564,0.03020,0.00216,0.04161,0.21213,0.09112,0.03134,4624560.90000
650,0.72540,0.26242,0.03355,0.00216,0.04287,0.22528,0.09199,0.03219,6494196.72000
700,0.73851,0.29131,0.03243,0.00217,0.04222,0.21132,0.09197,0.03174,7128570.12000
750,0.74667,0.28996,0.03142,0.00217,0.04237,0.22050,0.09191,0.03223,6900722.82000
800,0.75448,0.29650,0.03106,0.00217,0.04277,0.22431,0.09182,0.03208,6827939.22000
850,0.78942,0.35756,0.02909,0.00217,0.04099,0.19968,0.09279,0.03125,7855790.76000
900,0.80779,0.36154,0.02881,0.00217,0.04116,0.20937,0.09397,0.03197,7999168.32000
950,0.77849,0.31818,0.02962,0.00217,0.04192,0.21598,0.09373,0.03333,6966210.90000
1000,0.70184,0.25192,0.02906,0.00216,0.04188,0.21161,0.09199,0.03200,5114077.32000
1050,0.68672,0.24118,0.02960,0.00217,0.04199,0.21464,0.09182,0.03193,5496524.88000
1100,0.61943,0.17577,0.02827,0.00217,0.04127,0.20858,0.09191,0.03214,3469015.14000
1150,0.57062,0.13437,0.02811,0.00216,0.04139,0.20491,0.09183,0.03180,2493087.60000
1200,0.58250,0.14565,0.02813,0.00217,0.04129,0.20521,0.09171,0.03180,2831303.94000
1250,0.55557,0.12955,0.02752,0.00216,0.04057,0.19896,0.09198,0.03189,2143493.76000
1300,0.51259,0.09464,0.02682,0.00217,0.03970,0.18950,0.09216,0.03186,828716.10000
1350,0.65276,0.21725,0.02799,0.00216,0.04084,0.20426,0.09215,0.03205,3981126.96000
1400,0.67401,0.26152,0.02739,0.00217,0.03914,0.18669,0.09294,0.03073,5491852.38000
1450,0.77504,0.34881,0.02853,0.00217,0.03983,0.19654,0.09306,0.03069,7774626.24000
1500,0.82293,0.39835,0.02789,0.00216,0.03887,0.19369,0.09311,0.03065,9101418.36000
1550,0.80756,0.41645,0.02751,0.00217,0.03697,0.16939,0.09207,0.02949,9937097.52000
1600,0.82543,0.44300,0.02850,0.00217,0.03656,0.15844,0.09078,0.02921,10709429.10000
1650,0.81025,0.44299,0.02811,0.00218,0.03559,0.14360,0.09030,0.02877,10966888.02000
1700,0.79880,0.45002,0.02717,0.00216,0.03390,0.12591,0.09008,0.02836,11224708.32000
1750,0.76133,0.44699,0.02553,0.00216,0.03167,0.10112,0.08966,0.02843,11204326.08000
1800,0.76085,0.45071,0.02514,0.00216,0.03123,0.09459,0.08945,0.02887,11241039.96000
1850,0.78235,0.45683,0.02583,0.00217,0.03244,0.11140,0.08975,0.02853,11241015.00000
1900,0.81126,0.45516,0.02709,0.00217,0.03453,0.13492,0.09038,0.02844,11240976.24000
1950,0.83380,0.45139,0.02834,0.00216,0.03661,0.15611,0.09400,0.02949,11028965.28000
2000,0.79392,0.40905,0.02704,0.00217,0.03640,0.15942,0.09236,0.02926,9755091.54000
2050,0.70276,0.30652,0.02675,0.00216,0.03754,0.16850,0.09315,0.02984,6811713.06000
2100,0.64223,0.22789,0.02726,0.00216,0.03950,0.18739,0.09355,0.03122,4533965.76000
2150,0.56875,0.17824,0.02584,0.00217,0.03728,0.15891,0.09465,0.03004,2936297.94000
2200,0.30489,0.04004,0.02135,0.00217,0.02819,0.05958,0.08762,0.02941,432007.56000
2250,0.24011,0.01397,0.02028,0.00217,0.02509,0.03303,0.08562,0.02770,211567.20000
2300,0.22050,0.00572,0.01979,0.00215,0.02447,0.02703,0.08584,0.02349,4294.37500
