frame,total,depth_prepass,geometry,lighting,tonemap,index_count
0,0.34589,0.06719,0.14504,0.08715,0.02920,2842974.48000
50,0.42066,0.08741,0.19880,0.08937,0.03106,3656259.24000
100,0.36728,0.05842,0.17580,0.08740,0.03153,2180549.58000
150,0.36110,0.05722,0.17148,0.08672,0.03137,1941672.24000
200,0.34144,0.04473,0.16364,0.08653,0.03204,1019535.66000
250,0.34414,0.05148,0.15794,0.08660,0.03146,1568301.00000
300,0.30284,0.04134,0.13009,0.08615,0.03132,955470.54000
350,0.33757,0.04387,0.15850,0.08633,0.03152,775589.04000
400,0.32750,0.03468,0.16087,0.08654,0.03205,597380.28000
450,0.29891,0.02304,0.14343,0.08652,0.03220,354781.56000
500,0.30134,0.02261,0.14335,0.08655,0.03224,338163.78000
550,0.29509,0.02630,0.13575,0.08640,0.03184,405535.02000
600,0.49105,0.12267,0.23180,0.08983,0.03176,4624560.90000
650,0.59979,0.17294,0.28747,0.08975,0.03263,6494196.72000
700,0.62424,0.19198,0.29655,0.08950,0.03200,7128570.12000
750,0.62153,0.19746,0.28524,0.08943,0.03247,6900722.82000
800,0.65815,0.21189,0.30734,0.08891,0.03285,6827939.22000
850,0.74511,0.25667,0.34818,0.08755,0.03256,7855790.76000
900,0.80621,0.26396,0.39970,0.08906,0.03334,7999168.32000
950,0.70927,0.22089,0.35060,0.08868,0.03346,6966210.90000
1000,0.54443,0.15461,0.25217,0.08766,0.03279,5114077.32000
1050,0.55366,0.15422,0.25855,0.08877,0.03294,5496524.88000
1100,0.45596,0.10514,0.21611,0.08836,0.03240,3469015.14000
1150,0.41360,0.07723,0.19609,0.08739,0.03244,2493087.60000
1200,0.42470,0.08348,0.20493,0.08729,0.03240,2831303.94000
1250,0.38229,0.07210,0.17317,0.09009,0.03243,2143493.76000
1300,0.29873,0.03512,0.12992,0.08666,0.03268,828716.10000
1350,0.51012,0.13448,0.23533,0.08721,0.03303,3981126.96000
1400,0.64367,0.18017,0.32585,0.08869,0.03188,5491852.38000
1450,0.79588,0.25306,0.40369,0.08986,0.03219,7774626.24000
1500,0.89760,0.30633,0.44984,0.08943,0.03212,9101418.36000
1550,0.90507,0.33470,0.43416,0.08807,0.03055,9937097.52000
1600,0.92584,0.35643,0.42818,0.08777,0.03001,10709429.10000
1650,0.91448,0.36113,0.41659,0.08801,0.02934,10966888.02000
1700,0.90893,0.37067,0.40499,0.08773,0.02879,11224708.32000
1750,0.90656,0.37244,0.40555,0.08684,0.02756,11204326.08000
1800,0.92327,0.38428,0.40768,0.08661,0.02771,11241039.96000
1850,0.92622,0.38427,0.40658,0.08710,0.02803,11241015.00000
1900,0.93657,0.38159,0.42186,0.08731,0.02891,11240976.24000
1950,0.93959,0.36522,0.44011,0.08766,0.02985,11028965.28000
2000,0.86456,0.30953,0.42143,0.08766,0.03011,9755091.54000
2050,0.68749,0.20877,0.34517,0.08822,0.03097,6811713.06000
2100,0.54387,0.13835,0.26661,0.08838,0.03297,4533965.76000
2150,0.45325,0.09664,0.21765,0.08715,0.03158,2936297.94000
2200,0.19030,0.01756,0.04186,0.08577,0.02859,432007.56000
2250,0.14684,0.00907,0.01264,0.08556,0.02624,211567.20000
2300,0.13258,0.00363,0.00677,0.08544,0.02328,4294.37500
