frame,total,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer,lighting,tonemap,index_count
0,2.02583,0.19086,0.02829,0.00216,0.03636,1.59362,0.10190,0.03638,2955774.10000
60,2.35386,0.21731,0.03304,0.00215,0.04014,1.88916,0.10092,0.03856,3390293.45000
120,1.93006,0.14827,0.02888,0.00216,0.03976,1.54360,0.10110,0.03878,1763572.05000
180,1.91514,0.11695,0.02725,0.00216,0.03963,1.56099,0.10069,0.03869,1334104.85000
240,1.65466,0.12369,0.02691,0.00224,0.03966,1.29524,0.10017,0.03855,1563999.05000
300,1.20186,0.10243,0.02655,0.00236,0.03897,0.86543,0.09776,0.03862,942806.45000
360,1.66964,0.09203,0.02684,0.00263,0.03928,1.35114,0.09324,0.03875,651664.20000
420,1.87015,0.08286,0.02705,0.00258,0.03951,1.56522,0.09096,0.03841,531526.60000
480,1.36105,0.06743,0.02689,0.00238,0.03927,1.06334,0.09541,0.03787,335265.25000
540,1.33468,0.07117,0.02667,0.00232,0.03925,1.02991,0.09714,0.03857,394504.35000
600,3.41397,0.28978,0.03242,0.00295,0.03986,2.89257,0.09281,0.03943,4763095.10000
660,4.71573,0.40029,0.03298,0.00280,0.04021,4.08368,0.09272,0.03936,7008309.50000
720,4.76729,0.40423,0.03249,0.00309,0.03983,4.13343,0.09143,0.03905,6851715.25000
780,4.49924,0.41366,0.03374,0.00287,0.04072,3.84855,0.09376,0.03984,6833477.10000
840,3.31284,0.45492,0.02966,0.00264,0.03990,2.62016,0.09847,0.03941,7736553.50000
900,3.95519,0.48455,0.03058,0.00276,0.03965,3.23262,0.09636,0.04275,7912527.20000
960,3.76046,0.41019,0.03056,0.00274,0.04009,3.11612,0.09420,0.04122,6364935.35000
1020,3.33847,0.33358,0.03220,0.00272,0.04036,2.76790,0.09515,0.03946,5390683.35000
1080,3.03923,0.27415,0.03181,0.00266,0.04025,2.52641,0.09602,0.03965,4144249.10000
1140,2.28444,0.18569,0.02913,0.00288,0.04041,1.87144,0.09178,0.03872,2469341.80000
1200,2.14887,0.20018,0.02972,0.00280,0.04037,1.71858,0.09337,0.03881,2921893.50000
1260,1.16149,0.12797,0.02754,0.00238,0.03957,0.79642,0.09949,0.03849,1600253.25000
1320,1.32181,0.16580,0.02731,0.00234,0.03924,0.91888,0.09967,0.03837,1828604.05000
1380,3.58670,0.36077,0.02905,0.00288,0.03887,3.00132,0.09065,0.03953,5316520.45000
1440,4.62400,0.45684,0.02929,0.00301,0.03857,3.94331,0.08991,0.03867,7541994.90000
1500,4.15617,0.51832,0.02838,0.00279,0.03745,3.41844,0.08854,0.03741,9143355.45000
1560,2.75990,0.52224,0.02805,0.00254,0.03643,2.01483,0.09122,0.03612,10284076.30000
1620,2.47138,0.51769,0.02807,0.00299,0.03575,1.74265,0.08519,0.03464,10793619.40000
1680,2.88970,0.52285,0.02762,0.00288,0.03413,2.16372,0.08186,0.03313,11201993.95000
1740,2.43318,0.51490,0.02565,0.00288,0.03150,1.72403,0.08058,0.02968,11196844.40000
1800,2.35046,0.51924,0.02520,0.00278,0.03128,1.63872,0.08062,0.02904,11241036.30000
1860,2.67339,0.53067,0.02620,0.00296,0.03293,1.94580,0.08107,0.03010,11241007.00000
1920,2.87966,0.54597,0.02791,0.00280,0.03534,2.12371,0.08486,0.03391,11240943.40000
1980,2.84710,0.52691,0.02799,0.00266,0.03628,2.10216,0.08969,0.03537,10257777.50000
2040,2.72372,0.42521,0.02751,0.00267,0.03688,2.07787,0.09107,0.03606,7118236.70000
2100,2.97155,0.33263,0.02817,0.00291,0.03880,2.40970,0.09285,0.04112,4779189.60000
2160,0.92124,0.14743,0.02424,0.00230,0.03452,0.55182,0.09523,0.03458,1653801.50000
2220,0.26934,0.01758,0.02043,0.00213,0.02554,0.05699,0.08596,0.02798,250198.20000
2280,0.23925,0.01003,0.02001,0.00212,0.02485,0.03859,0.08567,0.02568,81778.25000
2340,0.21842,0.00537,0.01979,0.00209,0.02447,0.02558,0.08569,0.02318,0.00000
2400,0.21809,0.00539,0.01978,0.00208,0.02447,0.02551,0.08572,0.02318,0.00000
2460,0.21850,0.00547,0.01978,0.00207,0.02449,0.02554,0.08572,0.02319,0.00000
