frame,total,depth_prepass,geometry,lighting,tonemap,index_count
0,0.67170,0.21202,0.30220,0.09780,0.04256,3553381.35000
60,0.49306,0.13735,0.21571,0.09217,0.03370,3662944.30000
120,0.49149,0.13085,0.21245,0.09524,0.03878,2176008.00000
180,0.42889,0.09286,0.18773,0.09555,0.03862,1760027.75000
240,0.52127,0.13607,0.23525,0.09650,0.03907,2911562.30000
300,0.56526,0.16083,0.25244,0.09839,0.03910,3211259.30000
360,0.58109,0.16597,0.26172,0.09977,0.03906,3197534.35000
420,0.51091,0.12707,0.23219,0.09881,0.03861,2080022.75000
480,0.51879,0.13635,0.23141,0.09821,0.03864,2143202.10000
540,0.53597,0.15494,0.23274,0.09552,0.03850,2652802.15000
600,0.55734,0.17533,0.23501,0.09517,0.03753,2718203.40000
660,0.43900,0.10125,0.19234,0.09322,0.03813,1551084.95000
720,0.46908,0.11826,0.20356,0.09474,0.03835,2455791.85000
780,0.45812,0.12408,0.18533,0.09608,0.03826,2049572.45000
840,0.36513,0.07956,0.13775,0.09528,0.03840,904159.35000
900,0.48499,0.14235,0.20006,0.09179,0.03631,2916661.70000
960,0.57685,0.17627,0.25251,0.09560,0.03795,3578981.25000
1020,0.54559,0.15322,0.24273,0.09656,0.03866,2767377.40000
1080,0.56701,0.15983,0.25638,0.09779,0.03876,2271770.15000
1140,0.62951,0.21059,0.26751,0.09831,0.03879,2903832.20000
1200,0.57756,0.18390,0.24276,0.09809,0.03837,2424988.15000
1260,0.53070,0.16097,0.22076,0.09655,0.03786,2026572.10000
1320,0.55913,0.16898,0.23772,0.09997,0.03815,2301510.50000
1380,0.56800,0.17037,0.24582,0.09901,0.03854,2404923.35000
1440,0.57124,0.16975,0.25048,0.09778,0.03898,2983851.65000
1500,0.76082,0.24382,0.36449,0.09947,0.03876,5965339.50000
1560,0.76912,0.25125,0.36610,0.09900,0.03841,6425388.50000
1620,0.78263,0.25243,0.37736,0.09992,0.03865,6351675.30000
1680,0.62460,0.18438,0.28925,0.09800,0.03855,3853289.10000
1740,0.48891,0.12891,0.21107,0.09609,0.03850,1807302.25000
1800,0.49422,0.13289,0.21168,0.09665,0.03883,1503980.35000
1860,0.49722,0.13266,0.21458,0.09680,0.03899,1304820.90000
1920,0.49024,0.12446,0.21625,0.09642,0.03882,1271388.55000
1980,0.47464,0.11076,0.21583,0.09512,0.03884,1145896.95000
2040,0.45823,0.09930,0.21176,0.09433,0.03879,833803.50000
2100,0.44206,0.09296,0.20176,0.09455,0.03886,724541.55000
2160,0.42395,0.08211,0.19403,0.09516,0.03888,651558.70000
2220,0.41326,0.07071,0.19472,0.09512,0.03871,606690.35000
2280,0.27993,0.03824,0.10742,0.08793,0.03277,387407.30000
2340,0.45747,0.12223,0.19015,0.09462,0.03613,2264677.55000
2400,0.62158,0.19044,0.28269,0.09622,0.03797,3983123.90000
2460,0.65440,0.20643,0.29836,0.09713,0.03814,4233659.50000
2520,0.62337,0.19703,0.27674,0.09648,0.03852,3774183.40000
2580,0.59848,0.21339,0.23573,0.09643,0.03863,2738790.20000
2640,0.57029,0.18854,0.23153,0.09715,0.03883,2234217.40000
2700,0.54910,0.15184,0.24524,0.09881,0.03880,1876452.05000
2760,0.52117,0.12714,0.24266,0.09844,0.03890,1554160.70000
2820,0.52484,0.13911,0.23539,0.09757,0.03894,1444209.80000
2880,0.48105,0.13383,0.19799,0.09605,0.03932,1270269.50000
2940,0.45251,0.10856,0.19569,0.09541,0.03892,1185182.60000
3000,0.57636,0.16973,0.25860,0.09551,0.03834,3737532.35000
3060,0.66870,0.19481,0.32359,0.09729,0.03857,5419981.65000
3120,0.68219,0.20300,0.32848,0.09782,0.03864,5328916.45000
3180,0.67313,0.19922,0.32254,0.09825,0.03872,4942521.95000
3240,0.63413,0.18648,0.29598,0.09868,0.03871,4355188.50000
3300,0.61833,0.17903,0.28691,0.09917,0.03894,3918437.60000
3360,0.58692,0.16197,0.27284,0.09855,0.03914,3488605.15000
3420,0.55864,0.15298,0.25354,0.09835,0.03924,3070083.20000
3480,0.54733,0.15596,0.23991,0.09738,0.03935,2804740.95000
3540,0.52605,0.15039,0.22536,0.09693,0.03901,2554279.00000
3600,0.52417,0.15161,0.22265,0.09684,0.03886,2404749.20000
3660,0.52076,0.14775,0.22460,0.09601,0.03833,2364661.40000
3720,0.52463,0.13182,0.24708,0.09429,0.03748,2323845.85000
3780,0.51197,0.12939,0.23984,0.09219,0.03643,2171285.25000
3840,0.49766,0.12496,0.23190,0.09118,0.03564,2069926.10000
3900,0.47635,0.10832,0.22737,0.09118,0.03560,1706132.85000
3960,0.48363,0.10958,0.23121,0.09188,0.03698,1310622.90000
4020,0.47938,0.10229,0.23301,0.09264,0.03766,1119696.90000
4080,0.49495,0.11452,0.23534,0.09355,0.03763,958432.85000
4140,0.46378,0.09347,0.22810,0.09142,0.03694,891260.80000
4200,0.41416,0.07222,0.20168,0.09018,0.03623,795127.20000
4260,0.40677,0.09625,0.17374,0.08937,0.03368,2716290.05000
4320,0.80812,0.27935,0.37859,0.09818,0.03784,7242797.15000
4380,0.74093,0.24991,0.34219,0.09712,0.03743,6033148.00000
4440,0.36307,0.05990,0.16074,0.09222,0.03628,867288.75000
4500,0.41126,0.07057,0.19742,0.09164,0.03745,698827.95000
4560,0.38459,0.06746,0.17874,0.08952,0.03496,684012.30000
4620,0.39151,0.07724,0.17289,0.09136,0.03578,872447.40000
4680,0.48679,0.12208,0.22555,0.09083,0.03420,2415162.35000
4740,0.59464,0.18561,0.27120,0.09128,0.03226,5264990.15000
4800,0.74223,0.26817,0.33874,0.09065,0.03059,7605016.10000
4860,0.71316,0.25795,0.32296,0.08911,0.02910,7298187.05000
4920,0.71623,0.26169,0.32264,0.08888,0.02896,7437915.15000
4980,0.77200,0.28525,0.35327,0.08978,0.02970,8149009.90000
5040,0.62804,0.21033,0.28251,0.09011,0.03087,5907876.05000
5100,0.66718,0.23151,0.30222,0.08951,0.02991,6713387.25000
5160,0.80268,0.29861,0.37123,0.08956,0.02938,8461629.95000
5220,0.80785,0.30396,0.37091,0.08926,0.02967,8496360.00000
5280,0.79053,0.30040,0.35868,0.08857,0.02886,8448473.20000
5340,0.63230,0.23346,0.27220,0.08737,0.02544,6607069.85000
5400,0.19612,0.03203,0.03525,0.08639,0.02905,1056943.50000
5460,0.14493,0.01055,0.00776,0.08552,0.02769,344217.00000
