frame,total,geometry,lighting,tonemap,index_count
0,2.34890,2.20112,0.09445,0.03581,18152448.10000
60,2.45236,2.30230,0.09678,0.03850,18586967.45000
120,2.02806,1.88076,0.09772,0.03872,13912915.15000
180,1.57416,1.42436,0.10014,0.03856,1334104.85000
240,1.45551,1.31218,0.09386,0.03845,1563999.05000
300,1.41255,1.26754,0.09519,0.03857,942806.45000
360,1.61141,1.46887,0.09252,0.03868,651664.20000
420,1.45800,1.31597,0.09279,0.03827,531526.60000
480,1.19064,1.04563,0.09641,0.03779,335265.25000
540,1.22839,1.08209,0.09699,0.03845,394504.35000
600,2.54689,2.40691,0.08974,0.03906,18946657.50000
660,3.10213,2.96124,0.09021,0.03962,22204983.50000
720,3.42848,3.28874,0.08931,0.03890,22048389.25000
780,4.18497,4.04163,0.09237,0.03992,22030151.10000
840,4.11814,3.97727,0.09056,0.03930,22933227.50000
900,5.82183,5.67708,0.09008,0.04321,23109201.20000
960,4.75015,4.60641,0.09097,0.04149,21561609.35000
1020,3.41216,3.27133,0.09017,0.03905,20587357.35000
1080,3.09847,2.95296,0.09491,0.03925,19340923.10000
1140,2.57558,2.43769,0.08830,0.03835,11587346.20000
1200,2.88761,2.74866,0.08917,0.03854,18118567.50000
1260,1.77962,1.63536,0.09371,0.03954,16796927.25000
1320,2.33182,2.18822,0.09329,0.03949,17025278.05000
1380,5.17701,5.03529,0.08996,0.04037,20513194.45000
1440,5.86153,5.72377,0.08754,0.03865,22738668.90000
1500,6.17613,6.04210,0.08591,0.03727,24340029.45000
1560,4.49374,4.36082,0.08558,0.03594,25480750.30000
1620,3.56352,3.43169,0.08656,0.03418,25990293.40000
1680,3.23383,3.10490,0.08517,0.03301,26398667.95000
1740,2.68538,2.56183,0.08232,0.03084,26393518.40000
1800,2.73223,2.61328,0.07944,0.02890,26437710.30000
1860,3.27135,3.14591,0.08379,0.03066,26437681.00000
1920,3.85500,3.72675,0.08286,0.03459,26437617.40000
1980,4.19449,4.06322,0.08445,0.03561,25454451.50000
2040,4.31853,4.18370,0.08762,0.03634,22314910.70000
2100,4.21564,4.07277,0.09054,0.04110,16667258.70000
2160,1.65761,1.52538,0.08653,0.03459,3680024.70000
2220,0.20683,0.08555,0.08415,0.02648,250198.20000
2280,0.15769,0.03813,0.08444,0.02476,81778.25000
2340,0.12909,0.01129,0.08479,0.02319,0.00000
2400,0.12915,0.01232,0.08370,0.02319,0.00000
2460,0.13210,0.02159,0.07727,0.02316,0.00000
