run-id,run-name,output-filepath,renderer-variant,variable,to-use-scene,to-load-texture,use-vfc,scene-variant,scene-importer,scene-path,warmup-frames,measure-frames,auto-terminate,vsync,camera-mode,camera-filepath,camera-keyframe-interval,to-set-start-frame,key-frame,profile-window-frames,capture-frames,capture-output-dir,capture-stride,capture-fps,window-width,window-height,seed,material-assign-strategy,material-assign-max-open,material-assign-locality,material-assign-diversity,camera-pos-x,camera-pos-y,camera-pos-z,camera-lookat-x,camera-lookat-y,camera-lookat-z,camera-near-z,camera-far-z,camera-fov,object-count,material-count,geometry-count,overdraw-count,to-remain-only-in-camera,z-min,z-max,xy-minmax,radius,geometry-div,gbuffer-cnt,texture-count,texture-size,texture-sampling-count,alu-calc-count,pass_name_0,pass_0_time_avg_ms,pass_name_1,pass_1_time_avg_ms,pass_name_2,pass_2_time_avg_ms,pass_name_3,pass_3_time_avg_ms,pass_name_4,pass_4_time_avg_ms,pass_name_5,pass_5_time_avg_ms,pass_name_6,pass_6_time_avg_ms,pass_name_7,pass_7_time_avg_ms,pass_name_8,pass_8_time_avg_ms,pass_name_9,pass_9_time_avg_ms,pass_name_10,pass_10_time_avg_ms,pass_name_11,pass_11_time_avg_ms,pass_name_12,pass_12_time_avg_ms,pass_name_13,pass_13_time_avg_ms,pass_name_14,pass_14_time_avg_ms,pass_name_15,pass_15_time_avg_ms,pass_name_16,pass_16_time_avg_ms,pass_name_17,pass_17_time_avg_ms,pass_name_18,pass_18_time_avg_ms,pass_name_19,pass_19_time_avg_ms,pass_name_20,pass_20_time_avg_ms,pass_name_21,pass_21_time_avg_ms,pass_name_22,pass_22_time_avg_ms,pass_name_23,pass_23_time_avg_ms,pass_name_24,pass_24_time_avg_ms,pass_name_25,pass_25_time_avg_ms,pass_name_26,pass_26_time_avg_ms,pass_name_27,pass_27_time_avg_ms,pass_name_28,pass_28_time_avg_ms,pass_name_29,pass_29_time_avg_ms,pass_name_30,pass_30_time_avg_ms,pass_name_31,pass_31_time_avg_ms,renderer_name,run_current_time,camera-mode-name,total_time_min_ms,total_time_median_ms,total_time_max_ms,total_time_avg_ms,total_time_p01_ms,total_time_p10_ms,total_time_p90_ms,total_time_p99_ms,variable-geometry-count,variable-overdraw-count,variable-waste-quad-count,variable-alu-op-count,param_renderer_variant,param_variable,param_to_use_scene,param_to_load_texture,param_use_vfc,param_scene_variant,param_scene_importer,param_scene_path,param_warmup_frames,param_measure_frames,param_vsync,param_camera_mode,param_camera_filepath,param_camera_keyframe_interval,param_to_set_start_frame,param_key_frame,param_profile_window_frames,param_capture_frames,param_capture_stride,param_capture_fps,param_window_width,param_window_height,param_seed,param_material_assign_strategy,param_material_assign_max_open,param_material_assign_locality,param_material_assign_diversity,param_geometry_div,param_camera_pos_x,param_camera_pos_y,param_camera_pos_z,param_camera_lookat_x,param_camera_lookat_y,param_camera_lookat_z,param_camera_near_z,param_camera_far_z,param_camera_fov,param_object_count,param_material_count,param_geometry_count,param_overdraw_count,param_to_remain_only_in_camera,param_z_min,param_z_max,param_xy_minmax,param_radius,param_gbuffer_cnt,param_texture_count,param_texture_size,param_texture_sampling_count,param_alu_calc_count,runner_experiment,runner_repeat,runner_run_index,runner_result_row,runner_status,runner_return_code,runner_error,runner_stderr,runner_skip_reason,runner_missing_assets
0,23_real_random_selected_renderer_compare_quick,${RUN_TEMP}\run_00000.csv,8,0,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,600,1,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,1,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,1.28199,depth_prepass,0.07510,geometry,1.05474,lighting,0.09876,tonemap,0.03801,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutDeferredPrepass,2026-07-29T21:24:36,playback,0.84003,1.24192,1.94726,1.28199,0.87469,0.98237,1.64675,1.85408,4,0,1,100,8,0,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,600,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,1,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,23_real_random_selected_renderer_compare_quick,0,0,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{720} measure_start{60} measure_end{660} sample_count{600} window_frames{60}
Saved CSV: ${RUN_TEMP}\run_00000.csv_0_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_21-24-54.txt",,
1,23_real_random_selected_renderer_compare_quick,${RUN_TEMP}\run_00001.csv,8,1,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,600,1,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,64,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,1.36867,depth_prepass,0.08219,geometry,1.13144,lighting,0.10035,tonemap,0.03959,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutDeferredPrepass,2026-07-29T21:24:55,playback,0.83693,1.26077,2.90355,1.36867,0.87894,1.00426,1.80106,2.58106,4,0,1,100,8,1,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,600,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,64,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,23_real_random_selected_renderer_compare_quick,0,1,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{720} measure_start{60} measure_end{660} sample_count{600} window_frames{60}
Saved CSV: ${RUN_TEMP}\run_00001.csv_1_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_21-25-13.txt",,
2,23_real_random_selected_renderer_compare_quick,${RUN_TEMP}\run_00002.csv,8,2,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,600,1,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,64,1,0,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,1.36030,depth_prepass,0.08254,geometry,1.12270,lighting,0.10072,tonemap,0.03962,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutDeferredPrepass,2026-07-29T21:25:13,playback,0.84157,1.25616,2.65958,1.36030,0.87494,1.00515,1.75651,2.50170,4,0,1,100,8,2,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,600,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,64,1.0,0.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,23_real_random_selected_renderer_compare_quick,0,2,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{720} measure_start{60} measure_end{660} sample_count{600} window_frames{60}
Saved CSV: ${RUN_TEMP}\run_00002.csv_2_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_21-25-31.txt",,
3,23_real_random_selected_renderer_compare_quick,${RUN_TEMP}\run_00003.csv,9,3,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,600,1,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,1,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,1.65545,visibility,0.12003,visutil_histogram,0.02775,visutil_prefix,0.00234,visutil_flatten,0.03882,gbuffer,1.30174,lighting,0.09795,tonemap,0.03788,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-29T21:25:31,playback,0.93997,1.58835,2.86906,1.65545,0.97094,1.14963,2.32947,2.75469,4,0,1,100,9,3,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,600,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,1,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,23_real_random_selected_renderer_compare_quick,0,3,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{720} measure_start{60} measure_end{660} sample_count{600} window_frames{60}
Saved CSV: ${RUN_TEMP}\run_00003.csv_3_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_21-25-49.txt",,
4,23_real_random_selected_renderer_compare_quick,${RUN_TEMP}\run_00004.csv,9,4,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,600,1,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,64,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,1.33590,visibility,0.12058,visutil_histogram,0.02858,visutil_prefix,0.00219,visutil_flatten,0.04028,gbuffer,0.97589,lighting,0.09840,tonemap,0.03904,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-29T21:25:50,playback,0.92474,1.32173,2.12134,1.33590,0.95450,1.05766,1.65008,1.88502,4,0,1,100,9,4,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,600,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,64,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,23_real_random_selected_renderer_compare_quick,0,4,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{720} measure_start{60} measure_end{660} sample_count{600} window_frames{60}
Saved CSV: ${RUN_TEMP}\run_00004.csv_4_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_21-26-08.txt",,
5,23_real_random_selected_renderer_compare_quick,${RUN_TEMP}\run_00005.csv,9,5,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,600,1,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,64,1,0,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,1.64285,visibility,0.11970,visutil_histogram,0.02770,visutil_prefix,0.00236,visutil_flatten,0.03880,gbuffer,1.28887,lighting,0.09770,tonemap,0.03795,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-29T21:26:09,playback,0.94586,1.59251,2.87293,1.64285,0.97347,1.15136,2.34413,2.76630,4,0,1,100,9,5,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,600,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,64,1.0,0.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,23_real_random_selected_renderer_compare_quick,0,5,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{720} measure_start{60} measure_end{660} sample_count{600} window_frames{60}
Saved CSV: ${RUN_TEMP}\run_00005.csv_5_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_21-26-28.txt",,
6,23_real_random_selected_renderer_compare_quick,${RUN_TEMP}\run_00006.csv,8,6,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,600,1,0,2,../../../../../scripts/standard_camera_bistro.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,1,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,0.60780,depth_prepass,0.16903,geometry,0.26941,lighting,0.10700,tonemap,0.04769,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutDeferredPrepass,2026-07-29T21:26:28,playback,0.42742,0.57533,0.97437,0.60780,0.43242,0.46560,0.80045,0.94093,4,0,1,100,8,6,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,600,0,2,../../../../../scripts/standard_camera_bistro.csv,10,0,0,60,0,1,60,1920,1080,0,0,1,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,23_real_random_selected_renderer_compare_quick,0,6,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{720} measure_start{60} measure_end{660} sample_count{600} window_frames{60}
Saved CSV: ${RUN_TEMP}\run_00006.csv_6_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_21-26-33.txt",,
7,23_real_random_selected_renderer_compare_quick,${RUN_TEMP}\run_00007.csv,8,7,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,600,1,0,2,../../../../../scripts/standard_camera_bistro.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,64,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,0.56139,depth_prepass,0.15599,geometry,0.25072,lighting,0.09904,tonemap,0.04071,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutDeferredPrepass,2026-07-29T21:26:33,playback,0.38154,0.55856,1.01894,0.56139,0.38637,0.42086,0.70544,0.87251,4,0,1,100,8,7,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,600,0,2,../../../../../scripts/standard_camera_bistro.csv,10,0,0,60,0,1,60,1920,1080,0,0,64,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,23_real_random_selected_renderer_compare_quick,0,7,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{720} measure_start{60} measure_end{660} sample_count{600} window_frames{60}
Saved CSV: ${RUN_TEMP}\run_00007.csv_7_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_21-26-39.txt",,
8,23_real_random_selected_renderer_compare_quick,${RUN_TEMP}\run_00008.csv,8,8,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,600,1,0,2,../../../../../scripts/standard_camera_bistro.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,64,1,0,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,0.58209,depth_prepass,0.16221,geometry,0.25901,lighting,0.10233,tonemap,0.04393,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutDeferredPrepass,2026-07-29T21:26:39,playback,0.40656,0.56422,0.96051,0.58209,0.41590,0.43766,0.71539,0.94640,4,0,1,100,8,8,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,600,0,2,../../../../../scripts/standard_camera_bistro.csv,10,0,0,60,0,1,60,1920,1080,0,0,64,1.0,0.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,23_real_random_selected_renderer_compare_quick,0,8,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{720} measure_start{60} measure_end{660} sample_count{600} window_frames{60}
Saved CSV: ${RUN_TEMP}\run_00008.csv_8_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_21-26-44.txt",,
9,23_real_random_selected_renderer_compare_quick,${RUN_TEMP}\run_00009.csv,9,9,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,600,1,0,2,../../../../../scripts/standard_camera_bistro.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,1,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,0.73423,visibility,0.24929,visutil_histogram,0.02989,visutil_prefix,0.00217,visutil_flatten,0.03969,gbuffer,0.22982,lighting,0.10868,tonemap,0.04102,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-29T21:26:44,playback,0.57181,0.73408,1.08704,0.73423,0.57485,0.61190,0.81754,1.07626,4,0,1,100,9,9,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,600,0,2,../../../../../scripts/standard_camera_bistro.csv,10,0,0,60,0,1,60,1920,1080,0,0,1,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,23_real_random_selected_renderer_compare_quick,0,9,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{720} measure_start{60} measure_end{660} sample_count{600} window_frames{60}
Saved CSV: ${RUN_TEMP}\run_00009.csv_9_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_21-26-50.txt",,
