frame,total,depth_prepass,geometry,lighting,tonemap,index_count
0,1.32511,0.10541,1.07645,0.09359,0.03487,2955774.10000
60,1.61737,0.12440,1.33987,0.09771,0.03848,3390293.45000
120,1.56111,0.08824,1.31613,0.09907,0.03880,1763572.05000
180,1.28737,0.08128,1.05219,0.10121,0.03822,1334104.85000
240,1.16735,0.08236,0.92869,0.10180,0.03797,1563999.05000
300,1.06116,0.07248,0.83068,0.10132,0.03808,942806.45000
360,1.42198,0.06601,1.20280,0.10099,0.03821,651664.20000
420,1.30093,0.05196,1.09157,0.09891,0.03826,531526.60000
480,1.09049,0.04378,0.90191,0.09314,0.03782,335265.25000
540,1.08496,0.05059,0.88811,0.09384,0.03821,394504.35000
600,1.86370,0.19225,1.52860,0.08961,0.03882,4763095.10000
660,2.03215,0.26512,1.61979,0.09045,0.03896,7008309.50000
720,1.97666,0.27280,1.55825,0.08942,0.03895,6851715.25000
780,2.17312,0.28753,1.73149,0.09147,0.03943,6833477.10000
840,1.57014,0.32044,1.10017,0.09511,0.03982,7736553.50000
900,1.83572,0.34671,1.33183,0.09450,0.04311,7912527.20000
960,1.72619,0.28122,1.29506,0.09443,0.04082,6364935.35000
1020,1.56030,0.22738,1.18690,0.09277,0.03907,5390683.35000
1080,1.59545,0.18971,1.25782,0.09209,0.03904,4144249.10000
1140,1.34744,0.12807,1.06703,0.09124,0.03864,2469341.80000
1200,1.42218,0.14214,1.13480,0.09230,0.03851,2921893.50000
1260,0.84938,0.08950,0.60997,0.09649,0.03918,1600253.25000
1320,0.89057,0.11805,0.62108,0.09811,0.03885,1828604.05000
1380,1.75496,0.25337,1.35364,0.09160,0.03944,5316520.45000
1440,1.99698,0.32480,1.51924,0.09424,0.03873,7541994.90000
1500,1.98075,0.38198,1.45527,0.08723,0.03737,9143355.45000
1560,1.73731,0.39188,1.20835,0.08677,0.03591,10284076.30000
1620,1.71933,0.38740,1.19576,0.08406,0.03471,10793619.40000
1680,1.89372,0.39467,1.36297,0.08307,0.03400,11201993.95000
1740,1.68227,0.39594,1.15698,0.08147,0.03137,11196844.40000
1800,1.61258,0.40912,1.07817,0.08084,0.02967,11241036.30000
1860,1.78166,0.40933,1.24365,0.08310,0.03134,11241007.00000
1920,1.95561,0.41386,1.40935,0.08313,0.03483,11240943.40000
1980,1.82272,0.37754,1.30027,0.08589,0.03572,10257777.50000
2040,1.61344,0.29539,1.17945,0.08728,0.03678,7118236.70000
2100,1.45858,0.21997,1.08676,0.09313,0.04175,4779189.60000
2160,0.59569,0.08933,0.36599,0.09208,0.03475,1653801.50000
2220,0.17096,0.01105,0.03368,0.08563,0.02709,250198.20000
2280,0.14951,0.00637,0.01885,0.08539,0.02554,81778.25000
2340,0.13143,0.00354,0.00675,0.08508,0.02289,0.00000
2400,0.13147,0.00344,0.00673,0.08510,0.02288,0.00000
2460,0.13169,0.00347,0.00672,0.08524,0.02297,0.00000
